token	freq	section	status	bucket	cls	ru_proposed	citation	note	classified_by
Acc.	873	grammatical: cases (uniform internationalism: 8 cases vs 6 русских)	rule-bulk	a	лат	акк.	DA-vote N3/N5/N8 (19-07-2026): grammatical Latin sigla translate to a fixed RU abbreviation by ratified policy ("uniform internationalism: 8 cases vs 6 русских" — own section rationale)		agent (Sonnet 5, claude-sonnet-5), H1682
acc.	447	grammatical: cases (uniform internationalism: 8 cases vs 6 русских)	rule-bulk	a	лат	акк.	DA-vote N3/N5/N8 (19-07-2026): grammatical Latin sigla translate to a fixed RU abbreviation by ratified policy ("uniform internationalism: 8 cases vs 6 русских" — own section rationale)		agent (Sonnet 5, claude-sonnet-5), H1682
Loc.	439	grammatical: cases (uniform internationalism: 8 cases vs 6 русских)	rule-bulk	a	лат	лок.	DA-vote N3/N5/N8 (19-07-2026): grammatical Latin sigla translate to a fixed RU abbreviation by ratified policy ("uniform internationalism: 8 cases vs 6 русских" — own section rationale)		agent (Sonnet 5, claude-sonnet-5), H1682
Instr.	239	grammatical: cases (uniform internationalism: 8 cases vs 6 русских)	rule-bulk	a	лат	инстр.	DA-vote N3/N5/N8 (19-07-2026): grammatical Latin sigla translate to a fixed RU abbreviation by ratified policy ("uniform internationalism: 8 cases vs 6 русских" — own section rationale)		agent (Sonnet 5, claude-sonnet-5), H1682
Abl.	208	grammatical: cases (uniform internationalism: 8 cases vs 6 русских)	rule-bulk	a	лат	абл.	DA-vote N3/N5/N8 (19-07-2026): grammatical Latin sigla translate to a fixed RU abbreviation by ratified policy ("uniform internationalism: 8 cases vs 6 русских" — own section rationale)		agent (Sonnet 5, claude-sonnet-5), H1682
Dat.	137	grammatical: cases (uniform internationalism: 8 cases vs 6 русских)	rule-bulk	a	лат	дат.	DA-vote N3/N5/N8 (19-07-2026): grammatical Latin sigla translate to a fixed RU abbreviation by ratified policy ("uniform internationalism: 8 cases vs 6 русских" — own section rationale)		agent (Sonnet 5, claude-sonnet-5), H1682
Gen.	130	grammatical: cases (uniform internationalism: 8 cases vs 6 русских)	rule-bulk	a	лат	ген.	DA-vote N3/N5/N8 (19-07-2026): grammatical Latin sigla translate to a fixed RU abbreviation by ratified policy ("uniform internationalism: 8 cases vs 6 русских" — own section rationale)		agent (Sonnet 5, claude-sonnet-5), H1682
loc.	102	grammatical: cases (uniform internationalism: 8 cases vs 6 русских)	rule-bulk	a	лат	лок.	DA-vote N3/N5/N8 (19-07-2026): grammatical Latin sigla translate to a fixed RU abbreviation by ratified policy ("uniform internationalism: 8 cases vs 6 русских" — own section rationale)		agent (Sonnet 5, claude-sonnet-5), H1682
gen.	95	grammatical: cases (uniform internationalism: 8 cases vs 6 русских)	rule-bulk	a	лат	ген.	DA-vote N3/N5/N8 (19-07-2026): grammatical Latin sigla translate to a fixed RU abbreviation by ratified policy ("uniform internationalism: 8 cases vs 6 русских" — own section rationale)		agent (Sonnet 5, claude-sonnet-5), H1682
instr.	84	grammatical: cases (uniform internationalism: 8 cases vs 6 русских)	rule-bulk	a	лат	инстр.	DA-vote N3/N5/N8 (19-07-2026): grammatical Latin sigla translate to a fixed RU abbreviation by ratified policy ("uniform internationalism: 8 cases vs 6 русских" — own section rationale)		agent (Sonnet 5, claude-sonnet-5), H1682
abl.	78	grammatical: cases (uniform internationalism: 8 cases vs 6 русских)	rule-bulk	a	лат	абл.	DA-vote N3/N5/N8 (19-07-2026): grammatical Latin sigla translate to a fixed RU abbreviation by ratified policy ("uniform internationalism: 8 cases vs 6 русских" — own section rationale)		agent (Sonnet 5, claude-sonnet-5), H1682
dat.	75	grammatical: cases (uniform internationalism: 8 cases vs 6 русских)	rule-bulk	a	лат	дат.	DA-vote N3/N5/N8 (19-07-2026): grammatical Latin sigla translate to a fixed RU abbreviation by ratified policy ("uniform internationalism: 8 cases vs 6 русских" — own section rationale)		agent (Sonnet 5, claude-sonnet-5), H1682
Nom.	19	grammatical: cases (uniform internationalism: 8 cases vs 6 русских)	rule-bulk	a	лат	ном.	DA-vote N3/N5/N8 (19-07-2026): grammatical Latin sigla translate to a fixed RU abbreviation by ratified policy ("uniform internationalism: 8 cases vs 6 русских" — own section rationale)		agent (Sonnet 5, claude-sonnet-5), H1682
nom.	17	grammatical: cases (uniform internationalism: 8 cases vs 6 русских)	rule-bulk	a	лат	ном.	DA-vote N3/N5/N8 (19-07-2026): grammatical Latin sigla translate to a fixed RU abbreviation by ratified policy ("uniform internationalism: 8 cases vs 6 русских" — own section rationale)		agent (Sonnet 5, claude-sonnet-5), H1682
Nomin.	10	grammatical: cases (uniform internationalism: 8 cases vs 6 русских)	rule-bulk	a	лат	ном.	DA-vote N3/N5/N8 (19-07-2026): grammatical Latin sigla translate to a fixed RU abbreviation by ratified policy ("uniform internationalism: 8 cases vs 6 русских" — own section rationale)		agent (Sonnet 5, claude-sonnet-5), H1682
voc.	5	grammatical: cases (uniform internationalism: 8 cases vs 6 русских)	rule-bulk	a	лат	вок.	DA-vote N3/N5/N8 (19-07-2026): grammatical Latin sigla translate to a fixed RU abbreviation by ratified policy ("uniform internationalism: 8 cases vs 6 русских" — own section rationale)		agent (Sonnet 5, claude-sonnet-5), H1682
locc.	1	grammatical: cases (uniform internationalism: 8 cases vs 6 русских)	rule-bulk	a	лат	лок.	DA-vote N3/N5/N8 (19-07-2026): grammatical Latin sigla translate to a fixed RU abbreviation by ratified policy ("uniform internationalism: 8 cases vs 6 русских" — own section rationale)		agent (Sonnet 5, claude-sonnet-5), H1682
Voc.	1	grammatical: cases (uniform internationalism: 8 cases vs 6 русских)	rule-bulk	a	лат	вок.	DA-vote N3/N5/N8 (19-07-2026): grammatical Latin sigla translate to a fixed RU abbreviation by ratified policy ("uniform internationalism: 8 cases vs 6 русских" — own section rationale)		agent (Sonnet 5, claude-sonnet-5), H1682
datt.	1	grammatical: cases (uniform internationalism: 8 cases vs 6 русских)	rule-bulk	a	лат	дат.	DA-vote N3/N5/N8 (19-07-2026): grammatical Latin sigla translate to a fixed RU abbreviation by ratified policy ("uniform internationalism: 8 cases vs 6 русских" — own section rationale)		agent (Sonnet 5, claude-sonnet-5), H1682
nomin.	1	grammatical: cases (uniform internationalism: 8 cases vs 6 русских)	rule-bulk	a	лат	ном.	DA-vote N3/N5/N8 (19-07-2026): grammatical Latin sigla translate to a fixed RU abbreviation by ratified policy ("uniform internationalism: 8 cases vs 6 русских" — own section rationale)		agent (Sonnet 5, claude-sonnet-5), H1682
pl.	46	grammatical: number / gender / person	rule-bulk	a	лат	мн.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy as cases		agent (Sonnet 5, claude-sonnet-5), H1682
sg.	38	grammatical: number / gender / person	rule-bulk	a	лат	ед.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy as cases		agent (Sonnet 5, claude-sonnet-5), H1682
Pl.	17	grammatical: number / gender / person	rule-bulk	a	лат	мн.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy as cases		agent (Sonnet 5, claude-sonnet-5), H1682
du.	10	grammatical: number / gender / person	rule-bulk	a	лат	дв.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy as cases		agent (Sonnet 5, claude-sonnet-5), H1682
masc.	3	grammatical: number / gender / person	rule-bulk	a	лат	м.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy as cases		agent (Sonnet 5, claude-sonnet-5), H1682
Sg.	2	grammatical: number / gender / person	rule-bulk	a	лат	ед.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy as cases		agent (Sonnet 5, claude-sonnet-5), H1682
Du.	2	grammatical: number / gender / person	rule-bulk	a	лат	дв.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy as cases		agent (Sonnet 5, claude-sonnet-5), H1682
neutr.	2	grammatical: number / gender / person	residue-ambiguous	a	лат	ср. р.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy as cases	не «ср.» — коллизия со «ср.» = vgl.	agent (Sonnet 5, claude-sonnet-5), H1682
sing.	1	grammatical: number / gender / person	rule-bulk	a	лат	ед.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy as cases		agent (Sonnet 5, claude-sonnet-5), H1682
pers.	1	grammatical: number / gender / person	rule-bulk	a	лат	л.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy as cases	«2. pers.» = «2-е л.»	agent (Sonnet 5, claude-sonnet-5), H1682
3.	1	grammatical: number / gender / person	residue-ambiguous	a	OCR		DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy as cases	«3. Sg. Med.» — разметочный артефакт (цифра лица в <ab>), вопрос к источнику	agent (Sonnet 5, claude-sonnet-5), H1682
caus.	453	grammatical: voice / secondary stems	rule-bulk	a	лат	кауз.	DA-vote N3/N5/N8 (19-07-2026); N8 specifically pins Caus. -> кауз.		agent (Sonnet 5, claude-sonnet-5), H1682
Caus.	378	grammatical: voice / secondary stems	rule-bulk	a	лат	кауз.	DA-vote N3/N5/N8 (19-07-2026); N8 specifically pins Caus. -> кауз.	зафиксировано MG 19-07-2026 (N8)	agent (Sonnet 5, claude-sonnet-5), H1682
Med.	283	grammatical: voice / secondary stems	residue-ambiguous	a	лат	медий	DA-vote N3/N5/N8 (19-07-2026); N8 specifically pins Caus. -> кауз.	медий (атманепада), НЕ «мед.» — коллизия с med. = Medizin; 283 употр., в pwgab отсутствует (регистрозависимая пара)	agent (Sonnet 5, claude-sonnet-5), H1682
pass.	256	grammatical: voice / secondary stems	rule-bulk	a	лат	пасс.	DA-vote N3/N5/N8 (19-07-2026); N8 specifically pins Caus. -> кауз.		agent (Sonnet 5, claude-sonnet-5), H1682
act.	237	grammatical: voice / secondary stems	rule-bulk	a	лат	акт.	DA-vote N3/N5/N8 (19-07-2026); N8 specifically pins Caus. -> кауз.		agent (Sonnet 5, claude-sonnet-5), H1682
desid.	161	grammatical: voice / secondary stems	rule-bulk	a	лат	дезид.	DA-vote N3/N5/N8 (19-07-2026); N8 specifically pins Caus. -> кауз.		agent (Sonnet 5, claude-sonnet-5), H1682
Act.	159	grammatical: voice / secondary stems	rule-bulk	a	лат	акт.	DA-vote N3/N5/N8 (19-07-2026); N8 specifically pins Caus. -> кауз.		agent (Sonnet 5, claude-sonnet-5), H1682
Pass.	124	grammatical: voice / secondary stems	rule-bulk	a	лат	пасс.	DA-vote N3/N5/N8 (19-07-2026); N8 specifically pins Caus. -> кауз.		agent (Sonnet 5, claude-sonnet-5), H1682
Desid.	113	grammatical: voice / secondary stems	rule-bulk	a	лат	дезид.	DA-vote N3/N5/N8 (19-07-2026); N8 specifically pins Caus. -> кауз.		agent (Sonnet 5, claude-sonnet-5), H1682
intens.	60	grammatical: voice / secondary stems	rule-bulk	a	лат	интенс.	DA-vote N3/N5/N8 (19-07-2026); N8 specifically pins Caus. -> кауз.		agent (Sonnet 5, claude-sonnet-5), H1682
Intens.	43	grammatical: voice / secondary stems	rule-bulk	a	лат	интенс.	DA-vote N3/N5/N8 (19-07-2026); N8 specifically pins Caus. -> кауз.		agent (Sonnet 5, claude-sonnet-5), H1682
simpl.	25	grammatical: voice / secondary stems	rule-bulk	a	лат	симпл.	DA-vote N3/N5/N8 (19-07-2026); N8 specifically pins Caus. -> кауз.		agent (Sonnet 5, claude-sonnet-5), H1682
Simpl.	5	grammatical: voice / secondary stems	rule-bulk	a	лат	симпл.	DA-vote N3/N5/N8 (19-07-2026); N8 specifically pins Caus. -> кауз.		agent (Sonnet 5, claude-sonnet-5), H1682
denom.	2	grammatical: voice / secondary stems	rule-bulk	a	лат	деном.	DA-vote N3/N5/N8 (19-07-2026); N8 specifically pins Caus. -> кауз.		agent (Sonnet 5, claude-sonnet-5), H1682
desider.	2	grammatical: voice / secondary stems	rule-bulk	a	лат	дезид.	DA-vote N3/N5/N8 (19-07-2026); N8 specifically pins Caus. -> кауз.		agent (Sonnet 5, claude-sonnet-5), H1682
recipr.	1	grammatical: voice / secondary stems	rule-bulk	a	лат	взаимн.	DA-vote N3/N5/N8 (19-07-2026); N8 specifically pins Caus. -> кауз.		agent (Sonnet 5, claude-sonnet-5), H1682
aor.	42	grammatical: tense / mood	rule-bulk	a	лат	аор.	DA-vote N5 (19-07-2026): "Abbreviations like Aor. cannot stay untranslated; only Latin ones stay, by common agreement, via a ratified unified list"	N5: «нельзя не переводить»	agent (Sonnet 5, claude-sonnet-5), H1682
Conj.	19	grammatical: tense / mood	rule-bulk	a	лат	конъ.	DA-vote N5 (19-07-2026): "Abbreviations like Aor. cannot stay untranslated; only Latin ones stay, by common agreement, via a ratified unified list"		agent (Sonnet 5, claude-sonnet-5), H1682
fut.	15	grammatical: tense / mood	rule-bulk	a	лат	фут.	DA-vote N5 (19-07-2026): "Abbreviations like Aor. cannot stay untranslated; only Latin ones stay, by common agreement, via a ratified unified list"		agent (Sonnet 5, claude-sonnet-5), H1682
Aor.	13	grammatical: tense / mood	rule-bulk	a	лат	аор.	DA-vote N5 (19-07-2026): "Abbreviations like Aor. cannot stay untranslated; only Latin ones stay, by common agreement, via a ratified unified list"	N5: «нельзя не переводить»	agent (Sonnet 5, claude-sonnet-5), H1682
perf.	12	grammatical: tense / mood	rule-bulk	a	лат	перф.	DA-vote N5 (19-07-2026): "Abbreviations like Aor. cannot stay untranslated; only Latin ones stay, by common agreement, via a ratified unified list"		agent (Sonnet 5, claude-sonnet-5), H1682
imperat.	10	grammatical: tense / mood	rule-bulk	a	лат	импер.	DA-vote N5 (19-07-2026): "Abbreviations like Aor. cannot stay untranslated; only Latin ones stay, by common agreement, via a ratified unified list"		agent (Sonnet 5, claude-sonnet-5), H1682
praes.	10	grammatical: tense / mood	rule-bulk	a	лат	през.	DA-vote N5 (19-07-2026): "Abbreviations like Aor. cannot stay untranslated; only Latin ones stay, by common agreement, via a ratified unified list"		agent (Sonnet 5, claude-sonnet-5), H1682
imperf.	9	grammatical: tense / mood	rule-bulk	a	лат	имперф.	DA-vote N5 (19-07-2026): "Abbreviations like Aor. cannot stay untranslated; only Latin ones stay, by common agreement, via a ratified unified list"		agent (Sonnet 5, claude-sonnet-5), H1682
conj.	9	grammatical: tense / mood	rule-bulk	a	лат	конъ.	DA-vote N5 (19-07-2026): "Abbreviations like Aor. cannot stay untranslated; only Latin ones stay, by common agreement, via a ratified unified list"		agent (Sonnet 5, claude-sonnet-5), H1682
prec.	9	grammatical: tense / mood	rule-bulk	a	лат	прекат.	DA-vote N5 (19-07-2026): "Abbreviations like Aor. cannot stay untranslated; only Latin ones stay, by common agreement, via a ratified unified list"		agent (Sonnet 5, claude-sonnet-5), H1682
imper.	7	grammatical: tense / mood	rule-bulk	a	лат	импер.	DA-vote N5 (19-07-2026): "Abbreviations like Aor. cannot stay untranslated; only Latin ones stay, by common agreement, via a ratified unified list"		agent (Sonnet 5, claude-sonnet-5), H1682
potent.	6	grammatical: tense / mood	rule-bulk	a	лат	потенц.	DA-vote N5 (19-07-2026): "Abbreviations like Aor. cannot stay untranslated; only Latin ones stay, by common agreement, via a ratified unified list"		agent (Sonnet 5, claude-sonnet-5), H1682
praet.	6	grammatical: tense / mood	rule-bulk	a	лат	прет.	DA-vote N5 (19-07-2026): "Abbreviations like Aor. cannot stay untranslated; only Latin ones stay, by common agreement, via a ratified unified list"		agent (Sonnet 5, claude-sonnet-5), H1682
pot.	4	grammatical: tense / mood	rule-bulk	a	лат	потенц.	DA-vote N5 (19-07-2026): "Abbreviations like Aor. cannot stay untranslated; only Latin ones stay, by common agreement, via a ratified unified list"		agent (Sonnet 5, claude-sonnet-5), H1682
Imper.	4	grammatical: tense / mood	rule-bulk	a	лат	импер.	DA-vote N5 (19-07-2026): "Abbreviations like Aor. cannot stay untranslated; only Latin ones stay, by common agreement, via a ratified unified list"		agent (Sonnet 5, claude-sonnet-5), H1682
Perf.	4	grammatical: tense / mood	rule-bulk	a	лат	перф.	DA-vote N5 (19-07-2026): "Abbreviations like Aor. cannot stay untranslated; only Latin ones stay, by common agreement, via a ratified unified list"		agent (Sonnet 5, claude-sonnet-5), H1682
Fut.	4	grammatical: tense / mood	rule-bulk	a	лат	фут.	DA-vote N5 (19-07-2026): "Abbreviations like Aor. cannot stay untranslated; only Latin ones stay, by common agreement, via a ratified unified list"		agent (Sonnet 5, claude-sonnet-5), H1682
Praes.	4	grammatical: tense / mood	rule-bulk	a	лат	през.	DA-vote N5 (19-07-2026): "Abbreviations like Aor. cannot stay untranslated; only Latin ones stay, by common agreement, via a ratified unified list"		agent (Sonnet 5, claude-sonnet-5), H1682
Präs.	4	grammatical: tense / mood	rule-bulk	a	лат	през.	DA-vote N5 (19-07-2026): "Abbreviations like Aor. cannot stay untranslated; only Latin ones stay, by common agreement, via a ratified unified list"		agent (Sonnet 5, claude-sonnet-5), H1682
Imperat.	3	grammatical: tense / mood	rule-bulk	a	лат	импер.	DA-vote N5 (19-07-2026): "Abbreviations like Aor. cannot stay untranslated; only Latin ones stay, by common agreement, via a ratified unified list"		agent (Sonnet 5, claude-sonnet-5), H1682
indic.	1	grammatical: tense / mood	rule-bulk	a	лат	индик.	DA-vote N5 (19-07-2026): "Abbreviations like Aor. cannot stay untranslated; only Latin ones stay, by common agreement, via a ratified unified list"		agent (Sonnet 5, claude-sonnet-5), H1682
precat.	1	grammatical: tense / mood	rule-bulk	a	лат	прекат.	DA-vote N5 (19-07-2026): "Abbreviations like Aor. cannot stay untranslated; only Latin ones stay, by common agreement, via a ratified unified list"		agent (Sonnet 5, claude-sonnet-5), H1682
Imperf.	1	grammatical: tense / mood	rule-bulk	a	лат	имперф.	DA-vote N5 (19-07-2026): "Abbreviations like Aor. cannot stay untranslated; only Latin ones stay, by common agreement, via a ratified unified list"		agent (Sonnet 5, claude-sonnet-5), H1682
Indic.	1	grammatical: tense / mood	rule-bulk	a	лат	индик.	DA-vote N5 (19-07-2026): "Abbreviations like Aor. cannot stay untranslated; only Latin ones stay, by common agreement, via a ratified unified list"		agent (Sonnet 5, claude-sonnet-5), H1682
Potent.	1	grammatical: tense / mood	rule-bulk	a	лат	потенц.	DA-vote N5 (19-07-2026): "Abbreviations like Aor. cannot stay untranslated; only Latin ones stay, by common agreement, via a ratified unified list"		agent (Sonnet 5, claude-sonnet-5), H1682
Prec.	1	grammatical: tense / mood	rule-bulk	a	лат	прекат.	DA-vote N5 (19-07-2026): "Abbreviations like Aor. cannot stay untranslated; only Latin ones stay, by common agreement, via a ratified unified list"		agent (Sonnet 5, claude-sonnet-5), H1682
Opt.	1	grammatical: tense / mood	rule-bulk	a	лат	опт.	DA-vote N5 (19-07-2026): "Abbreviations like Aor. cannot stay untranslated; only Latin ones stay, by common agreement, via a ratified unified list"		agent (Sonnet 5, claude-sonnet-5), H1682
ind.	1	grammatical: tense / mood	rule-bulk	a	лат	индик.	DA-vote N5 (19-07-2026): "Abbreviations like Aor. cannot stay untranslated; only Latin ones stay, by common agreement, via a ratified unified list"	pwgab: indisch/Indikativ — контекст «2. pers. ind.» = индикатив	agent (Sonnet 5, claude-sonnet-5), H1682
partic.	274	grammatical: non-finite / POS / syntax	rule-bulk	a	лат	прич.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
Partic.	62	grammatical: non-finite / POS / syntax	rule-bulk	a	лат	прич.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
infin.	28	grammatical: non-finite / POS / syntax	rule-bulk	a	лат	инф.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
Infin.	24	grammatical: non-finite / POS / syntax	rule-bulk	a	лат	инф.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
absol.	21	grammatical: non-finite / POS / syntax	rule-bulk	a	лат	абс.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
Absol.	20	grammatical: non-finite / POS / syntax	rule-bulk	a	лат	абс.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
inf.	15	grammatical: non-finite / POS / syntax	rule-bulk	a	лат	инф.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
obj.	14	grammatical: non-finite / POS / syntax	rule-bulk	a	лат	объект	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
nom. act.	12	grammatical: non-finite / POS / syntax	rule-bulk	a	лат	имя действия	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
praepp.	7	grammatical: non-finite / POS / syntax	rule-bulk	a	лат	предл.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
praed.	7	grammatical: non-finite / POS / syntax	rule-bulk	a	лат	предик.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
nom. ag.	7	grammatical: non-finite / POS / syntax	rule-bulk	a	лат	имя деятеля	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
Nom. abstr.	7	grammatical: non-finite / POS / syntax	rule-bulk	a	лат	абстр. имя	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
gerund.	6	grammatical: non-finite / POS / syntax	rule-bulk	a	лат	герунд.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy	у PWG = абсолютив на -tvā; ср. абс.	agent (Sonnet 5, claude-sonnet-5), H1682
subst.	5	grammatical: non-finite / POS / syntax	rule-bulk	a	лат	сущ.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
nom. abstr.	5	grammatical: non-finite / POS / syntax	rule-bulk	a	лат	абстр. имя	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
absolut.	5	grammatical: non-finite / POS / syntax	rule-bulk	a	лат	абс.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
subj.	4	grammatical: non-finite / POS / syntax	rule-bulk	a	лат	субъект	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
Obj.	4	grammatical: non-finite / POS / syntax	rule-bulk	a	лат	объект	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
fin.	3	grammatical: non-finite / POS / syntax	rule-bulk	a	лат	финитн.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
indecl.	3	grammatical: non-finite / POS / syntax	rule-bulk	a	лат	нескл.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
part.	2	grammatical: non-finite / POS / syntax	rule-bulk	a	лат	прич.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
Nom. ag.	2	grammatical: non-finite / POS / syntax	rule-bulk	a	лат	имя деятеля	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
Verb.	2	grammatical: non-finite / POS / syntax	rule-bulk	a	лат	глаг.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
Praep.	2	grammatical: non-finite / POS / syntax	rule-bulk	a	лат	предл.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
Subst.	2	grammatical: non-finite / POS / syntax	rule-bulk	a	лат	сущ.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
Ortsadv.	1	grammatical: non-finite / POS / syntax	rule-bulk	a	нем	нареч. места	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
Interj.	1	grammatical: non-finite / POS / syntax	rule-bulk	a	лат	межд.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
nomm.	1	grammatical: non-finite / POS / syntax	rule-bulk	a	лат	имена	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
Inf.	1	grammatical: non-finite / POS / syntax	rule-bulk	a	лат	инф.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
praep.	1	grammatical: non-finite / POS / syntax	rule-bulk	a	лат	предл.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
infinit.	1	grammatical: non-finite / POS / syntax	rule-bulk	a	лат	инф.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
pronomm.	1	grammatical: non-finite / POS / syntax	rule-bulk	a	лат	мест.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
dem.	1	grammatical: non-finite / POS / syntax	rule-bulk	a	лат	указ.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
impers.	40	grammatical: valency / diathesis-adjacent	rule-bulk	a	лат	безл.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
intrans.	26	grammatical: valency / diathesis-adjacent	rule-bulk	a	лат	неперех.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
dopp.	21	grammatical: valency / diathesis-adjacent	rule-bulk	a	нем	двойн.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy	«dopp. Acc.» = «двойн. акк.»	agent (Sonnet 5, claude-sonnet-5), H1682
trans.	19	grammatical: valency / diathesis-adjacent	rule-bulk	a	лат	перех.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
Trans.	2	grammatical: valency / diathesis-adjacent	rule-bulk	a	лат	перех.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
transit.	2	grammatical: valency / diathesis-adjacent	rule-bulk	a	лат	перех.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
intr.	2	grammatical: valency / diathesis-adjacent	rule-bulk	a	лат	неперех.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
intransit.	1	grammatical: valency / diathesis-adjacent	rule-bulk	a	лат	неперех.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
instrans.	1	grammatical: valency / diathesis-adjacent	rule-bulk	a	лат	неперех.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy	опечатка источника (intransitiv)	agent (Sonnet 5, claude-sonnet-5), H1682
neg.	1	grammatical: valency / diathesis-adjacent	rule-bulk	a	лат	отриц.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
