sup7_headword	in_mw72	in_mw99	mw99_annexure	class
anavatta	N	N	N	never-seen
anavavfzwa	N	N	N	never-seen
anavavidDa	N	N	N	never-seen
anavayava	N	N	N	never-seen
anavekzaRIya	N	N	N	never-seen
anavekzaka	N	N	N	never-seen
anavekzin	N	N	N	never-seen
anaveta	N	Y	Y	added-since-mw72
andU	N	Y	N	added-since-mw72
andolay	N	N	N	never-seen
anduka	N	Y	N	added-since-mw72
anekAgra	N	Y	N	added-since-mw72
anekAnta	Y	Y	N	kept
anekArTakEravakOmudI	N	N	N	never-seen
anekAtmavAdin	N	Y	Y	added-since-mw72
aneka	Y	Y	N	kept
anekaDft	N	Y	Y	added-since-mw72
anekaSataBOma	N	N	N	never-seen
anekaSatasAhasra	N	N	N	never-seen
anekavArzika	N	Y	Y	added-since-mw72
anekavarRa	N	Y	Y	added-since-mw72
anelamUka	N	Y	Y	added-since-mw72
aneva	Y	Y	N	kept
aneya	N	N	N	never-seen
aneza	N	N	N	never-seen
anfRI	N	N	N	never-seen
anfRIkaraRa	N	Y	Y	added-since-mw72
anfcam	N	Y	N	added-since-mw72
anfgvedavinIta	N	Y	Y	added-since-mw72
anfju	Y	Y	N	kept
anftAtmaka	N	Y	Y	added-since-mw72
anfta	Y	Y	N	kept
anftakAraka	N	N	N	never-seen
anftakaTa	N	Y	Y	added-since-mw72
anftapaSu	N	Y	Y	added-since-mw72
anftasaMgara	N	Y	Y	added-since-mw72
anftasaMhita	N	Y	Y	added-since-mw72
anftasarvasva	N	Y	Y	added-since-mw72
anftavAdin	N	Y	N	added-since-mw72
anftu	Y	Y	N	kept
anfzaBa	N	Y	Y	added-since-mw72
aniBfta	Y	Y	Y	kept
aniDana	N	N	N	never-seen
aniHSasta	Y	Y	N	kept
aniHsarant	N	N	N	never-seen
aniNgana	N	Y	Y	added-since-mw72
aniNgya	Y	N	N	dropped
aniNgyaSikzA	N	N	N	never-seen
aniSAnta	N	Y	Y	added-since-mw72
aniScAyaka	N	N	N	never-seen
aniScara	N	Y	Y	added-since-mw72
aniSceya	N	Y	Y	added-since-mw72
aniScita	Y	Y	N	kept
anibadDa	Y	Y	N	kept
anicCa	Y	Y	N	kept
anicCu	N	Y	N	added-since-mw72
anicaya	N	Y	Y	added-since-mw72
anicita	N	N	N	never-seen
anidAGadIDiti	N	Y	Y	added-since-mw72
anidAna	Y	Y	N	kept
anikAmatas	Y	Y	N	kept
anikfti	N	Y	Y	added-since-mw72
anikziptaDura	N	N	N	never-seen
anilASana	N	Y	Y	added-since-mw72
anilagulmin	N	N	N	never-seen
animIlitalocana	N	N	N	never-seen
animantrita	Y	Y	N	kept
animeza	N	Y	N	added-since-mw72
animitta	Y	Y	Y	kept
animiz	Y	Y	N	kept
animiza	Y	Y	Y	kept
animizekzaRa	N	N	N	never-seen
animizita	N	Y	Y	added-since-mw72
anipAta	Y	Y	N	kept
anipAtya	N	N	N	never-seen
anipadyamAna	Y	Y	N	kept
aniqa	N	N	N	never-seen
anirAkftin	N	Y	Y	added-since-mw72
anirBinna	N	N	N	never-seen
anirBuja	N	N	N	never-seen
anirIkzaka	N	N	N	never-seen
anirUpita	Y	Y	N	kept
anirdAha	N	N	N	never-seen
anirdizwa	Y	Y	N	kept
anirhARarca	N	N	N	never-seen
anirhuta	N	N	N	never-seen
anirloqita	N	Y	N	added-since-mw72
anirudDa	Y	Y	Y	kept
anirudDaka	N	N	N	never-seen
anirudDasaMhitA	N	N	N	never-seen
anirukta	Y	Y	N	kept
anirvacanIyavAda	N	N	N	never-seen
anirvacana	N	N	N	never-seen
anirvarRya	N	N	N	never-seen
anirvedakara	N	N	N	never-seen
anirvedita	N	Y	Y	added-since-mw72
anirvfta	Y	Y	N	kept
anirviDitsa	N	N	N	never-seen
anirviRRa	Y	Y	N	kept
anirvizwa	N	N	N	never-seen
anisfzwa	N	Y	Y	added-since-mw72
anistizWant	N	N	N	never-seen
anivartin	Y	Y	Y	kept
aniveSaka	N	N	N	never-seen
anivezwyamAna	N	Y	Y	added-since-mw72
anivftta	N	Y	N	added-since-mw72
anivfttayoDin	N	N	N	never-seen
anividDa	N	N	N	never-seen
anivizwa	N	N	N	never-seen
aniyantraRam	N	Y	Y	added-since-mw72
aniyantrita	N	N	N	never-seen
aniyasita	N	Y	Y	added-since-mw72
aniyatapadArTavAdin	N	N	N	never-seen
aniyukta	Y	Y	N	kept
anizWitASa	N	N	N	never-seen
anizidDa	Y	Y	N	kept
anizkAsin	N	Y	N	added-since-mw72
anizkAsita	N	Y	N	added-since-mw72
anizkaDfk	N	N	N	never-seen
anizkfta	Y	Y	N	kept
anizu	Y	Y	N	kept
anizuDanva	N	Y	N	added-since-mw72
anizwasoma	N	N	N	never-seen
anizwubDa	N	N	N	never-seen
anizwusava	N	N	N	never-seen
annASana	N	Y	Y	added-since-mw72
annAvfD	N	Y	N	added-since-mw72
annIy	N	N	N	never-seen
annaBuj	N	Y	Y	added-since-mw72
annaMBawIya	N	N	N	never-seen
annacikitsA	N	N	N	never-seen
annadravaSUla	N	Y	Y	added-since-mw72
annahAra	N	Y	Y	added-since-mw72
annakaraRa	N	Y	Y	added-since-mw72
annapAnaviDi	N	N	N	never-seen
annaparyAyam	N	Y	Y	added-since-mw72
annapatya	N	Y	N	added-since-mw72
annaprASanaka	N	N	N	never-seen
annarasa	N	Y	N	added-since-mw72
annasaMdeha	N	Y	Y	added-since-mw72
annasani	N	N	N	never-seen
annavikAra	N	Y	N	added-since-mw72
annavikfti	N	Y	Y	added-since-mw72
annikA	N	Y	Y	added-since-mw72
anojaska	N	Y	N	added-since-mw72
anokaSAyin	Y	Y	N	kept
anta	Y	Y	N	kept
antaHSAnti	N	Y	Y	added-since-mw72
antaHSvAsa	N	N	N	never-seen
antaHkowarapuzpI	N	Y	N	added-since-mw72
antaHkrOrya	N	Y	Y	added-since-mw72
antaHpArSva	N	Y	Y	added-since-mw72
antaHpAtin	N	Y	Y	added-since-mw72
antaHpUya	N	Y	Y	added-since-mw72
antaHprIti	N	N	N	never-seen
antaHpramoda	N	Y	Y	added-since-mw72
antaHpurADipatya	N	Y	Y	added-since-mw72
antaHpurAvacara	N	Y	Y	added-since-mw72
antaHpuracArikA	N	Y	Y	added-since-mw72
antaHpurevAsa	N	Y	Y	added-since-mw72
antaHsAmika	N	Y	Y	added-since-mw72
antaHsadas	N	Y	Y	added-since-mw72
antaHsmera	N	Y	Y	added-since-mw72
antaHsuzirin	N	Y	Y	added-since-mw72
antaSas	N	Y	Y	added-since-mw72
antadIpaka	N	Y	Y	added-since-mw72
antakAnana	N	Y	Y	added-since-mw72
antakArin	N	Y	N	added-since-mw72
antakapura	N	Y	Y	added-since-mw72
antakaraRa	N	Y	Y	added-since-mw72
antama	Y	Y	N	kept
antanAman	N	Y	Y	added-since-mw72
antanetra	N	Y	Y	added-since-mw72
antapluta	N	Y	Y	added-since-mw72
antarA	Y	Y	Y	kept
antarASfNgIya	N	Y	Y	added-since-mw72
antarASfNgam	N	Y	N	added-since-mw72
antarAhuti	N	N	N	never-seen
antarAntarAt	N	Y	Y	added-since-mw72
antarAntaratas	N	N	N	never-seen
antarAtri	N	N	N	never-seen
antarAvedi	N	N	N	never-seen
antarBAva	Y	Y	Y	kept
antarBAvaprakASikA	N	N	N	never-seen
antarBAvya	N	N	N	never-seen
antarBinna	N	Y	Y	added-since-mw72
antarDA	Y	Y	N	kept
antarDErya	N	Y	Y	added-since-mw72
antarDana	N	Y	Y	added-since-mw72
antarDvAnta	N	Y	Y	added-since-mw72
antaradfS	N	N	N	never-seen
antarakoSa	N	Y	Y	added-since-mw72
antarakrIqA	N	N	N	never-seen
antarantaHsTa	N	Y	Y	added-since-mw72
antarapatita	N	Y	Y	added-since-mw72
antaratas	N	Y	Y	added-since-mw72
antardiS	N	Y	N	added-since-mw72
antareza	N	Y	Y	added-since-mw72
antargaRa	N	Y	Y	added-since-mw72
antargati	N	N	N	never-seen
antargeha	N	Y	N	added-since-mw72
antargozWa	N	Y	N	added-since-mw72
antarikza	Y	Y	N	kept
antarikzadA	N	N	N	never-seen
antariti	N	Y	Y	added-since-mw72
antarjAnu	N	Y	N	added-since-mw72
antarjAnukara	N	N	N	never-seen
antarjAtA	N	N	N	never-seen
antarjaleSaya	N	N	N	never-seen
antarjyotis	N	Y	N	added-since-mw72
antarlIna	N	Y	N	added-since-mw72
antarloma	N	Y	N	added-since-mw72
antarmAMsa	N	N	N	never-seen
antarmanas	N	Y	N	added-since-mw72
antarmandira	N	Y	Y	added-since-mw72
antarmoda	N	Y	Y	added-since-mw72
antarmuKa	N	Y	Y	added-since-mw72
antarmuKatA	N	N	N	never-seen
antarnAvya	N	N	N	never-seen
antarniveSana	N	Y	Y	added-since-mw72
antarukTya	N	N	N	never-seen
antarvArkza	N	N	N	never-seen
antarvAsa	N	N	N	never-seen
antarvAvat	N	Y	Y	added-since-mw72
antarvartin	N	Y	N	added-since-mw72
antaryAmIya	N	N	N	never-seen
antasad	N	Y	N	added-since-mw72
antataH	N	N	N	never-seen
antika	Y	Y	N	kept
antitara	N	Y	Y	added-since-mw72
antrAvaraRa	N	N	N	never-seen
antrakUjana	N	Y	N	added-since-mw72
antravfdDimant	N	N	N	never-seen
antyArDa	N	Y	Y	added-since-mw72
antyapat	N	N	N	never-seen
anuBAva	Y	Y	N	kept
anuBAvin	Y	Y	N	kept
anuBAzita	N	Y	Y	added-since-mw72
anuBava	Y	Y	Y	kept
anuBavam	N	Y	Y	added-since-mw72
anuBavasUtra	N	N	N	never-seen
anuBrazwatejas	N	N	N	never-seen
anuDyAyin	Y	Y	N	kept
anuKaqgam	N	N	N	never-seen
anuSAsin	N	Y	Y	added-since-mw72
anuSaMsana	N	N	N	never-seen
anuSase	N	N	N	never-seen
anuSayavant	N	N	N	never-seen
anuSayin	Y	Y	Y	kept
anuSikzA	N	Y	Y	added-since-mw72
anuSizwi	Y	Y	N	kept
anuSoka	Y	Y	N	kept
anuSrotavya	N	Y	Y	added-since-mw72
anubanDa	Y	Y	N	kept
anubanDikA	N	N	N	never-seen
anubanDya	Y	Y	N	kept
anubimbana	N	Y	Y	added-since-mw72
anubimbita	N	Y	Y	added-since-mw72
anuboDa	Y	Y	Y	kept
anucCAstravartin	N	N	N	never-seen
anucCindant	N	N	N	never-seen
anucCvasamAna	N	N	N	never-seen
anucarita	N	N	N	never-seen
anucca	Y	Y	N	kept
anuccita	N	N	N	never-seen
anudAttatara	N	Y	N	added-since-mw72
anudAyin	N	N	N	never-seen
anudBAsin	N	N	N	never-seen
anudBAvita	N	N	N	never-seen
anudBava	N	N	N	never-seen
anudData	Y	Y	N	kept
anudEvatam	N	N	N	never-seen
anudaSama	N	N	N	never-seen
anudakyA	N	N	N	never-seen
anudaya	Y	Y	N	kept
anudayaBAj	N	N	N	never-seen
anudeSaka	N	N	N	never-seen
anudiSam	Y	Y	N	kept
anudravaRa	N	Y	Y	added-since-mw72
anudrikta	N	N	N	never-seen
anudvAra	N	Y	Y	added-since-mw72
anugApana	N	Y	Y	added-since-mw72
anugAyas	Y	Y	N	kept
anugIta	N	Y	Y	added-since-mw72
anugamanaviDAna	N	N	N	never-seen
anugantavya	Y	Y	N	kept
anugodam	Y	Y	N	kept
anugrahItar	N	N	N	never-seen
anugrahItavya	N	N	N	never-seen
anugrahaRa	N	Y	Y	added-since-mw72
anugrahita	N	Y	N	added-since-mw72
anuguRa	Y	Y	N	kept
anuguRita	N	N	N	never-seen
anuharaRa	Y	Y	Y	kept
anujIvisAt	N	N	N	never-seen
anujYApana	Y	Y	Y	kept
anujYApya	N	Y	Y	added-since-mw72
anujyezWam	N	Y	N	added-since-mw72
anukArAnukArin	N	N	N	never-seen
anukAra	Y	Y	Y	kept
anukUlokta	N	N	N	never-seen
anukampaka	Y	Y	N	kept
anukampita	Y	Y	N	kept
anukampya	Y	Y	Y	kept
anukarzaRa	N	Y	Y	added-since-mw72
anukta	Y	Y	N	kept
anukti	Y	Y	N	kept
anukzapam	Y	Y	N	kept
anulApin	N	N	N	never-seen
anulbaRa	Y	Y	N	kept
anullaNGanIya	N	N	N	never-seen
anulomapratiloma	N	Y	Y	added-since-mw72
anulomay	N	N	N	never-seen
anumAna	Y	Y	N	kept
anumArga	N	Y	Y	added-since-mw72
anumArjana	N	N	N	never-seen
anumAsa	Y	N	N	dropped
anumAtar	N	N	N	never-seen
anumantar	N	N	N	never-seen
anumatavajra	N	Y	Y	added-since-mw72
anumati	Y	Y	N	kept
anumeya	Y	Y	N	kept
anumita	Y	Y	N	kept
anumiti	Y	Y	N	kept
anumodin	N	Y	Y	added-since-mw72
anunIti	Y	Y	N	kept
anunadi	N	Y	Y	added-since-mw72
anuniSITam	N	Y	N	added-since-mw72
anuninIzA	N	Y	Y	added-since-mw72
anunmAda	N	Y	N	added-since-mw72
anunmatta	Y	Y	N	kept
anunmukta	N	N	N	never-seen
anupASraya	N	N	N	never-seen
anupAde	N	Y	Y	added-since-mw72
anupAdeya	N	N	N	never-seen
anupAkruzwa	N	Y	Y	added-since-mw72
anupAlaBya	N	N	N	never-seen
anupArata	N	N	N	never-seen
anupAsitavfdDa	N	N	N	never-seen
anupAta	Y	Y	N	kept
anupAtavya	N	N	N	never-seen
anupAtyaya	N	N	N	never-seen
anupAya	N	Y	Y	added-since-mw72
anupAyin	Y	Y	N	kept
anupUraRa	N	Y	Y	added-since-mw72
anupUrva	Y	Y	N	kept
anupaBujyamAna	Y	Y	N	kept
anupaDi	N	N	N	never-seen
anupaDmAta	N	Y	Y	added-since-mw72
anupaGnant	N	N	N	never-seen
anupacarita	N	Y	Y	added-since-mw72
anupacita	N	N	N	never-seen
anupadasta	N	Y	N	added-since-mw72
anupadeSa	Y	N	N	dropped
anupadrazwar	N	N	N	never-seen
anupahUyamAna	N	Y	N	added-since-mw72
anupahata	Y	Y	N	kept
anupalIQa	N	Y	Y	added-since-mw72
anupalabDisama	N	Y	N	added-since-mw72
anupalabDivAda	N	N	N	never-seen
anupamakzant	N	N	N	never-seen
anupamasaMhArigranTa	N	N	N	never-seen
anupanAha	Y	Y	Y	kept
anupanIta	N	N	N	never-seen
anupanamra	N	N	N	never-seen
anupanata	N	Y	Y	added-since-mw72
anupapanna	Y	Y	N	kept
anupapatti	Y	Y	N	kept
anupapattimant	N	N	N	never-seen
anuparicAram	N	Y	N	added-since-mw72
anuparihAram	N	Y	N	added-since-mw72
anuparikrAmam	N	Y	N	added-since-mw72
anuparoDin	N	N	N	never-seen
anuparvata	N	Y	Y	added-since-mw72
anupasTitAgni	N	N	N	never-seen
anupasarga	Y	Y	N	kept
anupaskfta	Y	Y	N	kept
anupaviSant	N	N	N	never-seen
anupavizwa	N	N	N	never-seen
anupayAnt	N	N	N	never-seen
anupayoga	Y	Y	N	kept
anupekzaRa	N	N	N	never-seen
anupeta	Y	Y	Y	kept
anupeyA	N	N	N	never-seen
anupeyamAnA	N	N	N	never-seen
anupfzwa	N	N	N	never-seen
anupiRqam	N	Y	Y	added-since-mw72
anupradAna	Y	Y	N	kept
anuprakampana	N	N	N	never-seen
anuprasarpaka	N	Y	Y	added-since-mw72
anupravrajana	N	Y	Y	added-since-mw72
anuprazwar	N	N	N	never-seen
anupriya	N	Y	Y	added-since-mw72
anurAga	Y	Y	N	kept
anuraRana	Y	Y	N	kept
anurakzitavya	N	N	N	never-seen
anurasita	N	Y	N	added-since-mw72
anuroDavatI	N	N	N	never-seen
anuroha	N	Y	N	added-since-mw72
anusAnu	Y	Y	N	kept
anusaMDAnIya	N	Y	Y	added-since-mw72
anusaMcara	N	Y	N	added-since-mw72
anusaMtati	N	Y	N	added-since-mw72
anusaraRa	Y	Y	Y	kept
anusarga	Y	Y	Y	kept
anusartar	N	N	N	never-seen
anusftavatsA	N	Y	Y	added-since-mw72
anusfzwi	N	N	N	never-seen
anusrotasam	N	N	N	never-seen
anustanita	N	Y	Y	added-since-mw72
anutApaka	N	Y	Y	added-since-mw72
anutApin	Y	Y	N	kept
anutIrTam	N	N	N	never-seen
anutKAta	N	N	N	never-seen
anutTita	Y	Y	N	kept
anutarza	Y	Y	Y	kept
anutarzula	Y	Y	N	kept
anutkrAmuka	N	N	N	never-seen
anutodana	N	N	N	never-seen
anutpUta	N	Y	Y	added-since-mw72
anutsAha	Y	Y	N	kept
anutsAhin	N	N	N	never-seen
anutsArita	N	N	N	never-seen
anutsUtrapadanyAsa	N	N	N	never-seen
anutsarpaRa	N	N	N	never-seen
anutsfzwa	N	Y	Y	added-since-mw72
anutsuka	Y	Y	N	kept
anutta	Y	Y	Y	kept
anuttara	Y	Y	N	kept
anuttaraMga	N	Y	Y	added-since-mw72
anuttaravedika	N	N	N	never-seen
anuvA	Y	Y	N	kept
anuvAdin	N	Y	N	added-since-mw72
anuvAha	N	N	N	never-seen
anuvAkya	Y	Y	N	kept
anuvanAntam	N	Y	Y	added-since-mw72
anuvanam	Y	Y	N	kept
anuvapram	N	Y	Y	added-since-mw72
anuvarRayitavya	N	N	N	never-seen
anuvasu	N	N	N	never-seen
anuvatsarIRa	N	Y	N	added-since-mw72
anuvft	Y	Y	N	kept
anuvilepana	N	N	N	never-seen
anuvrajana	Y	Y	N	kept
anuvrajya	N	Y	N	added-since-mw72
anuvyADa	N	Y	N	added-since-mw72
anuvyAhfta	N	Y	Y	added-since-mw72
anuvyApin	N	Y	Y	added-since-mw72
anuyAja	Y	Y	N	kept
anuyAjavant	N	N	N	never-seen
anuyiyAsu	N	Y	Y	added-since-mw72
anuyogin	Y	Y	N	kept
anuyojya	Y	Y	N	kept
anuzRASIta	N	Y	N	added-since-mw72
anuzWAna	Y	Y	N	kept
anuzWAyajYayajYIya	N	N	N	never-seen
anuzWiti	N	N	N	never-seen
anuzwuB	Y	Y	Y	kept
anuzwubgAyatrIkAram	N	N	N	never-seen
anuzwupCandas	N	Y	N	added-since-mw72
anuzyade	N	N	N	never-seen
anuzyanda	Y	Y	N	kept
anvAkSAyam	N	Y	N	added-since-mw72
anvAramBaRIyadevatA	N	N	N	never-seen
anvArohaRa	Y	Y	N	kept
anvaByavacAram	N	Y	Y	added-since-mw72
anvagjyezWa	N	Y	Y	added-since-mw72
anvajiravati	N	N	N	never-seen
anvakzaram	N	Y	Y	added-since-mw72
anvatrasta	N	N	N	never-seen
anvavapAtos	N	N	N	never-seen
anvazwakA	Y	Y	N	kept
anvazwakI	N	N	N	never-seen
anvetavE	N	N	N	never-seen
anvezizizu	N	N	N	never-seen
anvezwavya	Y	Y	N	kept
anvicCA	N	Y	Y	added-since-mw72
anyAdfSa	N	Y	Y	added-since-mw72
anyApadeSa	N	Y	Y	added-since-mw72
anyAya	Y	Y	Y	kept
anyAyaDanyacarita	N	N	N	never-seen
anyAyatas	N	Y	Y	added-since-mw72
anyAyin	Y	Y	Y	kept
anyUnAtiriktANga	N	Y	Y	added-since-mw72
anya	Y	Y	N	kept
anyaBAvin	N	Y	N	added-since-mw72
anyaSfNga	N	Y	Y	added-since-mw72
anyaTASIlika	N	Y	Y	added-since-mw72
anyaTAkaraRa	N	Y	Y	added-since-mw72
anyabanDu	N	Y	Y	added-since-mw72
anyajanatA	N	Y	Y	added-since-mw72
anyapUrvA	N	Y	N	added-since-mw72
anyapara	N	Y	N	added-since-mw72
anyarAzwriya	N	Y	Y	added-since-mw72
anyatIrTika	N	Y	Y	added-since-mw72
anyatarAnyatara	N	Y	Y	added-since-mw72
anyataratotirAtra	N	N	N	never-seen
anyatas	Y	Y	N	kept
anyatpArSva	N	Y	Y	added-since-mw72
anyatra	Y	Y	N	kept
anyatrakaraRa	N	Y	Y	added-since-mw72
anyavarRa	N	Y	N	added-since-mw72
anyayajYa	N	Y	Y	added-since-mw72
anyodarya	N	Y	N	added-since-mw72
anyokti	N	Y	Y	added-since-mw72
anyoktimuktAvalI	N	N	N	never-seen
anyonyABiBavavftti	N	N	N	never-seen
anyonyASraya	N	Y	N	added-since-mw72
anyonyApatitatyAgin	N	Y	Y	added-since-mw72
anyonyajananavftti	N	N	N	never-seen
anyonyakftya	N	Y	Y	added-since-mw72
anyonyamiTuna	N	Y	Y	added-since-mw72
apANga	Y	Y	N	kept
apARi	N	Y	Y	added-since-mw72
apARigrahaRA	N	N	N	never-seen
apATeya	N	N	N	never-seen
apAWa	N	Y	Y	added-since-mw72
apAYcAlya	N	Y	Y	added-since-mw72
apAcya	Y	Y	N	kept
apAdAdiBAj	Y	Y	N	kept
apAdAna	Y	Y	N	kept
apAdya	Y	Y	Y	kept
apAkartos	N	N	N	never-seen
apAkesTa	N	N	N	never-seen
apAkfti	Y	Y	N	kept
apAli	Y	Y	N	kept
apAmArgI	N	N	N	never-seen
apAmArjana	Y	Y	N	kept
apAmaMBavizRu	N	Y	N	added-since-mw72
apAmitya	N	Y	N	added-since-mw72
apAnIya	N	Y	Y	added-since-mw72
apAnadfh	N	Y	N	added-since-mw72
apAnunutsu	N	Y	Y	added-since-mw72
apApAya	N	Y	Y	added-since-mw72
apApad	N	Y	Y	added-since-mw72
apApadarSin	N	N	N	never-seen
apApaka	N	N	N	never-seen
apAparogin	N	N	N	never-seen
apArAyaRIya	N	N	N	never-seen
apArTI	N	N	N	never-seen
apArTay	N	N	N	never-seen
apAra	Y	Y	Y	kept
apAraRIya	Y	Y	N	kept
apArayant	N	N	N	never-seen
apArijAta	N	Y	Y	added-since-mw72
apAsa	N	N	N	never-seen
apAtrI	N	N	N	never-seen
apAvaraRa	N	N	N	never-seen
apAvft	Y	Y	N	kept
apAwita	N	N	N	never-seen
apAyasaMvartanIya	N	Y	Y	added-since-mw72
apIqA	N	Y	N	added-since-mw72
apIqana	Y	Y	N	kept
apIqayant	N	N	N	never-seen
apOrRamAsa	N	N	N	never-seen
apOrava	N	N	N	never-seen
apOruzeya	N	Y	N	added-since-mw72
apOzkalya	Y	Y	N	kept
apSuzka	N	N	N	never-seen
apUpa	Y	Y	N	kept
apUrRa	Y	Y	N	kept
apUra	N	Y	Y	added-since-mw72
apUraRa	N	Y	Y	added-since-mw72
apUrva	Y	Y	Y	kept
apUrvamaRi	N	N	N	never-seen
apUrvin	N	Y	Y	added-since-mw72
apUrya	N	N	N	never-seen
apUtaBft	N	N	N	never-seen
apaBAzaRa	Y	Y	Y	kept
apaBAzitavE	N	Y	Y	added-since-mw72
apaBasman	N	N	N	never-seen
apaDyAna	Y	Y	N	kept
apaGana	Y	Y	N	kept
apaNka	N	Y	Y	added-since-mw72
apaSAlIna	N	Y	Y	added-since-mw72
apaSIla	N	Y	Y	added-since-mw72
apaSabdanirAkaraRa	N	N	N	never-seen
apaSabdita	N	Y	Y	added-since-mw72
apaSlIlAyita	N	N	N	never-seen
apaSrama	N	Y	Y	added-since-mw72
apaSutA	N	Y	N	added-since-mw72
apaSyant	N	N	N	never-seen
apaTa	Y	Y	N	kept
apaTadAyin	N	Y	Y	added-since-mw72
apaTakalpanA	N	N	N	never-seen
apacAyaka	N	Y	Y	added-since-mw72
apacAyin	N	Y	N	added-since-mw72
apacAyitar	N	N	N	never-seen
apacamAnaka	N	Y	Y	added-since-mw72
apacetas	N	Y	Y	added-since-mw72
apacikIrzu	N	Y	Y	added-since-mw72
apacit	Y	Y	N	kept
apacita	Y	Y	N	kept
apaciti	Y	Y	N	kept
apadAnta	N	Y	Y	added-since-mw72
apadUzaRa	N	Y	Y	added-since-mw72
apadaSa	Y	Y	N	kept
apadarpa	N	Y	Y	added-since-mw72
apadfzwi	N	Y	Y	added-since-mw72
apadibadDa	N	Y	Y	added-since-mw72
apadozya	N	N	N	never-seen
apadyamAna	N	N	N	never-seen
apagUrti	N	N	N	never-seen
apagatakAlaka	N	Y	Y	added-since-mw72
apagataraSmivant	N	N	N	never-seen
apagfhya	N	Y	Y	added-since-mw72
apagrahaRa	N	N	N	never-seen
apahAraka	Y	Y	N	kept
apahArya	N	Y	Y	added-since-mw72
apahara	N	Y	N	added-since-mw72
apaharaRa	Y	Y	Y	kept
apahasita	Y	Y	Y	kept
apahastaka	N	Y	Y	added-since-mw72
apahft	N	Y	Y	added-since-mw72
apahnava	Y	Y	N	kept
apahnavana	N	Y	Y	added-since-mw72
apahvara	N	Y	Y	added-since-mw72
apajaya	Y	Y	N	kept
apakAraka	Y	Y	N	kept
apakaRwaka	N	Y	Y	added-since-mw72
apakalmaza	Y	Y	N	kept
apakartana	N	Y	Y	added-since-mw72
apakaruRa	Y	Y	N	kept
apakarzaRIya	N	N	N	never-seen
apakarzasama	N	Y	N	added-since-mw72
apakazAya	N	Y	N	added-since-mw72
apakft	Y	Y	Y	kept
apakftya	Y	Y	Y	kept
apakrAmam	N	Y	Y	added-since-mw72
apakrAnta	N	Y	Y	added-since-mw72
apakrAnti	N	Y	N	added-since-mw72
apakzARa	N	N	N	never-seen
apakzapAta	N	Y	N	added-since-mw72
apakzapAtin	N	Y	Y	added-since-mw72
apakzaya	Y	Y	N	kept
apakzigaRasaMGAta	N	N	N	never-seen
apakzigaRasaMpAta	N	N	N	never-seen
apalAyana	N	N	N	never-seen
apalAyin	N	N	N	never-seen
apalakzaRa	N	N	N	never-seen
apalakzmaRa	N	Y	Y	added-since-mw72
apalapana	Y	Y	N	kept
apamArjanaka	N	N	N	never-seen
apamada	N	Y	Y	added-since-mw72
apamatsara	N	N	N	never-seen
apamfzwi	N	Y	Y	added-since-mw72
apamud	N	Y	Y	added-since-mw72
apanaya	Y	Y	N	kept
apanayana	Y	Y	N	kept
apaneya	N	Y	Y	added-since-mw72
apanidra	Y	Y	Y	kept
apanidrant	N	N	N	never-seen
apaninIzA	N	Y	Y	added-since-mw72
apanizAduka	N	Y	Y	added-since-mw72
apanodaka	N	Y	Y	added-since-mw72
apanodana	Y	Y	N	kept
apanodin	N	N	N	never-seen
apanunutsu	Y	Y	N	kept
apanuti	N	N	N	never-seen
apanutti	Y	Y	N	kept
apapAtra	Y	Y	N	kept
apapayas	N	Y	Y	added-since-mw72
apapivaMs	N	N	N	never-seen
apaprasara	N	Y	Y	added-since-mw72
aparABava	N	Y	Y	added-since-mw72
aparADIna	N	Y	N	added-since-mw72
aparADavant	N	N	N	never-seen
aparANmuKa	N	Y	N	added-since-mw72
aparAdDezu	N	Y	N	added-since-mw72
aparAditya	N	N	N	never-seen
aparAgata	N	N	N	never-seen
aparAjaya	N	N	N	never-seen
aparAjita	Y	Y	N	kept
aparAjitagaRa	N	Y	Y	added-since-mw72
aparAktva	N	Y	Y	added-since-mw72
aparAmfzwa	Y	Y	Y	kept
aparAnta	N	Y	N	added-since-mw72
aparApAta	N	Y	Y	added-since-mw72
aparArDya	N	Y	Y	added-since-mw72
aparAtaMsa	N	N	N	never-seen
aparAvApa	N	Y	Y	added-since-mw72
aparAvantya	N	N	N	never-seen
aparAvapizWa	N	Y	Y	added-since-mw72
aparAvfttaBAgaDeya	N	Y	Y	added-since-mw72
aparAvftti	N	Y	Y	added-since-mw72
aparAyaRa	N	Y	Y	added-since-mw72
aparIkzita	Y	Y	N	kept
aparItta	N	Y	Y	added-since-mw72
aparItya	N	Y	Y	added-since-mw72
aparadIkzin	N	Y	Y	added-since-mw72
aparakArya	N	N	N	never-seen
aparakAya	N	Y	N	added-since-mw72
aparakarman	N	N	N	never-seen
aparakriyA	N	N	N	never-seen
apararAtri	N	Y	Y	added-since-mw72
aparasa	N	N	N	never-seen
aparaviDi	N	N	N	never-seen
aparedyus	Y	Y	N	kept
aparezukAmaSamI	N	N	N	never-seen
aparhARa	N	Y	N	added-since-mw72
apariBAzita	N	Y	Y	added-since-mw72
apariBAzya	N	N	N	never-seen
apariBUtAjYa	N	N	N	never-seen
apariBakzita	N	N	N	never-seen
apariBavanIya	N	N	N	never-seen
apariBraSyamAna	N	Y	N	added-since-mw72
apariBukta	N	N	N	never-seen
apariRAma	Y	Y	N	kept
