pwk_L	pwk_pc	hw_slp1	iast	pipeline_tier	rank	mw_fuzzy	evidence	mw_forms	verdict	corr_n	corr_dicts	mahavy	mahavy_refs	dcs_lemma	dcs_form	body_chars	review_note
211015	7-298-c	anAyasita	anāyasita	nearform0.89		aniyasita		aniyasita	confirmed-missing	3	md;sch;stc	0		0	0	84	add-check:auto-confirmed-false-friend: near form 'aniyasita' is a separate pw.txt entry at 1-288-c (candidate at 7-298-c) carrying its own distinct sense - omission stands
211016	7-298-c	anArabDa	anārabdha	nearform0.88		anAlabDa		anAlabDa	confirmed-missing	2	bhs;sch	0		1	1	40	add-check:auto-confirmed-false-friend: near form 'anAlabDa' is a separate pw.txt entry at 1-046-c (candidate at 7-298-c) carrying its own distinct sense - omission stands
211017	7-298-c	anAraByavigarhija	anārabhyavigarhija	NO-MATCH	C				confirmed-missing	0		0		0	0	125	
211018	7-298-c	anArudDa	anāruddha	nearform0.88		anirudDa		anirudDa	confirmed-missing	1	sch	0		0	0	40	add-check:auto-confirmed-false-friend: near form 'anirudDa' is a separate pw.txt entry at 1-048-b (candidate at 7-298-c) carrying its own distinct sense - omission stands
211020	7-298-c	anAropya	anāropya	nearform0.88		anArogya		anArogya	confirmed-missing	1	sch	0		0	0	40	add-check:auto-confirmed-false-friend: near form 'anArogya' is a separate pw.txt entry at 1-046-b (candidate at 7-298-c) carrying its own distinct sense - omission stands
211021	7-298-c	anArohaka	anārohaka	nearform0.82		anvAroha		anvAroha	confirmed-missing	1	sch	0		0	0	92	add-check:auto-confirmed-false-friend: near form 'anvAroha' is a separate pw.txt entry at 1-068-b (candidate at 7-298-c) carrying its own distinct sense - omission stands
211022	7-298-c	anArdrakaramuKa	anārdrakaramukha	NO-MATCH	C				confirmed-missing	1	sch	0		0	0	67	
211023	7-298-c	anArBava	anārbhava	nearform0.94		antarBava		antarBava	near-form-needs-eyes	1	sch	0		0	0	40	
211024	7-298-c	anAryava	anāryava	nearform0.94		anAryatva		anAryatva	near-form-needs-eyes	1	sch	0		0	0	62	
211026	7-298-c	anAlakzya	anālakṣya	nearform0.89		anulakzya		anulakzya	near-form-needs-eyes	3	md;sch;stc	0		1	1	41	
211028	7-298-c	anAlambanatA	anālambanatā	NO-MATCH	B		B:anAlamba		confirmed-missing	1	gst	0		0	0	44	
211029	7-298-c	anAlambam	anālambam	stem				anAlambI;anAlamba	covered-by-MW-stem-form	1	sch	0		0	1	41	
211030	7-298-c	anAlamBuka	anālambhuka	stem				anAlamBukA	covered-by-MW-stem-form	2	pwg;sch	0		0	0	45	
211031	7-298-c	anAlasya	anālasya	nearform0.93		analAya		analAya	near-form-needs-eyes	3	md;sch;stc	0		1	0	43	
211032	7-298-c	anAlIQa	anālīḍha	nearform0.86		avalIQA		avalIQA	confirmed-missing	4	bhs;md;sch;stc	0		1	0	39	add-check:auto-confirmed-false-friend: near form 'avalIQA' is a separate pw.txt entry at 1-125-b (candidate at 7-298-c) carrying its own distinct sense - omission stands
211033	7-298-c	anAleSa	anāleśa	NO-MATCH	C				confirmed-missing	1	sch	0		0	0	40	
211034	7-298-d	anAloka	anāloka	nearform0.86		anAroka		anAroka	confirmed-missing	2	sch;stc	0		1	1	39	add-check:auto-confirmed-false-friend: near form 'anAroka' is a separate pw.txt entry at 3-250-a (candidate at 7-298-d) carrying its own distinct sense - omission stands
211036	7-298-d	anAvaSyakatva	anāvaśyakatva	NO-MATCH	B		B:anAlocita		confirmed-missing	1	sch	0		0	0	45	
211037	7-298-d	anAvigna	anāvigna	nearform0.80		anAvila		anAvila	confirmed-missing	1	sch	0		0	0	40	add-check:auto-confirmed-false-friend: near form 'anAvila' is a separate pw.txt entry at 1-046-c (candidate at 7-298-d) carrying its own distinct sense - omission stands
211039	7-298-d	anAvizkurvant	anāviṣkurvant	NO-MATCH	A		A:anAvidDa;A:anAvfta		confirmed-missing	1	sch	0		0	0	71	
211043	7-298-d	anASramaDarmin	anāśramadharmin	NO-MATCH	B		B:anASIrka;B:anASramin		confirmed-missing	1	sch	0		0	0	46	
211045	7-298-d	anASrava	anāśrava	nearform1.00		anAsrava		anAsrava	covered-by-fold-twin-flagged	8	ap;ap90;ben;bhs;lrv;md;sch;stc	0		1	0	43	case/vowel-length twin of MW form (Akalita/akalita trap) - same lexeme or distinct word, needs eyes
211046	7-298-d	anASvAsa	anāśvāsa	nearform0.93		anASvas		anASvas	near-form-needs-eyes	4	ap;bhs;sch;vcp	0		0	0	108	
211048	7-298-d	anAsanayogavihita	anāsanayogavihita	NO-MATCH	A		A:anASvAsika		confirmed-missing	1	sch	0		0	0	49	
211049	7-298-d	anAsavAKya	anāsavākhya	nearform0.80		ananvavAya		ananvavAya	confirmed-missing	3	md;sch;stc	0		0	0	42	add-check:auto-confirmed-false-friend: near form 'ananvavAya' is a separate pw.txt entry at 1-287-b (candidate at 7-298-d) carrying its own distinct sense - omission stands
211050	7-298-d	anAsAdayant	anāsādayant	NO-MATCH	C				confirmed-missing	4	cae;ccs;sch;stc	0		0	0	43	
211051	7-298-d	anAsAdayamAna	anāsādayamāna	NO-MATCH	B		B:anAsAdita		confirmed-missing	1	sch	0		1	0	107	
211053	7-298-d	anAsita	anāsita	nearform1.00		anASita		anASita	covered-by-fold-twin-flagged	2	sch;stc	0		0	0	39	case/vowel-length twin of MW form (Akalita/akalita trap) - same lexeme or distinct word, needs eyes
211054	7-298-d	anAseDa	anāsedha	NO-MATCH	C				confirmed-missing	1	sch	0		0	0	39	
211055	7-298-d	anAstarita	anāstarita	nearform0.90		anantarita		anantarita	confirmed-missing	1	sch	0		0	0	93	add-check:auto-confirmed-false-friend: near form 'anantarita' is a separate pw.txt entry at 1-040-b (candidate at 7-298-d) carrying its own distinct sense - omission stands
211056	7-298-d	anAstfta	anāstṛta	nearform0.80		anAdfta		anAdfta	confirmed-missing	1	sch	0		1	1	40	add-check:auto-confirmed-false-friend: near form 'anAdfta' is a separate pw.txt entry at 1-045-b (candidate at 7-298-d) carrying its own distinct sense - omission stands
211058	7-298-d	anAsTita	anāsthita	nearform0.88		anAstika		anAstika	confirmed-missing	2	sch;stc	0		0	0	89	add-check:auto-confirmed-false-friend: near form 'anAstika' is a separate pw.txt entry at 1-047-a (candidate at 7-298-d) carrying its own distinct sense - omission stands
211060	7-298-d	anAhuta	anāhuta	stem				anAhuti	covered-by-MW-stem-form	5	sch;shs;stc;wil;yat	0		0	0	42	
211063	7-298-d	anikziptaDura	anikṣiptadhura	nearform1.00		anikziptaDUra		anikziptaDUra	covered-by-fold-twin-flagged	2	bhs;sch	0		1	0	60	case/vowel-length twin of MW form (Akalita/akalita trap) - same lexeme or distinct word, needs eyes
211065	7-298-d	aniNgya	aniṅgya	nearform0.92		aniNga		aniNga	near-form-needs-eyes	6	acc;ap;bur;mw72;pwg;sch	0		0	0	42	auto-confirm withheld: candidate's own pw entry equates it to the near form (aniNga) - variant/editorial call, not a clean omission
211066	7-298-d	aniNgyaSikzA	aniṅgyaśikṣā	NO-MATCH	A		A:anicaya		confirmed-missing	1	acc	0		0	0	44	
211068	7-298-d	anicita	anicita	nearform0.93		aniScita		aniScita	confirmed-missing	2	sch;stc	0		0	0	39	add-check:auto-confirmed-false-friend: near form 'aniScita' is a separate pw.txt entry at 1-049-b (candidate at 7-298-d) carrying its own distinct sense - omission stands
211071	7-298-d	aniqa	aniḍa	nearform0.80		anina		anina	near-form-needs-eyes	1	sch	0		0	0	55	auto-confirm withheld: a case-folded MW headword exists (Akalita/akalita trap: SLP1 case is phonemic) - needs eyes
211074	7-299-a	aniDana	anidhana	nearform1.00		AniDana		AniDana	covered-by-fold-twin-flagged	1	sch	0		0	0	39	case/vowel-length twin of MW form (Akalita/akalita trap) - same lexeme or distinct word, needs eyes
211076	7-299-a	anipAtya	anipātya	nearform0.93		anipAta		anipAta	confirmed-missing	1	sch	0		0	0	40	add-check:auto-confirmed-false-friend: near form 'anipAta' is a separate pw.txt entry at 7-385-c (candidate at 7-299-a) carrying its own distinct sense - omission stands
211084	7-299-a	animizekzaRa	animiṣekṣaṇa	NO-MATCH	A		A:animizita		confirmed-missing	2	cae;sch	0		0	0	44	
211085	7-299-a	animIlitalocana	animīlitalocana	NO-MATCH	B		B:animeza		confirmed-missing	2	sch;stc	0		0	0	143	
211087	7-299-a	aniyatapadArTavAdin	aniyatapadārthavādin	NO-MATCH	A		B:animeza;A:aniyantraRam		confirmed-missing	1	sch	0		0	0	189	
211089	7-299-a	aniyantrita	aniyantrita	nearform0.91		animantrita		animantrita	confirmed-missing	2	sch;vcp	0		1	1	43	add-check:auto-confirmed-false-friend: near form 'animantrita' is a separate pw.txt entry at 2-289-a (candidate at 7-299-a) carrying its own distinct sense - omission stands
211093	7-299-a	anirIkzaka	anirīkṣaka	NO-MATCH	A		A:anirAkftin;B:anirukta		confirmed-missing	2	md;sch	0		0	0	42	
211096	7-299-a	anirudDaka	aniruddhaka	nearform0.80		anirdAhuka		anirdAhuka	confirmed-missing	1	sch	0		1	0	82	add-check:auto-confirmed-false-friend: near form 'anirdAhuka' is a separate pw.txt entry at 1-288-c (candidate at 7-299-a) carrying its own distinct sense - omission stands
211097	7-299-a	anirudDasaMhitA	aniruddhasaṃhitā	NO-MATCH	B		B:anirUpita		confirmed-missing	2	acc;sch	0		0	0	47	
211099	7-299-a	anirdAha	anirdāha	nearform0.88		agnidAha		agnidAha	confirmed-missing	1	sch	0		0	0	61	add-check:auto-confirmed-false-friend: near form 'agnidAha' is a separate pw.txt entry at 1-007-b (candidate at 7-299-a) carrying its own distinct sense - omission stands
211101	7-299-a	anirBinna	anirbhinna	nearform0.84		antarBinna		antarBinna	confirmed-missing	4	ccs;md;sch;stc	0		0	0	44	add-check:auto-confirmed-false-friend: near form 'antarBinna' is a separate pw.txt entry at 7-385-c (candidate at 7-299-a) carrying its own distinct sense - omission stands
211102	7-299-a	anirBuja	anirbhuja	NO-MATCH	B		B:anirloqita		confirmed-missing	1	sch	0		0	0	103	
211104	7-299-a	anirvacana	anirvacana	nearform0.86		antarvacana		antarvacana	near-form-needs-eyes	1	sch	0		1	1	42	
211105	7-299-a	anirvacanIyavAda	anirvacanīyavāda	NO-MATCH	C				confirmed-missing	2	acc;sch	0		0	0	48	
211106	7-299-a	anirvarRya	anirvarṇya	nearform0.84		agnivarRa		agnivarRa	confirmed-missing	1	sch	0		0	0	132	add-check:auto-confirmed-false-friend: near form 'agnivarRa' is a separate pw.txt entry at 1-008-a (candidate at 7-299-a) carrying its own distinct sense - omission stands
211108	7-299-a	anirviDitsa	anirvidhitsa	NO-MATCH	B		B:anirviRRa		confirmed-missing	2	sch;stc	0		0	0	43	
211109	7-299-a	anirvizwa	anirviṣṭa	nearform0.89		anirdizwa		anirdizwa	confirmed-missing	1	sch	0		1	0	41	add-check:auto-confirmed-false-friend: near form 'anirdizwa' is a separate pw.txt entry at 1-048-c (candidate at 7-299-a) carrying its own distinct sense - omission stands
211111	7-299-a	anirvedakara	anirvedakara	NO-MATCH	A		B:anirvfta;A:anirvedita		confirmed-missing	1	sch	0		0	0	44	
211113	7-299-b	anirhARarca	anirhāṇarca	NO-MATCH	A		A:anirvedita		confirmed-missing	2	md;sch	0		0	0	43	
211114	7-299-b	anirhuta	anirhuta	nearform0.88		agnihuta		agnihuta	confirmed-missing	2	sch;stc	0		0	0	40	add-check:auto-confirmed-false-friend: near form 'agnihuta' is a separate pw.txt entry at 1-283-b (candidate at 7-299-b) carrying its own distinct sense - omission stands
211115	7-299-b	anilagulmin	anilagulmin	NO-MATCH	A		A:anivartin		confirmed-missing	1	sch	0		0	0	80	
211117	7-299-b	anividDa	anividdha	nearform0.88		aBividDa		aBividDa	near-form-needs-eyes	2	sch;stc	0		0	0	40	
211118	7-299-b	anivizwa	aniviṣṭa	nearform0.93		anvizwa		anvizwa	near-form-needs-eyes	3	ap;sch;stc	0		1	1	40	
211120	7-299-b	anivfttayoDin	anivṛttayodhin	NO-MATCH	B		B:anivftta		confirmed-missing	1	sch	0		0	0	45	
211121	7-299-b	aniveSaka	aniveśaka	nearform0.89		aniveSana		aniveSana	confirmed-missing	0		0		0	0	41	add-check:auto-confirmed-false-friend: near form 'aniveSana' is a separate pw.txt entry at 1-049-a (candidate at 7-299-b) carrying its own distinct sense - omission stands
211125	7-299-b	aniScAyaka	aniścāyaka	NO-MATCH	A		A:aniScara;B:aniScita		confirmed-missing	1	sch	0		0	0	42	
211132	7-299-b	anizkaDfk	aniṣkadhṛk	NO-MATCH	B		B:anizuDanva;B:anizkAsita		confirmed-missing	2	sch;stc	0		0	0	41	
211136	7-299-b	anizwasoma	aniṣṭasoma	nearform0.84		agnizwoma		agnizwoma	confirmed-missing	1	sch	0		0	0	42	add-check:auto-confirmed-false-friend: near form 'agnizwoma' is a separate pw.txt entry at 1-008-b (candidate at 7-299-b) carrying its own distinct sense - omission stands
211137	7-299-b	anizwusava	aniṣṭusava	NO-MATCH	C				confirmed-missing	1	sch	0		0	0	119	
211138	7-299-b	anizwubDa	aniṣṭubdha	nearform0.95		aniHzwubDa		aniHzwubDa	near-form-needs-eyes	0		0		0	0	44	auto-confirm withheld: near form is a pw cross-reference entry with no own sense
211139	7-299-b	anizWitASa	aniṣṭhitāśa	NO-MATCH	A		A:anisfzwa		confirmed-missing	1	stc	0		0	0	122	
211141	7-299-b	anistizWant	anistiṣṭhant	nearform0.95		anistizWat		anistizWat	near-form-needs-eyes	2	sch;stc	0		0	0	43	
211142	7-299-b	aniHsarant	aniḥsarant	NO-MATCH	B		B:anIka		confirmed-missing	2	sch;stc	0		0	0	42	
211144	7-299-b	anIkatva	anīkatva	nearform0.88		anISatva		anISatva	confirmed-missing	1	sch	0		0	0	40	add-check:auto-confirmed-false-friend: near form 'anISatva' is a separate pw.txt entry at 1-049-c (candidate at 7-299-b) carrying its own distinct sense - omission stands
211148	7-299-b	anIkzA	anīkṣā	nearform0.92		anvIkzA		anvIkzA	confirmed-missing	1	sch	0		1	1	38	add-check:auto-confirmed-false-friend: near form 'anvIkzA' is a separate pw.txt entry at 1-068-c (candidate at 7-299-b) carrying its own distinct sense - omission stands
211149	7-299-b	anItiSAstrajYa	anītiśāstrajña	NO-MATCH	C				confirmed-missing	2	md;sch	0		0	0	46	
211150	7-299-b	anIdfgAtman	anīdṛgātman	NO-MATCH	C				confirmed-missing	3	md;sch;stc	0		0	0	43	
211151	7-299-b	anIdfgASaya	anīdṛgāśaya	NO-MATCH	C				confirmed-missing	2	sch;stc	0		0	0	43	
211152	7-299-b	anIdfS	anīdṛś	stem				anIdfSa	covered-by-MW-stem-form	1	sch	0		0	0	38	
211154	7-299-b	anIpsanIya	anīpsanīya	NO-MATCH	B		B:anIdfSa;B:anIraSana		confirmed-missing	2	sch;stc	0		0	0	118	
211164	7-299-c	anukArAnukArin	anukārānukārin	NO-MATCH	A		A:anukAra		confirmed-missing	1	sch	0		0	0	67	
211165	7-299-c	anukUlokta	anukūlokta	nearform0.84		anukUlatA		anukUlatA	confirmed-missing	2	md;sch	0		0	0	42	add-check:auto-confirmed-false-friend: near form 'anukUlatA' is a separate pw.txt entry at 1-050-c (candidate at 7-299-c) carrying its own distinct sense - omission stands
211169	7-299-c	anuKaqgam	anukhaḍgam	NO-MATCH	B		B:anukzapam;B:anugantavya		confirmed-missing	1	sch	0		0	0	41	
211171	7-299-c	anugamanaviDAna	anugamanavidhāna	NO-MATCH	A		B:anugantavya;A:anugApana		confirmed-missing	2	acc;sch	0		0	0	66	
211176	7-299-c	anuguRita	anuguṇita	nearform0.89		anugaRita		anugaRita	near-form-needs-eyes	1	sch	0		0	0	44	
211180	7-299-c	anugrahItar	anugrahītar	nearform0.95		anugrahita		anugrahita	confirmed-missing	1	sch	0		0	0	43	add-check:auto-confirmed-false-friend: near form 'anugrahita' is a separate pw.txt entry at 2-289-b (candidate at 7-299-c) carrying its own distinct sense - omission stands
211181	7-299-c	anugrahItavya	anugrahītavya	NO-MATCH	C				confirmed-missing	1	sch	0		0	0	118	
211182	7-299-c	anucarita	anucarita	nearform0.82		antarita		antarita	confirmed-missing	3	ap;ap90;sch	0		0	0	41	add-check:auto-confirmed-false-friend: near form 'antarita' is a separate pw.txt entry at 1-062-c (candidate at 7-299-c) carrying its own distinct sense - omission stands
211184	7-299-c	anuccita	anuccita	nearform0.93		anucita		anucita	confirmed-missing	2	sch;stc	0		0	0	40	add-check:auto-confirmed-false-friend: near form 'anucita' is a separate pw.txt entry at 1-051-b (candidate at 7-299-c) carrying its own distinct sense - omission stands
211185	7-299-c	anucCAstravartin	anucchāstravartin	NO-MATCH	C				confirmed-missing	1	sch	0		0	0	66	
211186	7-299-c	anucCindant	anucchindant	nearform0.95		anucCindat		anucCindat	near-form-needs-eyes	1	sch	0		0	0	43	
211187	7-299-c	anucCvasamAna	anucchvasamāna	NO-MATCH	C				confirmed-missing	1	sch	0		0	0	79	
211188	7-299-c	anujIvisAt	anujīvisāt	NO-MATCH	A		A:anujYApana		confirmed-missing	2	gst;sch	0		0	0	42	
211196	7-299-d	anutIrTam	anutīrtham	nearform0.82		anuraTam		anuraTam	confirmed-missing	1	sch	0		0	0	41	add-check:auto-confirmed-false-friend: near form 'anuraTam' is a separate pw.txt entry at 1-056-a (candidate at 7-299-d) carrying its own distinct sense - omission stands
211197	7-299-d	anutodana	anutodana	nearform0.89		anumodana		anumodana	confirmed-missing	1	sch	0		0	0	76	add-check:auto-confirmed-false-friend: near form 'anumodana' is a separate pw.txt entry at 1-055-c (candidate at 7-299-d) carrying its own distinct sense - omission stands
211198	7-299-d	anutkrAmuka	anutkrāmuka	NO-MATCH	C				confirmed-missing	1	sch	0		0	0	128	
211199	7-299-d	anutKAta	anutkhāta	nearform0.88		anutaptA		anutaptA	confirmed-missing	4	cae;ccs;sch;stc	0		0	0	40	add-check:auto-confirmed-false-friend: near form 'anutaptA' is a separate pw.txt entry at 1-052-a (candidate at 7-299-d) carrying its own distinct sense - omission stands
211203	7-299-d	anuttaravedika	anuttaravedika	NO-MATCH	A		A:anuttaraMga;B:anutTita		confirmed-missing	1	sch	0		0	0	46	
211206	7-299-d	anutsarpaRa	anutsarpaṇa	nearform0.95		anusarpaRa		anusarpaRa	confirmed-missing	1	sch	0		0	0	133	add-check:auto-confirmed-false-friend: near form 'anusarpaRa' is a separate pw.txt entry at 1-058-c (candidate at 7-299-d) carrying its own distinct sense - omission stands
211207	7-299-d	anutsArita	anutsārita	nearform0.84		anuSAsita		anuSAsita	near-form-needs-eyes	1	sch	0		1	1	42	
211209	7-299-d	anutsAhin	anutsāhin	nearform0.82		anutsAha		anutsAha	confirmed-missing	1	sch	0		0	0	41	add-check:auto-confirmed-false-friend: near form 'anutsAha' is a separate pw.txt entry at 3-250-b (candidate at 7-299-d) carrying its own distinct sense - omission stands
211211	7-299-d	anutsUtrapadanyAsa	anutsūtrapadanyāsa	NO-MATCH	A		B:anutsuka;A:anutsfzwa		confirmed-missing	2	sch;stc	0		0	0	50	
211213	7-299-d	anudakyA	anudakyā	nearform0.93		anudaka		anudaka	confirmed-missing	1	sch	0		0	0	40	add-check:auto-confirmed-false-friend: near form 'anudaka' is a separate pw.txt entry at 1-052-b (candidate at 7-299-d) carrying its own distinct sense - omission stands
211215	7-299-d	anudayaBAj	anudayabhāj	NO-MATCH	B		B:anudaya		confirmed-missing	1	sch	0		0	0	42	
211216	7-299-d	anudaSama	anudaśama	nearform0.84		anudarSana		anudarSana	confirmed-missing	1	sch	0		0	0	41	add-check:auto-confirmed-false-friend: near form 'anudarSana' is a separate pw.txt entry at 1-052-b (candidate at 7-299-d) carrying its own distinct sense - omission stands
211218	7-299-d	anudAyin	anudāyin	nearform0.94		anuDyAyin		anuDyAyin	confirmed-missing	1	sch	0		0	0	147	add-check:auto-confirmed-false-friend: near form 'anuDyAyin' is a separate pw.txt entry at 1-289-b (candidate at 7-299-d) carrying its own distinct sense - omission stands
211220	7-299-d	anudeSaka	anudeśaka	nearform0.89		AnudeSika		AnudeSika	confirmed-missing	1	sch	0		1	0	41	add-check:auto-confirmed-false-friend: near form 'AnudeSika' is a separate pw.txt entry at 1-174-b (candidate at 7-299-d) carrying its own distinct sense - omission stands
211221	7-299-d	anudEvatam	anudaivatam	NO-MATCH	B		B:anudData		confirmed-missing	2	sch;stc	0		0	0	42	
211223	7-299-d	anudBava	anudbhava	nearform0.93		anuBava		anuBava	confirmed-missing	1	sch	0		1	0	40	add-check:auto-confirmed-false-friend: near form 'anuBava' is a separate pw.txt entry at 1-055-b (candidate at 7-299-d) carrying its own distinct sense - omission stands
211224	7-299-d	anudBAvita	anudbhāvita	nearform0.95		anuDAvita		anuDAvita	near-form-needs-eyes	1	sch	0		0	0	42	
211225	7-299-d	anudBAsin	anudbhāsin	nearform1.00		anUdBAsin		anUdBAsin	covered-by-fold-twin-flagged	1	sch	0		0	0	59	case/vowel-length twin of MW form (Akalita/akalita trap) - same lexeme or distinct word, needs eyes
211227	7-299-d	anudrikta	anudrikta	nearform0.82		anidrita		anidrita	near-form-needs-eyes	1	sch	0		1	0	41	
211234	7-299-d	anunmukta	anunmukta	nearform0.82		anuyukta		anuyukta	near-form-needs-eyes	1	sch	0		0	0	160	
211235	7-299-d	anupaGnant	anupaghnant	nearform0.95		anupaGnat		anupaGnat	near-form-needs-eyes	4	cae;ccs;sch;stc	0		0	0	45	
211237	7-300-a	anupacita	anupacita	nearform0.89		anupaWita		anupaWita	near-form-needs-eyes	2	sch;stc	0		1	1	63	
211239	7-300-a	anupadeSa	anupadeśa	nearform1.00		anUpadeSa		anUpadeSa	covered-by-fold-twin-flagged	2	mw72;sch	0		0	0	63	case/vowel-length twin of MW form (Akalita/akalita trap) - same lexeme or distinct word, needs eyes
211240	7-300-a	anupaDi	anupadhi	stem				anupaDa	covered-by-MW-stem-form	5	ap;ap90;lrv;stc;vcp	0		0	0	45	
211243	7-300-a	anupanamra	anupanamra	nearform0.80		anupramARa		anupramARa	confirmed-missing	1	sch	0		0	0	42	add-check:auto-confirmed-false-friend: near form 'anupramARa' is a separate pw.txt entry at 1-054-c (candidate at 7-300-a) carrying its own distinct sense - omission stands
211245	7-300-a	anupanIta	anupanīta	nearform0.89		anupanata		anupanata	confirmed-missing	2	sch;vcp	0		1	1	60	add-check:auto-confirmed-false-friend: near form 'anupanata' is a separate pw.txt entry at 4-292-b (candidate at 7-300-a) carrying its own distinct sense - omission stands
211247	7-300-a	anupapattimant	anupapattimant	NO-MATCH	B		B:anupapatti;B:anupapanna		confirmed-missing	1	sch	0		0	0	46	
211250	7-300-a	anupamakzant	anupamakṣant	NO-MATCH	B		B:anupaBujyamAna		confirmed-missing	1	sch	0		0	0	65	
211251	7-300-a	anupamasaMhArigranTa	anupamasaṃhārigrantha	NO-MATCH	C				confirmed-missing	1	sch	0		0	0	52	
211252	7-300-a	anupayAnt	anupayānt	nearform0.94		anupayat		anupayat	near-form-needs-eyes	1	sch	0		0	0	41	
211257	7-300-a	anuparoDin	anuparodhin	nearform0.84		anupariDi		anupariDi	confirmed-missing	1	sch	0		0	0	107	add-check:auto-confirmed-false-friend: near form 'anupariDi' is a separate pw.txt entry at 1-053-c (candidate at 7-300-a) carrying its own distinct sense - omission stands
211259	7-300-a	anupalabDivAda	anupalabdhivāda	NO-MATCH	A		A:anuparvata;B:anupalabDisama		confirmed-missing	2	acc;sch	0		0	0	46	
211262	7-300-a	anupaviSant	anupaviśant	nearform0.82		anupraviSya		anupraviSya	near-form-needs-eyes	1	sch	0		0	0	43	
211263	7-300-a	anupavizwa	anupaviṣṭa	nearform0.90		anupadizwa		anupadizwa	confirmed-missing	1	sch	0		1	0	91	add-check:auto-confirmed-false-friend: near form 'anupadizwa' is a separate pw.txt entry at 1-053-b (candidate at 7-300-a) carrying its own distinct sense - omission stands
211266	7-300-a	anupasTitAgni	anupasthitāgni	nearform0.80		anupasTApita		anupasTApita	near-form-needs-eyes	1	sch	0		0	0	45	
211271	7-300-a	anupAtavya	anupātavya	nearform0.90		anuyAtavya		anuyAtavya	confirmed-missing	1	sch	0		0	0	115	add-check:auto-confirmed-false-friend: near form 'anuyAtavya' is a separate pw.txt entry at 1-056-a (candidate at 7-300-a) carrying its own distinct sense - omission stands
211272	7-300-a	anupAtyaya	anupātyaya	nearform0.84		anupAtaka		anupAtaka	confirmed-missing	3	armh;sch;stc	0		0	0	42	add-check:auto-confirmed-false-friend: near form 'anupAtaka' is a separate pw.txt entry at 1-054-b (candidate at 7-300-a) carrying its own distinct sense - omission stands
211274	7-300-a	anupAdeya	anupādeya	nearform0.94		Anupadya		Anupadya	confirmed-missing	1	sch	0		1	1	60	add-check:auto-confirmed-false-friend: near form 'Anupadya' is a separate pw.txt entry at 1-174-b (candidate at 7-300-a) carrying its own distinct sense - omission stands
211277	7-300-a	anupArata	anupārata	nearform1.00		anuparata		anuparata	covered-by-fold-twin-flagged	3	md;sch;stc	0		0	0	41	case/vowel-length twin of MW form (Akalita/akalita trap) - same lexeme or distinct word, needs eyes
211278	7-300-b	anupAlaBya	anupālabhya	nearform0.95		anupalABa		anupalABa	confirmed-missing	2	md;sch	0		0	0	42	add-check:auto-confirmed-false-friend: near form 'anupalABa' is a separate pw.txt entry at 1-054-a (candidate at 7-300-b) carrying its own distinct sense - omission stands
211279	7-300-b	anupASraya	anupāśraya	nearform0.95		anupaSaya		anupaSaya	confirmed-missing	1	sch	0		0	0	134	add-check:auto-confirmed-false-friend: near form 'anupaSaya' is a separate pw.txt entry at 1-289-b (candidate at 7-300-b) carrying its own distinct sense - omission stands
211280	7-300-b	anupAsitavfdDa	anupāsitavṛddha	NO-MATCH	A		A:anupiRqam		confirmed-missing	1	sch	0		0	0	46	
211284	7-300-b	anupfzwa	anupṛṣṭa	nearform0.88		anukfzwa		anukfzwa	near-form-needs-eyes	1	sch	0		0	0	40	
211285	7-300-b	anupekzaRa	anupekṣaṇa	nearform0.90		anuprezaRa		anuprezaRa	confirmed-missing	3	md;sch;stc	0		1	0	42	add-check:auto-confirmed-false-friend: near form 'anuprezaRa' is a separate pw.txt entry at 1-055-a (candidate at 7-300-b) carrying its own distinct sense - omission stands
211287	7-300-b	anupeyamAnA	anupeyamānā	stem				anupeyamAna	covered-by-MW-stem-form	1	sch	0		0	0	44	
211288	7-300-b	anuprakampana	anuprakampana	NO-MATCH	B		B:anupradAna		confirmed-missing	1	sch	0		1	0	45	
211291	7-300-b	anuprazwar	anupraṣṭar	nearform0.84		anuprazwf		anuprazwf	near-form-needs-eyes	1	sch	0		0	0	127	
211295	7-300-b	anubanDikA	anubandhikā	nearform1.00		AnubanDika		AnubanDika	covered-by-fold-twin-flagged	2	ap;sch	0		1	0	42	case/vowel-length twin of MW form (Akalita/akalita trap) - same lexeme or distinct word, needs eyes
211302	7-300-b	anuBavasUtra	anubhavasūtra	NO-MATCH	A		A:anuBavam;B:anuBAva		confirmed-missing	2	acc;sch	0		0	0	44	
211306	7-300-b	anuBrazwatejas	anubhraṣṭatejas	NO-MATCH	A		A:anuBAzita;A:anumatavajra		confirmed-missing	1	sch	0		0	0	46	
211309	7-300-b	anumantar	anumantar	nearform0.94		anumantr		anumantr	near-form-needs-eyes	2	pwg;sch	0		0	0	45	
211310	7-300-b	anumAtar	anumātar	nearform0.93		anumata		anumata	confirmed-missing	1	sch	0		0	0	117	add-check:auto-confirmed-false-friend: near form 'anumata' is a separate pw.txt entry at 1-055-b (candidate at 7-300-b) carrying its own distinct sense - omission stands
211314	7-300-c	anumArjana	anumārjana	nearform0.80		apAmArjana		apAmArjana	confirmed-missing	2	pwg;sch	0		1	0	45	add-check:auto-confirmed-false-friend: near form 'apAmArjana' is a separate pw.txt entry at 1-075-c (candidate at 7-300-c) carrying its own distinct sense - omission stands
