sup7_headword	class	verdict	pw_L	pw_pc	pwkvn_L	pwkvn_pc	bhs_L	bhs_pc	mahavy	mahavy_refs	corr_n	corr_dicts	review_note
agrAmyakanda	never-seen	confirmed-missing	573321	2-286-a	5758	2-286-a			0		1	sch	
agraBogin	never-seen	confirmed-missing	573309	2-286-a	5746	2-286-a			0		1	sch	
agraBojana	never-seen	confirmed-missing	568004	1-283-b	460	1-283-b			0		1	sch	
agradAtar	never-seen	confirmed-missing	573306	2-286-a	5743	2-286-a			0		1	sch	
agragatvara	never-seen	confirmed-missing	587214	5-240-c	19603	5-240-c			0		1	sch	
agrahoma	never-seen	confirmed-missing	568019	1-283-b	475	1-283-b			0		1	sch	
agrataHsTa	never-seen	confirmed-missing	578936	3-247-a	11356	3-247-a			0		1	sch	
agratoraTa	never-seen	confirmed-missing	587217	5-240-c	19606	5-240-c			0		2	md;sch	
agravakra	never-seen	confirmed-missing	587223	5-240-c	19612	5-240-c			0		1	sch	
agryamahizI	never-seen	confirmed-missing	584072	4-291-a	16483	4-291-a			0		1	sch	
aguRyatA	never-seen	confirmed-missing	587193	5-240-c	19582	5-240-c			0		1	sch	
aguYjin	never-seen	confirmed-missing	567869	1-283-a	325	1-283-a			0		1	sch	
agurugavI	never-seen	confirmed-missing	573246	2-285-c	5683	2-285-c			0		1	sch	
aguruka	never-seen	confirmed-missing	567875	1-283-a	331	1-283-a			0		1	sch	
agurusAra	never-seen	confirmed-missing	1823	1-006-b	26317	6-293-a			0		3	md;pwg;sch	
agurutalpa	never-seen	confirmed-missing	567878	1-283-a	334	1-283-a			0		1	sch	
ahAhA	never-seen	covered-by-fold-twin-flagged	613265	7-316-a	45535	7-316-a			0		1	sch	case/vowel-length twin of an MW99 form (Akalita/akalita trap) - same lexeme or distinct word, needs eyes
ahApayant	never-seen	confirmed-missing	595202	6-297-c	27541	6-297-c			0		2	sch;stc	
ahInArTam	never-seen	confirmed-missing	613334	7-316-b	45604	7-316-b			0		1	sch	
ahIqamAna	never-seen	confirmed-missing	595208	6-297-c	27547	6-297-c			0		1	sch	
ahIramaRI	never-seen	covered-by-MW-stem-form	589408	5-248-b	21790	5-248-b			0		1	sch	MW99 stem-family forms: ahIramaRi
ahaMmati	never-seen	covered-by-fold-twin-flagged	49503	1-155-c	21748	5-248-b			0		3	lrv;pwg;sch	case/vowel-length twin of an MW99 form (Akalita/akalita trap) - same lexeme or distinct word, needs eyes
ahaMpadArTa	never-seen	covered-by-fold-twin-flagged	613226	7-316-a	45496	7-316-a			0		1	sch	case/vowel-length twin of an MW99 form (Akalita/akalita trap) - same lexeme or distinct word, needs eyes
ahamarTa	never-seen	confirmed-missing	613220	7-316-a	45490	7-316-a			0		1	sch	
ahastABaraRopeta	never-seen	confirmed-missing	595199	6-297-c	27538	6-297-c			0		1	sch	
aheli	never-seen	confirmed-missing	572093	1-296-c	4537	1-296-c			0		1	sch	
ahfzwa	never-seen	confirmed-missing	572087	1-296-c	4531	1-296-c			0		1	sch	
ahinirlvayanI	never-seen	confirmed-missing	589381	5-248-b	21763	5-248-b			0		1	sch	
ahirbuDnyasaMhitA	never-seen	confirmed-missing	575607	2-293-a	8038	2-293-a			0		2	acc;sch	
ahitEzin	never-seen	confirmed-missing	613277	7-316-a	45547	7-316-a			0		1	sch	
aholABakara	never-seen	confirmed-missing	595214	6-297-c	27553	6-297-c			0		2	ap;sch	
ahotavya	never-seen	confirmed-missing	572099	1-296-c	4543	1-296-c			0		1	sch	
ahrItamuKa	never-seen	confirmed-missing	589414	5-248-b	21796	5-248-b			0		1	sch	
ajApAla	never-seen	covered-by-fold-twin-flagged	5047	1-016-b	700	1-284-a			0		1	sch	case/vowel-length twin of an MW99 form (Akalita/akalita trap) - same lexeme or distinct word, needs eyes
ajAtaguRa	never-seen	confirmed-missing	568244	1-284-a	697	1-284-a			0		1	sch	
ajAtarajas	never-seen	confirmed-missing	587331	5-241-a	19717	5-241-a			0		1	sch	
ajImUtavarzin	never-seen	confirmed-missing	641512	7-385-a	73336	7-385-a			0		1	sch	
ajIrRAmftamaYjarI	never-seen	confirmed-missing	573561	2-286-c	5995	2-286-c			0		2	acc;sch	
ajIryant	never-seen	confirmed-missing	573564	2-286-c	5998	2-286-c			0		2	sch;stc	
ajIryatA	never-seen	confirmed-missing	641515	7-385-a	73339	7-385-a			0		3	cae;sch;stc	
ajYAtalipsam	never-seen	confirmed-missing	587343	5-241-a	19729	5-241-a			0		1	sch	
ajYAtar	never-seen	confirmed-missing	568262	1-284-a	715	1-284-a			0		1	sch	
ajYeyatva	never-seen	confirmed-missing	573573	2-286-c	6007	2-286-c			0		1	sch	
ajaNGAla	never-seen	confirmed-missing	573513	2-286-c	5947	2-286-c			0		1	sch	
ajaNgama	never-seen	confirmed-missing	568223	1-284-a	676	1-284-a			0		1	sch	
ajaWara	never-seen	confirmed-missing	573516	2-286-c	5950	2-286-c			0		1	sch	
ajabanDu	never-seen	confirmed-missing	568238	1-284-a	691	1-284-a			0		2	sch;vcp	
ajagDapApman	never-seen	confirmed-missing	573510	2-286-c	5944	2-286-c			0		1	sch	
ajagat	never-seen	confirmed-missing	573507	2-286-c	5941	2-286-c			0		3	ben;sch;stc	
ajajYivaMs	never-seen	confirmed-missing	599620	7-292-b	31936	7-292-b			0		1	sch	
ajakranda	never-seen	confirmed-missing	568211	1-284-a	667	1-284-a			0		1	sch	
ajalpant	never-seen	confirmed-missing	573531	2-286-c	5965	2-286-c			0		3	cae;ccs;sch	
ajamaTana	never-seen	confirmed-missing	584107	4-291-a	16516	4-291-a			0		1	sch	
ajanavAdaSIla	never-seen	confirmed-missing	568229	1-284-a	682	1-284-a			0		1	sch	
ajanmanASa	never-seen	confirmed-missing	579008	3-247-b	11428	3-247-b			0		1	sch	
ajaqapramAtfsidDi	never-seen	confirmed-missing	568226	1-284-a	679	1-284-a			0		2	acc;sch	
ajarAjarizRu	never-seen	confirmed-missing	587322	5-241-a	19708	5-241-a			0		1	sch	
ajarAmarI	never-seen	covered-by-MW-stem-form	599674	7-292-b	31990	7-292-b			0		1	sch	MW99 stem-family forms: ajarAmara
ajigIza	never-seen	confirmed-missing	573543	2-286-c	5977	2-286-c			0		3	md;sch;stc	
ajihmacArin	never-seen	confirmed-missing	573552	2-286-c	5986	2-286-c			0		1	sch	
ajinavAsas	never-seen	confirmed-missing	579023	3-247-b	11443	3-247-b			0		1	sch	
ajitadevAcArya	never-seen	confirmed-missing	579017	3-247-b	11437	3-247-b			0		2	acc;sch	
ajitamanas	never-seen	confirmed-missing	573549	2-286-c	5983	2-286-c			0		1	sch	
ajitendriyamiSra	never-seen	confirmed-missing	579020	3-247-b	11440	3-247-b			0		1	sch	
ajugupsa	never-seen	confirmed-missing	573567	2-286-c	6001	2-286-c			0		3	ben;sch;stc	
ajyAyaMs	never-seen	confirmed-missing	568265	1-284-a	718	1-284-a			0		1	sch	
akAYcana	never-seen	confirmed-missing	567605	1-282-a	67	1-282-a			0		1	sch	
akAku	never-seen	confirmed-missing	587142	5-240-b	19531	5-240-b			0		3	md;sch;stc	
akAmAtman	never-seen	confirmed-missing	593945	6-292-a	26287	6-292-a			0		2	sch;yat	
akAmavikriya	never-seen	confirmed-missing	587145	5-240-b	19534	5-240-b			0		1	sch	
akAmayAna	never-seen	confirmed-missing	578777	3-246-c	11200	3-246-c			0		2	sch;stc	
akAmayamAna	never-seen	confirmed-missing	567608	1-282-a	70	1-282-a			0		1	sch	
akAmya	never-seen	confirmed-missing	567611	1-282-b	73	1-282-b			0		1	sch	
akApuruzavrata	never-seen	confirmed-missing	578774	3-246-c	11197	3-246-c			0		1	sch	
akAraRabanDu	never-seen	confirmed-missing	641460	7-384-1a	73285	7-384-1a			0		2	cae;sch	
akAraRaka	never-seen	confirmed-missing	573003	2-285-a	5443	2-285-a			0		1	sch	
akArpaRya	never-seen	confirmed-missing	515	1-002-c	79	1-282-b			0		6	ap;ap90;md;sch;stc;vcp	
akAryakzama	never-seen	confirmed-missing	584012	4-290-c	16423	4-290-c			0		1	sch	
akIrtanIya	never-seen	confirmed-missing	573027	2-285-a	5467	2-285-a			0		2	md;sch	
akOdreya	never-seen	confirmed-missing	567671	1-282-b	130	1-282-b			0		1	sch	
akOsIdya	never-seen	confirmed-missing	598183	7-289-d	30508	7-289-d	52	002,2	0		2	bhs;sch	
akUwaka	never-seen	confirmed-missing	573072	2-285-b	5512	2-285-b			0		1	sch	
akaSApa	never-seen	confirmed-missing	567599	1-282-a	61	1-282-a			0		1	sch	
akadvada	never-seen	confirmed-missing	587130	5-240-b	19519	5-240-b			0		3	md;sch;stc	
akaliprasara	never-seen	confirmed-missing	584006	4-290-c	16417	4-290-c			0		2	md;sch	
akalitAtman	never-seen	confirmed-missing	578768	3-246-c	11191	3-246-c			0		1	sch	
akalkakalila	never-seen	confirmed-missing	587136	5-240-b	19525	5-240-b			0		2	md;sch	
akaluzAtman	never-seen	confirmed-missing	597889	7-289-b	30214	7-289-b			0		1	sch	
akaluza	never-seen	covered-by-fold-twin-flagged	572988	2-285-a	5428	2-285-a	2508	086,1	0		3	bhs;sch;stc	case/vowel-length twin of an MW99 form (Akalita/akalita trap) - same lexeme or distinct word, needs eyes
akampa	never-seen	covered-by-fold-twin-flagged	593930	6-292-a	26272	6-292-a			0		3	fri;sch;stc	case/vowel-length twin of an MW99 form (Akalita/akalita trap) - same lexeme or distinct word, needs eyes
akampra	never-seen	covered-by-fold-twin-flagged	572961	2-285-a	5401	2-285-a			0		1	sch	case/vowel-length twin of an MW99 form (Akalita/akalita trap) - same lexeme or distinct word, needs eyes
akapAla	never-seen	confirmed-missing	583997	4-290-c	16408	4-290-c			0		0		
akapila	never-seen	covered-by-fold-twin-flagged	567575	1-282-a	37	1-282-a			0		1	sch	case/vowel-length twin of an MW99 form (Akalita/akalita trap) - same lexeme or distinct word, needs eyes
akapilacCavi	never-seen	confirmed-missing	572958	2-285-a	5398	2-285-a			0		2	md;sch	
akarAla	never-seen	confirmed-missing	567584	1-282-a	46	1-282-a			0		3	ben;sch;stc	
akarRagfhIta	never-seen	confirmed-missing	584000	4-290-c	16411	4-290-c			0		1	sch	
akarRaprAvfta	never-seen	confirmed-missing	567587	1-282-a	49	1-282-a			0		1	sch	
akardama	never-seen	confirmed-missing	572970	2-285-a	5410	2-285-a	17	001,2	0		2	bhs;sch	
akarmaRyatA	never-seen	confirmed-missing	597856	7-289-b	30181	7-289-b			0		1	sch	
akarmaRyatva	never-seen	confirmed-missing	572976	2-285-a	5416	2-285-a			0		1	sch	
akarmakAla	never-seen	confirmed-missing	597850	7-289-b	30175	7-289-b			0		1	sch	
akarmakaraRa	never-seen	confirmed-missing	593939	6-292-a	26281	6-292-a			0		1	sch	
akarmakft	never-seen	confirmed-missing	386	1-002-a	5413	2-285-a			0		6	ap;cae;gst;lrv;md;sch	
akarmaprApti	never-seen	confirmed-missing	584003	4-290-c	16414	4-290-c			0		3	ben;md;sch	
akarmavant	never-seen	confirmed-missing	572979	2-285-a	5419	2-285-a			0		2	sch;stc	
akarta	never-seen	covered-by-MW-stem-form	572967	2-285-a	5407	2-285-a			0		1	sch	MW99 stem-family forms: akartf
akartar	never-seen	confirmed-missing	377	1-002-a	30163	7-289-a			0		2	ccs;sch	
akartfka	never-seen	confirmed-missing	597841	7-289-b	30166	7-289-b			0		1	sch	
akata	never-seen	covered-by-fold-twin-flagged	567569	1-282-a	31	1-282-a			0		1	sch	case/vowel-length twin of an MW99 form (Akalita/akalita trap) - same lexeme or distinct word, needs eyes
akfSAnekakaRwaka	never-seen	confirmed-missing	598141	7-289-d	30466	7-289-d			0		2	sch;stc	
akfcCralaNGya	never-seen	confirmed-missing	587151	5-240-b	19540	5-240-b			0		2	md;sch	
akftAgas	never-seen	confirmed-missing	593957	6-292-a	26299	6-292-a			0		2	ben;sch	
akftAgra	never-seen	confirmed-missing	573096	2-285-b	5536	2-285-b			0		1	sch	
akftaSrama	never-seen	confirmed-missing	573090	2-285-b	5530	2-285-b			0		3	md;pe;sch	
akftaka	never-seen	confirmed-missing	573081	2-285-b	5521	2-285-b	47	002,2	0		4	ben;bhs;md;sch	
akftalakzaRa	never-seen	confirmed-missing	573084	2-285-b	5524	2-285-b			0		2	md;sch	
akftaprajYa	never-seen	confirmed-missing	584015	4-290-c	16426	4-290-c			0		1	sch	
akftavEra	never-seen	confirmed-missing	641469	7-384-1b	73294	7-384-1b			0		2	cae;sch	
akftavyUha	never-seen	confirmed-missing	567653	1-282-b	112	1-282-b			0		1	sch	
akfzRa	never-seen	confirmed-missing	567665	1-282-b	124	1-282-b			0		4	ap;ap90;sch;vcp	
akfzwarohin	never-seen	confirmed-missing	578795	3-246-c	11218	3-246-c			0		3	ap;lrv;sch	
akiMcinmaya	never-seen	confirmed-missing	578780	3-246-c	11203	3-246-c			0		1	sch	
akilbiza	never-seen	confirmed-missing	579	1-002-c	11206	3-246-c			0		3	ap;sch;stc	
akopayant	never-seen	confirmed-missing	573123	2-285-b	5560	2-285-b			0		3	cae;ccs;sch	
akrIRant	never-seen	confirmed-missing	578801	3-246-c	11224	3-246-c			0		1	sch	
akrUraMkAra	never-seen	confirmed-missing	584024	4-290-c	16435	4-290-c			0		1	sch	
akrUraparivAra	never-seen	confirmed-missing	567704	1-282-b	160	1-282-b			0		1	sch	
akratusaMyukta	never-seen	confirmed-missing	598192	7-289-d	30517	7-289-d			0		1	sch	
akrimi	never-seen	confirmed-missing	567689	1-282-b	145	1-282-b			0		1	sch	
akriyAka	never-seen	confirmed-missing	587157	5-240-b	19546	5-240-b			0		2	md;sch	
akroSant	never-seen	confirmed-missing	578804	3-246-c	11227	3-246-c			0		2	sch;stc	
akuRWamaRqala	never-seen	confirmed-missing	593951	6-292-a	26293	6-292-a			0		1	sch	
akuRqalin	never-seen	confirmed-missing	573033	2-285-a	5473	2-285-a			0		1	sch	
akuYcita	never-seen	covered-by-fold-twin-flagged	587148	5-240-b	19537	5-240-b			0		2	md;sch	case/vowel-length twin of an MW99 form (Akalita/akalita trap) - same lexeme or distinct word, needs eyes
akulaja	never-seen	confirmed-missing	573060	2-285-b	5500	2-285-b			0		3	ben;md;sch	
akupAna	never-seen	confirmed-missing	593954	6-292-a	26296	6-292-a			0		1	sch	
akupita	never-seen	confirmed-missing	573048	2-285-a	5488	2-285-a			0		1	sch	
akuwila	never-seen	covered-by-fold-twin-flagged	573030	2-285-a	5470	2-285-a			0		3	md;sch;stc	case/vowel-length twin of an MW99 form (Akalita/akalita trap) - same lexeme or distinct word, needs eyes
akxpta	never-seen	confirmed-missing	573114	2-285-b	5551	2-285-b			0		1	sch	
akzA	never-seen	covered-by-MW-stem-form	641478	7-384-1c	73303	7-384-1c			0		1	sch	MW99 stem-family forms: akz;akza;akzan
akzAlita	never-seen	confirmed-missing	573186	2-285-c	5623	2-285-c			0		2	md;sch	
akzIRabudDi	never-seen	confirmed-missing	578861	3-247-a	11284	3-247-a			0		1	sch	
akzIrAkzArAlavaRa	never-seen	confirmed-missing	573192	2-285-c	5629	2-285-c			0		0		
akzadevanapaRI	never-seen	confirmed-missing	584030	4-290-c	16441	4-290-c			0		1	sch	
akzadevitar	never-seen	confirmed-missing	578816	3-246-c	11239	3-246-c			0		1	sch	
akzakUwa	never-seen	confirmed-missing	578807	3-246-c	11230	3-246-c			0		4	ben;lrv;sch;vcp	
akzamAlAmaya	never-seen	confirmed-missing	567737	1-282-c	193	1-282-c			0		1	sch	
akzamAvant	never-seen	confirmed-missing	578834	3-246-c	11257	3-246-c			0		1	sch	
akzasUtraka	never-seen	confirmed-missing	567773	1-282-c	229	1-282-c			0		1	sch	
akzataDAnA	never-seen	confirmed-missing	587166	5-240-b	19555	5-240-b			0		1	sch	
akzatasaktu	never-seen	confirmed-missing	578810	3-246-c	11233	3-246-c			0		1	sch	
akzatodaka	never-seen	confirmed-missing	578813	3-246-c	11236	3-246-c			0		1	sch	
akzatriya	never-seen	confirmed-missing	567725	1-282-b	181	1-282-b			0		1	sch	
akzema	never-seen	confirmed-missing	567812	1-282-c	268	1-282-c			0		2	sch;stc	
akzetratara	never-seen	confirmed-missing	567809	1-282-c	265	1-282-c			0		3	ccs;md;sch	
akziRvant	never-seen	confirmed-missing	573189	2-285-c	5626	2-285-c			0		2	cae;sch	
akzicCidra	never-seen	confirmed-missing	578852	3-247-a	11275	3-247-a			0		1	sch	
akzipaTa	never-seen	confirmed-missing	578855	3-247-a	11278	3-247-a			0		1	sch	
akzirogavant	never-seen	confirmed-missing	567794	1-282-c	250	1-282-c			0		1	sch	
akziruj	never-seen	confirmed-missing	578858	3-247-a	11281	3-247-a			0		1	sch	
akzyupanizad	never-seen	confirmed-missing	573195	2-285-c	5632	2-285-c			0		2	acc;sch	
alAlasa	never-seen	confirmed-missing	588655	5-245-c	21037	5-245-c			0		2	sch;stc	
alIkanalI	never-seen	confirmed-missing	571401	1-294-b	3847	1-294-b			0		1	sch	
alOlya	never-seen	confirmed-missing	585140	4-295-b	17548	4-295-b			0		2	ben;sch	
alaGIyaMs	never-seen	confirmed-missing	580787	3-254-a	13204	3-254-a			0		1	sch	
alaGuBava	never-seen	confirmed-missing	588616	5-245-c	20998	5-245-c			0		1	sch	
alaMkAranikarza	never-seen	confirmed-missing	575124	2-291-c	7555	2-291-c			0		2	acc;sch	
alaMkArarahasya	never-seen	confirmed-missing	575130	2-291-c	7561	2-291-c			0		2	acc;sch	
alaMkAratilaka	never-seen	confirmed-missing	609917	7-309-d	42208	7-309-d			0		2	acc;sch	
alaMkArika	never-seen	covered-by-fold-twin-flagged	571374	1-294-b	3820	1-294-b	1973	067,2	0		2	bhs;sch	case/vowel-length twin of an MW99 form (Akalita/akalita trap) - same lexeme or distinct word, needs eyes
alaMkftiSAstra	never-seen	confirmed-missing	580790	3-254-a	13207	3-254-a			0		1	sch	
alaMpura	never-seen	confirmed-missing	588643	5-245-c	21025	5-245-c			0		1	sch	
alaNGayant	never-seen	confirmed-missing	575136	2-291-c	7567	2-291-c			0		2	sch;stc	
alabDanidrAkzaRa	never-seen	confirmed-missing	588628	5-245-c	21010	5-245-c			0		1	sch	
alabDavya	never-seen	confirmed-missing	588631	5-245-c	21013	5-245-c			0		2	sch;stc	
alajjAkara	never-seen	confirmed-missing	580793	3-254-a	13210	3-254-a			0		2	ben;sch	
alakzaRasaMpad	never-seen	confirmed-missing	580784	3-254-a	13201	3-254-a			0		1	sch	
alakzaRya	never-seen	confirmed-missing	588598	5-245-c	20980	5-245-c			0		2	sch;stc	
alamaka	never-seen	confirmed-missing	588640	5-245-c	21022	5-245-c			0		1	sch	
alamelamaNgAstotra	never-seen	confirmed-missing	575139	2-291-c	7570	2-291-c			0		2	acc;sch	
alasay	never-seen	covered-by-MW-stem-form	610016	7-310-a	42307	7-310-a			0		0		MW99 stem-family forms: alasaya; named false-positive class: denominal -aya verb stem (MW handles under root/verb apparatus, not as a separate headword)
aleKya	never-seen	covered-by-fold-twin-flagged	588685	5-246-a	21067	5-246-a			0		3	md;sch;stc	case/vowel-length twin of an MW99 form (Akalita/akalita trap) - same lexeme or distinct word, needs eyes
aliNgasaMKya	never-seen	confirmed-missing	571395	1-294-b	3841	1-294-b			0		1	sch	
alipta	never-seen	covered-by-fold-twin-flagged	610049	7-310-a	42340	7-310-a			1	19	1	sch	case/vowel-length twin of an MW99 form (Akalita/akalita trap) - same lexeme or distinct word, needs eyes
alivanda	never-seen	confirmed-missing	575145	2-291-c	7576	2-291-c			0		1	sch	
aloBavant	never-seen	confirmed-missing	575148	2-291-c	7579	2-291-c			0		1	sch	
alomaSa	never-seen	confirmed-missing	588700	5-246-a	21082	5-246-a			0		1	sch	
alopayant	never-seen	confirmed-missing	588697	5-246-a	21079	5-246-a			0		2	sch;stc	
alozwaka	never-seen	confirmed-missing	580805	3-254-a	13222	3-254-a			0		1	sch	
alpadarSin	never-seen	confirmed-missing	575160	2-291-c	7591	2-291-c			0		1	sch	
alpakAlika	never-seen	confirmed-missing	580814	3-254-a	13231	3-254-a			0		1	sch	
alpakfcCra	never-seen	confirmed-missing	575154	2-291-c	7585	2-291-c			0		1	sch	
alpakleSa	never-seen	confirmed-missing	641929	7-386-b	73753	7-386-b			0		2	cae;sch	
alpanicaya	never-seen	confirmed-missing	580817	3-254-a	13234	3-254-a			0		1	sch	
alpaparicCeda	never-seen	confirmed-missing	610151	7-310-b	42442	7-310-b			0		1	sch	
alpapracAra	never-seen	confirmed-missing	571416	1-294-b	3862	1-294-b			0		1	sch	
alparADas	never-seen	confirmed-missing	575163	2-291-c	7594	2-291-c			0		1	sch	
alpasvamant	never-seen	confirmed-missing	594725	6-295-c	27064	6-295-c			0		1	sch	
alpatapas	never-seen	confirmed-missing	571413	1-294-b	3859	1-294-b			0		1	sch	
alpavant	never-seen	confirmed-missing	571419	1-294-b	3865	1-294-b			0		1	sch	
alpavijYAna	never-seen	confirmed-missing	580829	3-254-a	13246	3-254-a			0		1	sch	
alpavittavant	never-seen	confirmed-missing	571422	1-294-b	3868	1-294-b			0		1	sch	
alpotsuka	never-seen	confirmed-missing	610196	7-310-b	42487	7-310-b	2015	069,1	0		2	bhs;sch	
amAnayant	never-seen	confirmed-missing	641875	7-386-a	73699	7-386-a			0		3	cae;sch;stc	
amAnt	never-seen	covered-by-MW-stem-form	571028	1-293-a	3475	1-293-a			0		2	sch;stc	MW99 stem-family forms: amAnta
amAtfjYa	never-seen	confirmed-missing	608567	7-307-b	40876	7-307-b	1793	063,1	1	127	2	bhs;sch	MAHAVY 127
amAtrA	never-seen	covered-by-MW-stem-form	584992	4-294-c	17401	4-294-c			0		3	lrv;md;sch	MW99 stem-family forms: amAtra
amAyAvin	never-seen	covered-by-fold-twin-flagged	608591	7-307-c	40900	7-307-c			1	126	1	sch	case/vowel-length twin of an MW99 form (Akalita/akalita trap) - same lexeme or distinct word, needs eyes
amAyu	never-seen	covered-by-MW-stem-form	580553	3-253-a	12973	3-253-a			0		1	sch	MW99 stem-family forms: amAyA;amAya
amBojanIlAy	never-seen	confirmed-missing	641890	7-386-b	73714	7-386-b			0		1	sch	
amEtrI	never-seen	confirmed-missing	585034	4-294-c	17443	4-294-c			0		1	stc	
amI	never-seen	covered-by-MW-stem-form	30868	1-097-a	3490	1-293-a			0		10	bop;bur;ccs;fri;gra;md;pwg;sch;skd;stc	MW99 stem-family forms: am;amA;ama
amImAMsita	never-seen	confirmed-missing	585004	4-294-c	17413	4-294-c			0		2	sch;stc	
amUlaka	never-seen	confirmed-missing	608654	7-307-c	40963	7-307-c	1824	063,2	1	258. 261	4	ap;ap90;bhs;sch	MAHAVY 258
amUlamantratantra	never-seen	confirmed-missing	585016	4-294-c	17425	4-294-c			0		1	sch	
amaDyaMdinasAci	never-seen	confirmed-missing	594653	6-295-b	26992	6-295-b			0		1	sch	
amaNgalika	never-seen	confirmed-missing	584956	4-294-b	17365	4-294-b			0		1	sch	
amahAyajYayAjin	never-seen	confirmed-missing	584989	4-294-c	17398	4-294-c			0		2	sch;stc	
amajjana	never-seen	confirmed-missing	584962	4-294-c	17371	4-294-c			0		3	md;sch;stc	
amanasikAra	never-seen	confirmed-missing	608441	7-307-b	40753	7-307-b	1779	062,2	1	68. 70	2	bhs;sch	MAHAVY 68
amandahfdaya	never-seen	confirmed-missing	570989	1-293-a	3436	1-293-a			0		1	sch	
amanorama	never-seen	confirmed-missing	588312	5-244-c	20695	5-244-c			0		2	md;sch	
amantar	never-seen	confirmed-missing	30037	1-094-c	3433	1-293-a			0		1	sch	
amantravarjam	never-seen	confirmed-missing	580535	3-253-a	12955	3-253-a			0		1	sch	
amaraDunI	never-seen	confirmed-missing	570995	1-293-a	3442	1-293-a			0		1	sch	
amaraSeza	never-seen	confirmed-missing	574947	2-291-b	7378	2-291-b			0		2	acc;sch	
amarakoSapaYcikA	never-seen	confirmed-missing	574935	2-291-a	7366	2-291-a			0		1	sch	
amaraviveka	never-seen	confirmed-missing	588321	5-244-c	20704	5-244-c			0		2	acc;sch	
amareSvarakalpa	never-seen	confirmed-missing	571013	1-293-a	3460	1-293-a			0		2	acc;sch	
amaruka	never-seen	confirmed-missing	574950	2-291-b	7381	2-291-b			0		1	sch	
amasvarI	never-seen	confirmed-missing	571022	1-293-a	3469	1-293-a			0		1	sch	
ambAstava	never-seen	confirmed-missing	574974	2-291-b	7405	2-291-b			0		2	acc;sch	
ambudAgama	never-seen	confirmed-missing	571109	1-293-b	3556	1-293-b			0		1	sch	
ambujAta	never-seen	confirmed-missing	571100	1-293-b	3547	1-293-b			0		1	sch	
ambukukkuwikA	never-seen	confirmed-missing	571094	1-293-b	3541	1-293-b			0		1	sch	
amburuh	never-seen	covered-by-MW-stem-form	594668	6-295-b	27007	6-295-b			0		4	ap;sch;shs;vcp	MW99 stem-family forms: amburuhA;amburuha
amburuhAkza	never-seen	confirmed-missing	608834	7-307-d	41140	7-307-d			0		1	sch	
amfdita	never-seen	confirmed-missing	585025	4-294-c	17434	4-294-c			0		1	sch	
amftabindu	never-seen	confirmed-missing	574965	2-291-b	7396	2-291-b			0		1	sch	
amftadatta	never-seen	confirmed-missing	608684	7-307-c	40990	7-307-c			0		2	acc;sch	
amftakavala	never-seen	confirmed-missing	588333	5-244-c	20716	5-244-c			0		1	sch	
amftanirgama	never-seen	confirmed-missing	588336	5-244-c	20719	5-244-c			0		1	sch	
amftapalASa	never-seen	confirmed-missing	574962	2-291-b	7393	2-291-b			0		1	sch	
amftaprASa	never-seen	confirmed-missing	571064	1-293-b	3511	1-293-b			0		1	sch	
amftataraMgiRI	never-seen	confirmed-missing	31143	1-098-a	7390	2-291-b			0		3	lrv;pwg;sch	
amftaturaMga	never-seen	confirmed-missing	594659	6-295-b	26998	6-295-b			0		1	sch	
amftyuSaNkita	never-seen	confirmed-missing	571082	1-293-b	3529	1-293-b			0		1	sch	
amfzyant	never-seen	confirmed-missing	585031	4-294-c	17440	4-294-c			0		1	sch	
amilant	never-seen	confirmed-missing	588330	5-244-c	20713	5-244-c			0		1	sch	
amoGI	never-seen	covered-by-MW-stem-form	608759	7-307-d	41065	7-307-d			0		1	sch	MW99 stem-family forms: amoGA;amoGa
amotakaputraka	never-seen	confirmed-missing	580586	3-253-b	13006	3-253-b			0		1	sch	
amuYcamAna	never-seen	confirmed-missing	571049	1-293-b	3496	1-293-b			0		1	sch	
amudita	never-seen	confirmed-missing	608642	7-307-c	40951	7-307-c			0		2	sch;stc	
amuzita	never-seen	confirmed-missing	580568	3-253-a	12988	3-253-a			0		1	sch	
anABAsa	never-seen	confirmed-missing	569501	1-288-b	1951	1-288-b	665	022,2	0		2	bhs;sch	
anABava	never-seen	confirmed-missing	574233	2-289-a	6667	2-289-a			0		1	sch	
anABu	never-seen	covered-by-MW-stem-form	587760	5-242-c	20146	5-242-c			0		1	sch	MW99 stem-family forms: anABU
anADAra	never-seen	covered-by-fold-twin-flagged	569489	1-288-b	1939	1-288-b			0		4	ap;ap90;sch;vcp	case/vowel-length twin of an MW99 form (Akalita/akalita trap) - same lexeme or distinct word, needs eyes
anASramaDarmin	never-seen	confirmed-missing	569558	1-288-b	2008	1-288-b			0		1	sch	
anASrava	never-seen	covered-by-fold-twin-flagged	14855	1-047-a	2011	1-288-b	702	024,1	0		8	ap;ap90;ben;bhs;lrv;md;sch;stc	case/vowel-length twin of an MW99 form (Akalita/akalita trap) - same lexeme or distinct word, needs eyes
anASvAsa	never-seen	confirmed-missing	603749	7-298-d	36064	7-298-d	703	024,1	0		4	ap;bhs;sch;vcp	
anATakuwI	never-seen	confirmed-missing	569465	1-288-a	1915	1-288-a			0		1	sch	
anAcArya	never-seen	confirmed-missing	569444	1-288-a	1894	1-288-a			0		1	sch	
