slp1	iast	freq_band	poly_band	mw_gold_words	heritage_gloss_sha256	heritage_gloss_words	ru_gloss_sha256	ru_gloss_words	ru_renderings_kept	ru_renderings_distinct	ru_rank1_share	ru_n_total
karza	karṣa	high	poly5p	77	63f5d1678a84aef75fceea7fb75e39b70b0b4363f731954d6c3b4859288c87ba	82	631fcfaa0e0877c01c652781c4d42d7f62882057e8019fd2613de1f0c16207cc	2	2	2	0.6667	3
raTa	ratha	high	poly5p	70	af0bcb2662ec60f0bdda6ac40ae74204897f56c49fed0d491360020b9da0bede	118	cb8e2ab9d9305d66db76f2bb30a5a982e4d5d827f2efb20bc5a88be02b1617c0	5	5	106	0.2437	1916
anIka	anīka	high	poly5p	19	6bb60e294eff04d7177293d94df4c588f6a496d49f7e4c5f7eeee4b5f41bce24	25	a4a18de45d32ecbed328dbea8aac7c653f25cc2ca6bf5c85a15d80063bad4d9d	5	5	94	0.1348	267
duHKa	duḥkha	high	poly5p	78	339aab0f559077103f118e4b8b7bd1bd973d331a6535da4ad3961e7fc24d4ebf	99	b83823950203cd92ebb829363fe0c9d4c57cf2d6bddac733eb8dfb9451bdfde4	5	5	219	0.1226	873
raTin	rathin	high	poly5p	55	b63417dddc6be4085ee8d7ad2a1030f5799f757c8de5a3d9d94207deb16c0f2a	33	5d66a84a5cf3385469fe238ca4110de8b1f84a3e8285a8a25ffe57066b34e77e	13	5	94	0.1424	302
vastu	vastu	high	poly5p	143	4a362cbaba58f16aa7c8fe63a39d8b94dabc21aa251d020bd115cf5df116a7b5	60	00e0fff107a4e648fdfddce43556314042426c04ccd6007f4b8c2484d7ab9e0c	5	5	59	0.084	131
gocara	gocara	high	poly5p	115	c8e93f0e6f5b3830d7921405cf1eed363649cca12f4dca782c67b9f29eb354b4	141	91a6eb423268ba7349ccfbe908a9fa3cf8bda012ae31b57a0ed52a7c375c2a50	6	5	30	0.0625	32
Brama	bhrama	high	poly5p	73	dfc4b89feba9d885c94fe1c164eb99780b9ab1b2f6d6ca7dc2c3638a177e6954	25	186fad4cb732d6c79195388774e75124d4640ee8f0720b5c7853559db78d55ae	6	5	11	0.1538	13
maya	maya	high	poly5p	54	25e1456874906fc0397aefa6767eb59bb7a0a16e2e4cc1529c2ef666286b9987	9	ff3c627b94ea8f8d9bf3f546ead420f52930ff610825beb6f22aee806eb91a98	5	5	50	0.1416	113
prayatna	prayatna	high	poly5p	83	9cb5dc956549de46b247dda19c54d349b6db6d76cf3aa4c6aca33bb0972db6b2	49	efe294f087fdce19b5440125dadb5ebf554e242c34abd731a9f70bda25b540ac	5	5	68	0.1212	132
sAkzAt	sākṣāt	high	poly5p	38	4610b90a3dc5970187ae32c27fe17e12d9bb0768312db813ed960f65d058089e	63	121d92957634b6882dad31458883ce48aea8fc57af676a8d89a4f438a6a0316f	5	5	61	0.2143	154
BArgava	bhārgava	high	poly5p	129	56767c15ac8e966e71a33e26c2ab86e6c8ddafcf7a524555ab038da73a46fd83	83	8a33a7453428232a91ed49542debf6c20893788b864ed920f2bfd0df5f8cdc3a	6	5	32	0.4266	143
paScAt	paścāt	high	poly5p	52	a25154563e92db6e69a5ad4511920694f5aa5c74a46a42e089439bb31a344df8	34	925176c3a8f3b1be4599e2d5a23047bb7d73334ea47b36eef453390186ce12df	5	5	64	0.2018	223
BUmi	bhūmi	high	poly5p	116	74854afb44adc842948f4044f5d6d52c1be773b4bfceafc98dfe720dc3a9b663	100	a7b86f52622b86b0bc7d47c5b02b9d51af1d8464371e5a041710d1335a775e2c	5	5	70	0.2621	618
parvata	parvata	high	poly5p	144	551b132c6c06844649afd92256a2aa1451607a3b9d951269680190feb3f87833	29	b76e9b256c2f12d7bb62bb2d78e410167974915d9612a99d7a74179f35dc4c3e	5	5	64	0.3246	536
cit	cit	high	poly5p	170	3548aa1ac1abce77b3b936eebb99b0e54e050fd32011654f0df96d7398974e95	69	87aab4814c8f425d63c035b621188a776401857ba04af063e2864a9435e01790	5	5	205	0.1293	379
muhur	muhur	high	poly5p	55	cc25505c91f5ad48f28647953e64211dafa7565a2e767d8a1e84c39bd6c19157	34	5514538404653e48117da284d504ce38fe8c9f214cf4dd42c0030f887e8e058c	9	5	50	0.1098	82
namas	namas	high	poly5p	44	defedf74588a93b325cf3b21d8625feec9a6f80c6f8a72698dac1b21cff7f1f9	123	f61f881f028bd4d97a677d1b9ed044c9da57f8c1503ae9f41ffd4e6e0339b05d	6	5	68	0.2667	450
droRa	droṇa	high	poly5p	169	b91f148107c6b1270f243327166497ec070148a23f7931c75a23e2a9387d8d70	440	59a98ee93a69a388683b9d6be48c2a59d8f5aefc40f4b7c497aae0a9208ca8fd	5	5	38	0.4849	994
Sreyas	śreyas	high	poly5p	125	11aac5d5665e24858d24812215324a7a8d577683db57548551cc2b20664a88dc	54	4c86a3a7536c4c73fb1f7ae2fa22ace92aed0be0c8c9dff4460e1c1baf7fea85	5	5	136	0.2373	434
jana	jana	high	poly5p	99	d814dc852128654314e4ede4f74cac3816bb74b2d0d2921f25754e015a224cd6	53	e36828f04ab0f28518b60683f67a52cd96b7f624cce63547e20ae6a986701ed7	5	5	216	0.2857	1120
pUrva	pūrva	high	poly5p	131	d5b82c2dc4469f9a79bb30e561cbe1ea8807d3bab965c32c5ced866d18603b70	61	49d4b2bcc844fc5ce61682b165ce8637c6088d02c288de5bf4ad030169d53659	5	5	200	0.0986	568
kara	kara	high	poly5p	98	402b19f6ca419f00334f1136ee984017f937a52d3f3d19eaf4622eb2f6a5034a	59	e8d0d71b7a9b1c789aa44d15e455c9a4fe90b1d163415e87c4a7789b7717e4b6	5	5	87	0.0896	212
kArmuka	kārmuka	high	poly5p	55	c7002a23b990bd585ab67e140c005c22125c8c0b577d77c73e937ba1d7d93b9c	19	5b048a0e9aa3da757943cacf186dc577436fb217a1a0478b3a8f376f51080e4c	5	5	11	0.6952	105
aMSa	aṃśa	high	poly5p	61	381c5e586040b183a4890f504ab0c51c4ec3adcd9e42e25deecefc89ba547a9d	89	4457e778b7a170db4c20acd2af95867a7be20ca2216b0eda691181ef9ddf2c2f	5	5	39	0.1765	136
amBas	ambhas	high	poly5p	47	b281472f6bd8e0e304b914353a17a0625eb8fcede2d1d9e9e7dc43b70334d6dc	51	080725044f79b8ae148247ab0a3076e595ce46ffc8585d45bc2a93d97b9b823d	5	5	40	0.1778	135
Pala	phala	high	poly5p	143	952cc45fbef2b73c27d8f07ae373489cb1fa6f8fe5ba3aefb99f308594291700	30	56698cde0a410a035d51fcce902da63ef655cb2436907ee457c7f83ad6afbc35	5	5	150	0.2749	833
laGu	laghu	high	poly5p	133	d48969ec088703f9acc96ac6a791f5f539ae27d7ebb7ce3f4829ca82a653fc67	82	6049e5b099c2920487138750949055cbe61ef5d13602dd58328de3de03441ae7	5	5	41	0.1	60
Suc	śuc	high	poly5p	147	1c5c5eb84a734740a5d676957a5d6fccdcba70b0a41c3a25fda50f2adde9747a	102	b2137451937395559229a3b725cda6ab065de770be0b7982fff496a0c23e540e	5	5	202	0.0628	382
yA	yā	high	poly5p	141	00ce537d8f888f39e2650202b7118fd94233a4aa681f17d5c184199dd831b688	25	ec9ae3516453048b25b0edc171e24799478878a83f793062af60db75ee0ae0d7	5	5	573	0.0562	1335
nirvinDyA	nirvindhyā	low	mono	12	d51593ff24035016e8d3bce7f2ee2b4c4d02ae3e9d09b8d78b4442ee91f9194a	17	740110d03abc890d512aa8c823f325aaf23e1ce21d939fb4cfc4c0fa79060806	2	2	2	0.5	2
anAdeya	anādeya	low	mono	8	fe4b518247a34e25ab4b9aa96f8b46bcd6d04ee82aa2d572a4ee89d1d2085444	11	c2a7e7eea2f2d3455b42f4903d08533dec0746c0974c0efd4deacdbe9b99032b	19	3	3	0.3333	3
milana	milana	low	mono	5	1ab320afa9456648427f65f8e4129259886507156c9fd69f12741a7ead7f4006	7	b5a63e7c016689122b9306f6a6f67b965eb4d5bb58adad356a10ec1f4386b906	3	2	2	0.5	2
Asannatara	āsannatara	low	mono	1	b180564a7552f4414b2338f3b5f260f3ec8defd0acc2f3fd950280a36bfadffe	11	7eec1529b9a9258e01472fee732abbb7c7dac2c88f7e9920456a58fa8704c4b3	2	1	1	1.0	1
maRqalita	maṇḍalita	low	mono	6	c6598f305546da163ff7377574b2d885fb9478ca2d5705eff288b3fabedb3cfa	23	97547402afdbbb754589382eaaea3e5f0e6535b5238d807d7d462342c8b8d185	2	1	1	1.0	1
nivah	nivah	low	mono	23	c3ed43f52a62ec46325d92985524e8279b1d4bdd1d0d7d43aa75784d37d0a950	31	d10b057a61804e4f4a050914fd1103a44fc949b4c71e05b06f98b797f0a6b3b9	1	1	1	1.0	2
vratati	vratati	low	poly2_4	15	36c325f947e547f7bda75da4fd2456825e72d61b953e7373a2218b40ee53c7ac	13	48cf82759234a4585c7bd34a4f9e60caf317d1cf0fa89c8751b568ac75006d6a	1	1	1	1.0	2
saMvAhaka	saṃvāhaka	low	poly2_4	11	00cd70dce0eb96232b639662ef8e270f23048b19d0f9928af22eedfb4d0fa2fd	43	08665f2a3471077597e94f29331b5476bcc1023154892a5593c7eb29afad2241	1	1	1	1.0	1
aviBinna	avibhinna	low	poly2_4	6	90ccb0d89bf7b8869b940a0409bb403fadd57ec03c0773cacca2e33b579e870a	14	878b74dacc28a7f28e53c0eb3158f167379778d88a6f7450b90aaca6256b907d	2	2	2	0.5	2
pariBUti	paribhūti	low	poly2_4	6	fe5ea7ab623fe384d2fe7929f50d6e5f37d225775f5d8ecfd02df859777512d6	7	5025565ad87d00b32a8c3bc04e8f6db3a668beace1c69a0d44f14f8684052b40	4	1	1	1.0	1
sUtraDAra	sūtradhāra	low	poly2_4	51	089fd5b5a93ac496c38fab98abc149e8b26a3438fb9cc930f02c8159259c14a4	37	0e96ddb979d0b6c695d915a61d99bdc95fab6ba7d38dfe3dcbe589f9223461a0	2	1	1	1.0	1
rukmANgada	rukmāṅgada	low	poly2_4	12	60df220e72b8ae192671546852a693836fbcc955ef59759dd504f3e899465479	28	a4f9b384fe8a619170cb5b9f32a7c756c46afe59e75bfc5bb2f9d511f135cdb9	8	3	3	0.3333	3
vipariRAma	vipariṇāma	low	poly2_4	7	ee5238eb51b6275ae76375101a9285dddd624244c229aff03fe202673eb15529	11	7836cda9b372c7689b5cdc5840f902df6b4103bc5394993104960cb7cd9fb6ff	1	1	1	1.0	1
BUmigfha	bhūmigṛha	low	poly2_4	14	f2b6edeee3434f4547b5cf99a3001afc061f32f0618208fc7eebed3b25d88b11	23	7ab198753ddc23f36ab4e9d5d2175ea2030dcf36049ba385a94fe115e67d2b35	1	1	1	1.0	1
kawAgni	kaṭāgni	low	poly2_4	26	a7cb51413379eee206df60a715ea40fba94acd285ca1024f885181f3689b8a19	22	9861d9b18b341de122e4630ae585d4851f616bde77f98a9af2c27d6badba92a0	9	2	2	0.6667	3
rAjanyaka	rājanyaka	low	poly2_4	10	73f13312f98a068a7f476c1b7ff5ec73e6f05fe36027af91cfeb2709178fd0cc	24	66645b2dd1163bb4caff4c840c6eff69e3cdfc23a0fbfa8f1e09e030b7827a40	2	1	1	1.0	1
alika	alika	low	poly2_4	8	c318c54a61d39d3289eac8fe6c16cc9e5c69a6c5211e3a86292743a1fb41cbff	6	e30a55d68db36e2bf1a45407e5c6907c7a214b5cb3fc61f09f1b84e769572abc	1	1	1	1.0	1
SataBizaj	śatabhiṣaj	low	poly2_4	46	9584e6cb6df8fdfc116676ce75dbd5f5721d73cc4721a819195f8fa6a51d5ec7	41	132754e977d48281b65e557e0cfd5ab879da584ef923ffbd7c0398ae1021e0b3	1	1	1	1.0	2
buButsA	bubhutsā	low	poly2_4	15	799441fc27a4cdf4f0ce0345702c9e2293974868b18be4b069528cdf9acc08c5	10	21856056c03bd10cd9ae424c58f6ca8e877eb9c024e94648fcd38d9ca40db6a4	5	2	2	0.5	2
sAratA	sāratā	low	poly5p	23	c9c4ce51c7831a81dc2dc34efcd216de0771da23a151835568633b802b429478	5	d25634feb9416269a554401bbe0e2fc4166865b72b61db76a33fa8da9bbc4aa0	3	1	1	1.0	1
qimBa	ḍimbha	low	poly5p	21	f345fe49f335cfccbd4f1d20e14fada2846adfc252b12ebbd527f8a233dc70cd	2	0a38f70ead545f17d3f70920c232bfd2b5cc8f58fd58948722b65eb44aa4555b	1	1	1	1.0	1
atyAhita	atyāhita	low	poly5p	22	5ed1f359a10d4697c163cd43bc3c7cbfca6a96e84b4ec327c47c86dc6806ef78	9	bdefdd88a02dc2b07b30a0e59c8482beed60864eace51287d878956bb03a319f	13	5	6	0.1667	6
GfRi	ghṛṇi	low	poly5p	47	3cce0f06d395f3b1e87c394f77d46c30ec24e4e4024db6eb38c5b195db11e481	15	9bd5ccf289b8865f1a68e0b9b015c645ac5e3e7be16ea52749d14161f17dd183	2	2	2	0.5	2
maYjula	mañjula	low	poly5p	30	5ab0f3f5f3693edde6011b73a223bd42dcab4556d1c091a3199b61dffe4beda3	13	ae97f1cd77e085ce15b29cc490093a22c59b7a0712a601e57061fc68584996c8	1	1	1	1.0	1
kuwIra	kuṭīra	low	poly5p	17	ec3f9f0d7355d5fb96acd5538120eceeca433ee5cf3f878b43e3185749171e0f	1	14774fc34ef3279773e05d9daf1000a2573d357791be6d6c17dcaea8cfb64f12	1	1	1	1.0	1
jawADara	jaṭādhara	low	poly5p	29	a618bc95aa51125f8989d1cc70fe56c5a993dcca3269d2982398cf49b1aee3df	29	506b2344a3b734dc8e83ca329d9f5c494569432ffb1891c05060f4c6768fea19	8	2	2	0.5	2
Aropa	āropa	low	poly5p	28	31d1a07a58d977e9e735a1bceb79ab58ef56264d1c8b70939d65ed7b2345b536	34	cefd9345d37d84c4a8a4fb9e45184ce1c423d7f558b7b70f3d848f88bac6f5bc	1	1	1	1.0	1
AlIQa	ālīḍha	low	poly5p	32	15f99055fbf0f669a506c6c2b048ec9898d146d993d240edd7f1c083fa8adba1	41	43d14ec132b678e5be16ffcd04d57063b593b025afc95211944b8e77dbf829ca	1	1	1	1.0	1
rasita	rasita	low	poly5p	46	7156bd6d87f08911530746761a62e440b84bbb9961a91137247ca35dfd5a4ba0	41	76a48353874eb526cc45be8f319665e3af1524a05d50e12dfc8e607d7b5eb743	1	1	1	1.0	1
SAsa	śāsa	low	poly5p	33	93bcd8a500562e081f5bc0f22901f3e4fe7ab9ff069a93d3762525610f72993a	9	abce34e7967a16cd6d5ef5dfff0234e14f006d7cfafdb4951a3b968e6bf37c75	4	4	4	0.4	5
arAla	arāla	low	poly5p	43	f2eb4cdb775d250ea933fac7244d7eb78c2b17882658686dd1e1ba7b1069f40c	34	1feadd4124cd4460d05073427fa3345fe830c016c469719d5546d86ed8fadaef	1	1	1	1.0	1
mAWara	māṭhara	low	poly5p	46	21611b2261198980d0e84f2e7ef0a8c71fce3c8e58e1ae650620e3f51260412e	18	6fdc62f7fd89423e19bb635602ade6513cdecee3fed3762962b3656243151616	1	1	1	1.0	1
upodGAta	upodghāta	low	poly5p	36	479b56a50e1cfcb6f6b5302e00af91332f307054e00d59819f846c63f42ac1f9	24	eca035ea62f1782a325a386e7a1b647144ad7d4159ca064432f1d9af69596b5c	1	1	1	1.0	1
vivasvat	vivasvat	low	poly5p	142	707318ffad09ec1a8413217876ead1603f01dc1f549310b6b4924566084ade79	58	3a80861b4bb60bb749c9be15975b04ebf5e010b73dc2197cc6deb3ca982cb9b4	2	2	2	0.6667	3
gaRya	gaṇya	low	poly5p	48	61d85c4ff86e4c8db2bdf692bd7e17590246c59d14830483f33e825f85a88969	23	5a54b025d3cdb2923fdffed92f4f09711267f0b196c3185d605ad3ed69da5b9a	1	1	1	1.0	1
stamB	stambh	mid	mono	112	c5379c5af2971dc11f1b6c8d4ff0cfdf12dd77bc4240f142d7f1165f5bae9d4a	67	949a3fd0958957313cd2f00084aa3fcf7c993083c03d07e3ec0620ca49d4ba90	5	5	44	0.169	71
aBIz	abhīṣ	mid	mono	11	cf3664a778e2241f23d099c24de7a75b20101a07e6ccaf274ae6c1fa0d7b8692	19	a147fd39618f1e495d9dc97b79ae48257dca45a5162aeb8dd4e5601ac652aaee	1	1	1	1.0	1
paravaSa	paravaśa	mid	mono	11	1013867442b74142eb8f39d64b24f1cbde520259d0704eda6f7a0a6b0c495b20	39	9a8ad95f55a982fda4f848408287d567373bece92a03b034478fc91f0c0c9376	14	5	7	0.1429	7
janayitf	janayitṛ	mid	mono	10	16e8406e7e715b176aa64d9496d8f464fc1c59d6f642853b34d34b4db81121be	10	d3faa941a15832faf5f68689e38834d8f69e5b57d4915d47cee141a6ad0aa3cf	3	3	3	0.3333	3
indranIla	indranīla	mid	mono	2	aeda0668eb35b1d9fa62a10a4e76790107bbdf2025f74086a626fab739121419	10	0b1a5b965e8a05c0d4935db9e2af330216de08e59656df7b2272407959f9d9b6	6	5	5	0.3333	6
indraDanus	indradhanus	mid	mono	5	7423fec3cb43bb19b970dd33eccf6b724b1a3b00cf19632442fd3ae6d01847c2	5	a0d6abb501a7d31a51a0cc27c8fd84072674fed7870e660124c0800c26ee8448	3	2	2	0.5	2
pariSram	pariśram	mid	mono	13	6a5dcca1660eb623993ff6956d9f4f06a098a939470ddfa550b932039574bf22	25	c894f12a753152d9a2f18008aa1c968c48ad5d9f0778eafb4d7c48c41d84fc0a	7	5	24	0.1667	36
dvitra	dvitra	mid	mono	3	e9e83f1119cbe1db26f32f42c5bb1d878c09dee9eb6c10fe124d540db5831b83	12	0687bffa48bd5b5cbdf2521b019cfe65d3bba06ea5cfb96d26add8211bec7ec9	4	2	2	0.6667	3
varzavara	varṣavara	mid	mono	9	d48e87b90215f96df43b544401c503c442781e2f556fed07b45eef7b7f28345b	8	9c2971c806e4f3eaba0c66ddbb8d320993509ef5284d5d64167d54f2db4454ca	1	1	1	1.0	1
prabAD	prabādh	mid	mono	28	f818c082514efec6995c067f6f479a24b49fc6f91c98e447ba07ca9bcaa255ac	20	9b90fd1ca8cf54683986a7aa9ea44db26a31c4dee45c96c41d4bea31278d5e47	5	5	17	0.1053	19
pradfS	pradṛś	mid	mono	22	862be2534c4f58a056367863908f9882f77d953db6e46336e4943b337df9709d	25	6e8b8cb37327fd41819e47a65a343f7610084cd7f82eee357665fb424e8bfeea	5	5	16	0.0625	16
upajIv	upajīv	mid	mono	48	95e8cf024a6aee7a1570849daec336a26b58a424cda8659c00a657e0101a4d56	39	02d2b7591d819178da0be5cfada6472e428f1b50d59ff3e4a7aa30b20c060454	8	5	42	0.1846	65
anvezin	anveṣin	mid	mono	1	ed8b804eeb841d582ce517b95fe2b498e39d06505ee5023050d2ba2b22158aa9	29	d5bd1a71866b137082205955a099d9c167469e8b548c6ef6e0cb187c83082642	4	3	3	0.3333	3
BavAdfSa	bhavādṛśa	mid	mono	1	19f354395f4aa730094ba948b8b7976312ae603aba70feae48b947fee3e676e6	27	cba0f682c7f7922bed23a72b0b2cac06ec39e2d4e8fae30272622955de16fe7b	3	1	1	1.0	2
atyarTa	atyartha	mid	mono	6	0fd32bffa1a03921757db0d04a05c0d51dcf97b8f8f49d2b30ce67adb19ec224	13	212d210f526bda22f9c98255387ab8ecc422894f39f74ce0de4ddc297d05d50c	7	5	17	0.0588	17
antapAla	antapāla	mid	mono	3	d00f1893ae2ded6f6fc10c4be8cb23f7cf9aaa9092ba17fd304c144b6120b262	13	24679a70dc55567e54d9387dd864db8a8c1d442025538e0f0ad4ce01a6872fe1	3	2	2	0.5	2
Alap	ālap	mid	mono	6	a9c201212dc8f19f7f103e2f7cde97932c9be9ca053a23cff35dfbb88337b099	36	432f8e6968ef62d22480d08799813de4097d4bd0b0cb9dcdc46ece26a3411c82	2	2	2	0.5	2
udgam	udgam	mid	mono	50	62a58a6233433533318836905078bc2ed4d0301c3bb5fc8692077fcaf988e285	25	6aff0fc50588e889925c6edaf58bc297fb8dfde1e82459f278dd7165ba4eb4d5	5	5	19	0.0952	21
paryAp	paryāp	mid	mono	42	4ec3e1e8b197fddbf8cf7683365038596c5f27ee71615c862708915857d73b80	36	6c03fb5abccdd2679db54b1e7fdd07b02c323bb1529c5daac8e61953378c8c88	5	5	48	0.1026	78
paryupAs	paryupās	mid	mono	26	fac87b07eafae96b6432e157464ceabeae359495d686a975c930e1b8e4e496be	33	feed52ad4acf806c383a822b8cea91b0d532fec7f9e77411312a4c16ee496c38	5	5	51	0.1765	102
SrIKaRqa	śrīkhaṇḍa	mid	mono	7	2714c9a12d7f9890cfbe5a29bbc328a473e6900f8d3f77fda63e48bbfe83c4dc	9	d478ff46fb15bcb2daed3de0e45a842b1a72673732c3703f449b2ddfea8fce14	4	4	4	0.4	5
anvi	anvi	mid	mono	33	742319799d5be6ede755c01d626b99dcf83c6515087900c97ae58f089708fa1f	42	072e08f52ff01a22b11767a01ca7f60b8b99b619988bce31c067fa018a1ba993	5	5	39	0.125	48
SfgAla	śṛgāla	mid	mono	7	f943f1dc8e25b9fd50aaeaed6f0b1eff47b421a856560646ded4853e5032f0a1	11	419142ff1f8fcef38dc23a730f19444759b3a05ce9912716e2ba7d0a30323afd	1	1	1	1.0	4
apasiD	apasidh	mid	mono	14	9e9e02dc49abcb47d30ba4527dae10f6a300c4f7eed4a870548078d6e5956723	17	58468cb8abfcaf9fbf3ce4b347652de096561ec57c01ff1928d16c07cd61db33	6	5	11	0.1538	13
nizic	niṣic	mid	mono	23	08c9c8954641d2c3e49b072230935d366bb6eedfec96d26663796d0707226fa9	39	051f609986c8889c0e96ec5d9794789c93d56dd8a721c3253bcc59edc3fefab2	5	5	10	0.375	16
SaMsin	śaṃsin	mid	mono	11	69f4083e905b4562a2acc205de8c89f86916c2feb0e09556b3dd51ec95b906cc	18	b5c22f5c18cfedaad984b52c5a6600cc7c19e195a68901b15aaa464572dd621e	2	1	1	1.0	1
anuSAsana	anuśāsana	mid	mono	5	a0298494a6783c31f3fb958288d28791bf1b06aab8b11247da09f84c31ecacc8	20	843252354e2f37dee89f31efd768e44049b2f337f6f6f62d5c0adb5617fbd4bc	5	5	12	0.4074	27
upaDAv	upadhāv	mid	mono	18	d852f801fd10ca49ad7ab5aa1bf77538043262b70e871def9242549169ef958c	21	5cda6591829f1623b2cdc341b627745ccdbabdcccc8e2d3aa40cb56b3b2912dc	4	3	3	0.5	4
upayam	upayam	mid	mono	50	38b63e170dc065f8beb26c96eb0cd68cbdf6f9c204293bbcb40142e7032b8616	16	0f8324c9193c1c950e050b556282aab63646d76187507bb8903fe13a62cf98f8	9	5	8	0.4286	14
ezin	eṣin	mid	mono	9	abf654087f921bb853c6486f4a27e1ccf1280f5403b58362b69b6a88971ca208	14	23ca9c9864f62f5c66bb9fb4be0be296ef351a34124c94f8aaba8e27a83fee16	4	4	4	0.5	6
sAhitya	sāhitya	mid	poly2_4	25	f1b5c8d98f89d6018e7f8f9039197fe5ace6a5ad66c0a8ce53d1f730f0032a93	21	ff68f3b2de8f74367840b18910c3ba99c5da77c2e3924d705bd56a860f74d2b4	2	2	2	0.5	2
bawu	baṭu	mid	poly2_4	49	dd3bd247891f31a2a90790f6445a6a983b3b3e47b5390bfdf367b2dcd6b441b0	38	65fc067d56b93c1e5e2ec22baded6e06bae138d0a59143aecf696137f1bb1b28	2	2	2	0.6667	3
dAqima	dāḍima	mid	poly2_4	28	f345fe49f335cfccbd4f1d20e14fada2846adfc252b12ebbd527f8a233dc70cd	2	9001d28a622f656b599a74e05435d3aaa181a23809f72eb9d9fe89b268060c82	6	5	6	0.2857	7
rAjarAja	rājarāja	mid	poly2_4	21	6162e4e6be9156278c250f2d7f8c7894c7d58dde900a1b47dfff94c915d457af	21	918bd939d300b863880fddeb05637066cf8239f2cb62ee8406cdab91f8f919ad	10	5	5	0.4444	9
unnidra	unnidra	mid	poly2_4	34	facc3918400ea8141a1a195c370b42056d42b52611d4610838b912f8133010c1	20	58570aabedca1f3d12b1f8c03ea5188f2ad9cf99a189c91e2f20d6289239c1d0	2	1	1	1.0	1
praBAta	prabhāta	mid	poly2_4	23	9d0849a909b0d5e8de7735dce865d61fe40919eed96def9764c9b8ee8f6eb684	16	2c7ffa3516063c11bf05d99afd21179f89e8d3612f1ece0a8a593532896bf2f0	6	5	21	0.24	50
sodara	sodara	mid	poly2_4	35	6d2daca239e10b514a9870492a1ccf33325643845e380ac5a7c051540431d757	34	4e891fa7dc26d0c6ec7d6c4a4620469cf22bf8c600bc9d4c53a78bce0d18c521	6	5	11	0.1538	13
buBukzu	bubhukṣu	mid	poly2_4	13	e3db3dd683462bb21975428ef084986ecba38708e87c11c7d05dc9ab70774e5b	20	15868ede560fae149fd85e48027ad4a9ee4540f4dd3458d5fc80ae9ebf6ea5d4	6	3	3	0.3333	3
akzaka	akṣaka	mid	poly2_4	5	fe0d9e3bcdd48b370a218bc17b4a318b8f095e637f3e6306c30d8dc0ef47301e	6	692aca385973ce30c09ecec826a9f9a84d18962c9266a0491c5e7c4292e507e8	1	1	1	1.0	1
paratantra	paratantra	mid	poly2_4	28	c915bb745320c8f2f82f2ccd12f5d93c191f565d31cfd9506c588d99b3815984	27	5ef5010087fb74c6ada2e9cc3b8746ad7a04aa9ab8c2651a2cceb00961ee1be2	5	3	3	0.5	4
nirmama	nirmama	mid	poly2_4	27	105c776913c499caa286f79774f92dc58239c90a3d09816b7e5b4b58cd74fc12	18	77d2e352364012356392560abc122471f791524c8c1e503c78c39931020aabd3	8	5	61	0.0533	75
cAturmAsya	cāturmāsya	mid	poly2_4	29	f5b010fb4b6dea2caef7a87d7cb992ddbe4917f733d450a0697832af818a9e6a	38	d65c47d27f89884e6962e758220532947d8ad0fe438bc015da6229b9a8eb1f98	14	5	6	0.3333	9
hAhA	hāhā	mid	poly2_4	27	5545d777ffa66e6c034019d419ba8fd1e71615ed9e79e883b633a87d0f342b64	5	a3bc42bc5a61e42f55a122e88818ff8a6d9b422b7205978e1b210bd83d0df49d	10	5	11	0.2143	14
AKaRqala	ākhaṇḍala	mid	poly2_4	15	c93d0afa66a7e90e9778398502e847d8b39c68820e8054ff4eb9ac7598c57994	15	601d249c4dbb5fca7956a040ebc0ccc3d009e5db7328212b34f862e4a4fc002b	3	3	3	0.3333	6
saMsidDi	saṃsiddhi	mid	poly2_4	42	0a5ac1b13bcef0bf8b7e51def1a9b694e6d7c3765d0a02664a89a803d00b4b83	20	8cba0acea209b44d9626c7208528050ecd133b29239a1a867f3a36e1cf404d8c	7	5	22	0.4789	71
dukUla	dukūla	mid	poly2_4	24	f94d7e4d593af9a0c171250dd913dfd2560ce832183d89ff1b24da7fb89e4329	9	4553c8840e43f8a9a9b679beeb8369744df61245fa65ca9459f0797489f789aa	5	5	6	0.4167	12
viruta	viruta	mid	poly2_4	30	914cc4fcf1138012abfba37122db92224a71d13fc23411c574d75ee6745bb22e	26	14d1fd8743949f5fbb00c14a3ff812da1f38c4fd19d89a02a67a4878e7202753	5	5	5	0.2	5
zaRQa	ṣaṇḍha	mid	poly2_4	33	d9ebb155004cd051f4942b9bc64241b257b7461e7b09ae56fe30a6de06cdb121	42	1db7a558368f5d4a4b1560cd5b6f2208ee15c89836d112f6b94d157cdb7de3be	3	3	3	0.5	8
aByaNga	abhyaṅga	mid	poly2_4	9	b034361f20aebb66a948c443f8f43caf82d29d6cb5ac5ef0ef226dd34e18ff83	10	3e6dc9ec994f51a6063b90c7f70cccbe6344b52430e931c88fcfa2fbc90e31d9	2	2	2	0.5	2
Arogya	ārogya	mid	poly2_4	13	3aa4d7a4220499f949118e0b03eca65d78cbbff1878be3518b458a9690c43d03	7	77199c303b94a46996ba75539de7116dba2f3db4d5f2c74d074424574ee76ecf	6	5	9	0.6154	26
