id	k1	hom	stratum	rule	agent_verdict	pwg_members	index_members	vs_index_class	length_bucket	freq_bucket	freq_count	L_id	pwg_source_paren	mw_k2_raw
dvizaMtapa	dvizaMtapa		mw_anusvara_right_of_boundary	mw_anusvara_right_of_boundary	pwg_members-right	dvizam + tapa	dviza + Mtapa	same_count_diff_split	medium(9-10)	no_dcs_freq		35853	({#dvizam#}, <ab>acc.</ab> von <hom>2.</hom> {#dviz#}, + {#tapa#})	dviza—M-tapa
mahAnasa	mahAnasa		cut_moved_both_readings_lexical	cut_moved_both_readings_lexical	unresolved	mahA + anas	mahA + nasa	same_count_diff_split	short(<=8)	high(>=10)	49	58556	({#mahA#} + {#anas#})	mahA—nasa
dvyAtmaka	dvyAtmaka		pwg_lexeme_vs_mw_suffixed_tail	pwg_lexeme_vs_mw_suffixed_tail	pwg_members-right	dvi + Atman	dvy + Atmaka	same_count_diff_split	medium(9-10)	no_dcs_freq		35983	(von {#dvi#} + {#Atman#})	dvy—Atmaka
jalaDijA	jalaDijA		granularity_ic_vs_full_decomposition	granularity_ic_vs_full_decomposition	unresolved	jalaDi + jA	jala + Di + jA	member_count_diff	short(<=8)	no_dcs_freq		26916	({#jalaDi#} + {#jA#} von {#ja#})	jala—Di—jA
puMKyAna	puMKyAna		cut_moved_both_readings_lexical	cut_moved_both_readings_lexical	unresolved	pumaMs + KyAna	puM + KyAna	same_count_diff_split	short(<=8)	no_dcs_freq		45651	({#pumaMs#} + {#KyAna#})	puM—KyAna
nAnAkAra	nAnAkAra		mw_cut_absorbs_initial_vowel	mw_cut_absorbs_initial_vowel	pwg_members-right	nAnA + AkAra	nAnA + kAra	same_count_diff_split	short(<=8)	no_dcs_freq		38371	({#nAnA#} + {#AkAra#})	nAnA—kAra
vAwamUla	vAwamUla		cut_moved_both_readings_lexical	cut_moved_both_readings_lexical	unresolved	vawa + mUla	vAwa + mUla	same_count_diff_split	short(<=8)	no_dcs_freq		89592	(von {#vawa#} + {#mUla#})	vAwa—mUla
ekapatika	ekapatika		pwg_lexeme_vs_mw_suffixed_tail	pwg_lexeme_vs_mw_suffixed_tail	pwg_members-right	eka + pati	eka + patika	same_count_diff_split	medium(9-10)	no_dcs_freq		13282	(von {#eka#} + {#pati#})	eka—patika
citraSIrzaka	citraSIrzaka		pwg_lexeme_vs_mw_suffixed_tail	pwg_lexeme_vs_mw_suffixed_tail	pwg_members-right	citra + SIrza	citra + SIrzaka	same_count_diff_split	long(>=11)	low(1-2)	1	25509	({#citra#} + {#SIrza#})	citra—SIrzaka
agnihotrahut	agnihotrahut		granularity_ic_vs_full_decomposition	granularity_ic_vs_full_decomposition	unresolved	agnihotra + hut	agni + hotra + hut	member_count_diff	long(>=11)	no_dcs_freq		493	(<hom>1.</hom> {#agnihotra#} + {#hut#})	agni—hotra—hu/t
puruScandra	puruScandra		cut_moved_both_readings_lexical	cut_moved_both_readings_lexical	unresolved	puru + candra	puru + Scandra	same_count_diff_split	long(>=11)	no_dcs_freq		46156	({#puru#} + {#Sca˚#} = {#candra#})	puru—Scandra/
ananyagatika	ananyagatika		residual-undersized	pwg_cut_leaves_nonword	index_members-right	a + anyagati	ananya + gatika	same_count_diff_split	long(>=11)	no_dcs_freq		2302	(von <hom>3.</hom> {#a#} + {#anyagati#})	an-anya—gatika
SarDaMjaha	SarDaMjaha		mw_anusvara_right_of_boundary	mw_anusvara_right_of_boundary	pwg_members-right	SarDam + jaha	SarDa + Mjaha	same_count_diff_split	medium(9-10)	no_dcs_freq		98211	({#SarDam#}, <ab>acc.</ab> von <hom>2.</hom> {#SarDa#}, + {#jaha#} von {#hA#})	SarDa—M-jaha
tryuttarIBAva	tryuttarIBAva		residual-undersized	arity_differs_no_alignment	unresolved	tri + uttara + BU	try + uttarIBAva	member_count_diff	long(>=11)	no_dcs_freq		31410	({#tri#} + {#u˚#} von {#uttara#} + {#BU#})	try—uttarI-BAva
BrAzwraminDa	BrAzwraminDa		residual-undersized	cut_moved_neither_reading_lexical	unresolved	BrAzwram + inDa	BrAzwra + minDa	same_count_diff_split	long(>=11)	no_dcs_freq		56060	({#BrAzwram#}, <ab>acc.</ab> von <hom>1.</hom> {#BrAzwra#} + {#inDa#})	BrAzwra—m-inDa
parovaram	parovaram		mw_cut_absorbs_initial_vowel	mw_cut_absorbs_initial_vowel	pwg_members-right	paras + avaram	paro + varam	same_count_diff_split	medium(9-10)	no_dcs_freq		43404	({#paras#} + {#avaram#})	paro—'vara/m
jalaDigA	jalaDigA		granularity_ic_vs_full_decomposition	granularity_ic_vs_full_decomposition	unresolved	jalaDi + gA	jala + Di + gA	member_count_diff	short(<=8)	no_dcs_freq		26915	({#jalaDi#} + {#gA#} von <hom>1.</hom> {#ga#})	jala—Di—gA
pumarTa	pumarTa		cut_moved_both_readings_lexical	cut_moved_both_readings_lexical	unresolved	pumaMs + arTa	pum + arTa	same_count_diff_split	short(<=8)	mid(3-9)	3	45955	({#pumaMs#} + {#arTa#})	pum—arTa
pARqvAmaya	pARqvAmaya		residual-undersized	pwg_cut_leaves_nonword	index_members-right	pARqu + Asaya	pARqv + Amaya	same_count_diff_split	medium(9-10)	no_dcs_freq		44223	({#pARqu#} + {#Asaya#})	pARqv—Amaya
SAKAda	SAKAda		mw_cut_absorbs_initial_vowel	mw_cut_absorbs_initial_vowel	pwg_members-right	SAKA + ada	SAKA + da	same_count_diff_split	short(<=8)	low(1-2)	2	98651	({#SAKA#} + {#ada#})	SAKA—da
ciraMjIva	ciraMjIva		mw_anusvara_right_of_boundary	mw_anusvara_right_of_boundary	pwg_members-right	ciram + jIva	cira + MjIva	same_count_diff_split	medium(9-10)	no_dcs_freq		25597	({#ciram#} <lex>adv.</lex> + {#jIva#})	cira—M-jIva
mAsakAlika	mAsakAlika		pwg_lexeme_vs_mw_suffixed_tail	pwg_lexeme_vs_mw_suffixed_tail	pwg_members-right	mAsa + kAla	mAsa + kAlika	same_count_diff_split	medium(9-10)	no_dcs_freq		60260	(von <hom>1.</hom> {#mAsa#} + {#kAla#})	mAsa—kAlika
BImavikrama	BImavikrama		cut_moved_both_readings_lexical	cut_moved_both_readings_lexical	unresolved	BIma + vi	BIma + vikrama	same_count_diff_split	long(>=11)	no_dcs_freq		54974	({#BIma#} + {#vi#})	BIma—vikrama
DanadeSvara	DanadeSvara		mw_cut_leaves_nonword	mw_cut_leaves_nonword	pwg_members-right	Danada + ISvara	Dana + deSvara	same_count_diff_split	long(>=11)	no_dcs_freq		36030	({#Danada#} + {#ISvara#})	Dana—deSvara
dviradASana	dviradASana		mw_cut_leaves_nonword	mw_cut_leaves_nonword	pwg_members-right	dvirada + aSana	dvi + radASana	same_count_diff_split	long(>=11)	no_dcs_freq		35787	({#dvirada#} + {#aSana#})	dvi—radASana
padmamAlin	padmamAlin		pwg_lexeme_vs_mw_suffixed_tail	pwg_lexeme_vs_mw_suffixed_tail	pwg_members-right	padma + mAlA	padma + mAlin	same_count_diff_split	medium(9-10)	no_dcs_freq		42154	(von {#padma#} + {#mAlA#})	padma—mAlin
narendra	narendra		mw_cut_leaves_nonword	mw_cut_leaves_nonword	pwg_members-right	nara + indra	na + rendra	same_count_diff_split	short(<=8)	high(>=10)	394	37851	({#nara#} + {#indra#})	na—rendra
dOrjIvitya	dOrjIvitya		mw_cut_leaves_nonword	mw_cut_leaves_nonword	pwg_members-right	duz + jIvita	dOr + jIvitya	same_count_diff_split	medium(9-10)	low(1-2)	2	35084	(von <hom>2.</hom> {#duz#} + {#jIvita#})	dO/r—jIvitya
hetumAtramaya	hetumAtramaya		pwg_lexeme_vs_mw_suffixed_tail	pwg_lexeme_vs_mw_suffixed_tail	pwg_members-right	hetu + mAtra	hetu + mAtramaya	same_count_diff_split	long(>=11)	no_dcs_freq		117494	(von {#hetu#} + {#mAtra#})	hetu—mAtra-maya
sImAnta~~h2	sImAnta	2	residual-undersized	cut_moved_neither_reading_lexical	unresolved	sIman + anQa	sImA + nta	same_count_diff_split	short(<=8)	high(>=10)	11	109641	({#sIman#} oder {#sImA#} + {#anQa#})	sImA—nta
gajacCAyA	gajacCAyA		mw_cut_leaves_nonword	mw_cut_leaves_nonword	pwg_members-right	gaja + CAyA	gaja + cCAyA	same_count_diff_split	medium(9-10)	mid(3-9)	4	21378	({#gaja#} + {#CAyA#})	gaja—cCAyA
aDvagaBogya	aDvagaBogya		mw_cut_leaves_nonword	mw_cut_leaves_nonword	pwg_members-right	aDvaga + Bogya	aDva + gaBogya	same_count_diff_split	long(>=11)	low(1-2)	1	2171	({#aDvaga#} + {#Bogya#})	aDva—ga-Bogya
ajitakeSakambala	ajitakeSakambala		residual-undersized	granularity_pwg_finer	unresolved	ajita + keSa + kambala	ajita + keSakambala	member_count_diff	long(>=11)	no_dcs_freq		976	({#ajita#} + {#keSa#} + {#kambala#})	a-jita—keSa-kambala
triDAmUrti	triDAmUrti		granularity_ic_vs_full_decomposition	granularity_ic_vs_full_decomposition	unresolved	triDA + mUrti	tri + DA + mUrti	member_count_diff	medium(9-10)	no_dcs_freq		30980	({#triDA#} + {#mUrti#})	tri—DA—mUrti
trisItya	trisItya		pwg_lexeme_vs_mw_suffixed_tail	pwg_lexeme_vs_mw_suffixed_tail	pwg_members-right	tri + sItA	tri + sItya	same_count_diff_split	short(<=8)	low(1-2)	1	31239	(von {#tri#} + {#sItA#})	tri—sItya
janapadADipa	janapadADipa		mw_cut_leaves_nonword	mw_cut_leaves_nonword	pwg_members-right	janapada + aDipa	jana + padADipa	same_count_diff_split	long(>=11)	no_dcs_freq		26512	({#janapada#} + {#aDipa#})	jana—padADipa
kArAgAra	kArAgAra		mw_cut_absorbs_initial_vowel	mw_cut_absorbs_initial_vowel	pwg_members-right	kArA + agAra	kArA + gAra	same_count_diff_split	short(<=8)	no_dcs_freq		16585	({#kArA#} + {#agAra#})	kArA—gAra
vftiMkara	vftiMkara		mw_anusvara_right_of_boundary	mw_anusvara_right_of_boundary	pwg_members-right	vftim + kara	vfti + Mkara	same_count_diff_split	medium(9-10)	no_dcs_freq		94756	({#vftim#}, <ab>acc.</ab> von <hom>1.</hom> {#vfti#} + <hom>1.</hom> {#kara#})	vfti—M-kara
aGoraGorarUpa	aGoraGorarUpa		residual-undersized	pwg_cut_leaves_nonword	index_members-right	aGoraGora + rUpa	aGora + GorarUpa	same_count_diff_split	long(>=11)	low(1-2)	1	613	({#aGoraGora#} [{#aGora#} + {#Gora#}] + {#rUpa#})	a-Gora—Gora-rUpa
senANga	senANga		mw_cut_absorbs_initial_vowel	mw_cut_absorbs_initial_vowel	pwg_members-right	senA + aNga	senA + Nga	same_count_diff_split	short(<=8)	no_dcs_freq		112609	({#senA#} + <hom>3.</hom> {#aNga#})	senA—Nga
gozWaSva	gozWaSva		residual-undersized	mw_splits_bound_morph	pwg_members-right	gozWa + Sva	go + zWa + Sva	member_count_diff	short(<=8)	no_dcs_freq		23432	({#gozWa#} + {#Sva#} = {#Svan#})	go—zWa—Sva
aBraMliha	aBraMliha		mw_anusvara_right_of_boundary	mw_anusvara_right_of_boundary	pwg_members-right	aBram + liha	aBra + Mliha	same_count_diff_split	medium(9-10)	mid(3-9)	3	4994	({#aBram#}, <ab>acc.</ab> von {#aBra#}, + {#liha#})	aBra—M-liha
devatAtman	devatAtman		residual-undersized	pwg_layer_no_headword_paren	index_members-right	devatA + Atman	devatA + tman	same_count_diff_split	medium(9-10)	low(1-2)	2	37259		devatA—tman
sarvadevamaya	sarvadevamaya		residual-undersized	mw_splits_derivational_suffix	pwg_members-right	sarva + deva	sarva + deva + maya	member_count_diff	long(>=11)	no_dcs_freq		106825	(von {#sarva#} + {#deva#})	sarva—deva—maya
kaTAkrama	kaTAkrama		mw_cut_absorbs_initial_vowel	mw_cut_absorbs_initial_vowel	pwg_members-right	kaTA + Akrama	kaTA + krama	same_count_diff_split	medium(9-10)	no_dcs_freq		14629	({#kaTA#} + {#Akrama#})	kaTA—krama
gotravfkza	gotravfkza		granularity_ic_vs_full_decomposition	granularity_ic_vs_full_decomposition	unresolved	gotra + vfkza	go + tra + vfkza	member_count_diff	medium(9-10)	no_dcs_freq		23106	({#gotra#} + {#vfkza#})	go—tra—vfkza
kalApa	kalApa		cut_moved_both_readings_lexical	cut_moved_both_readings_lexical	unresolved	kalA + Ap	kalA + pa	same_count_diff_split	short(<=8)	high(>=10)	111	15693	({#kalA#} + {#Ap#} von {#Ap#})	kalA—pa
anDaMkaraRa	anDaMkaraRa		mw_anusvara_right_of_boundary	mw_anusvara_right_of_boundary	pwg_members-right	anDam + karaRa	anDa + MkaraRa	same_count_diff_split	long(>=11)	no_dcs_freq		3465	({#anDam#}, <ab>acc.</ab> von {#anDa#}, + {#karaRa#})	anDa—M-karaRa
viDuMtuda	viDuMtuda		mw_anusvara_right_of_boundary	mw_anusvara_right_of_boundary	pwg_members-right	viDum + tuda	viDu + Mtuda	same_count_diff_split	medium(9-10)	mid(3-9)	4	91917	({#viDum#}, <ab>acc.</ab> von {#viDu#} {%Mond%} + {#tuda#})	viDu—M-tuda
tArApIqa	tArApIqa		mw_cut_absorbs_initial_vowel	mw_cut_absorbs_initial_vowel	pwg_members-right	tArA + ApIqa	tArA + pIqa	same_count_diff_split	short(<=8)	mid(3-9)	4	29398	({#tArA#} {%Stern%} + {#ApIqa#})	tArA—pIqa
gotraBUmi	gotraBUmi		granularity_ic_vs_full_decomposition	granularity_ic_vs_full_decomposition	unresolved	gotra + BUmi	go + tra + BUmi	member_count_diff	medium(9-10)	no_dcs_freq		23103	({#gotra#} + {#BUmi#})	go—tra—BUmi
aSvamizwi	aSvamizwi		residual-undersized	cut_moved_neither_reading_lexical	unresolved	aSvam + izwi	aSva + mizwi	same_count_diff_split	medium(9-10)	low(1-2)	2	7100	({#aSvam#}, <ab>acc.</ab> von {#aSva#}, + {#izwi#})	a/Sva—m-izwi
cittadravIBAvamaya	cittadravIBAvamaya		residual-undersized	mw_splits_derivational_suffix	pwg_members-right	citta + dravIBAva	citta + dravIBAva + maya	member_count_diff	long(>=11)	no_dcs_freq		73760	(von {#citta#} + {#dravIBAva#})	citta—dravI-BAva—maya
paraMtapa	paraMtapa		mw_anusvara_right_of_boundary	mw_anusvara_right_of_boundary	pwg_members-right	param + tapa	para + Mtapa	same_count_diff_split	medium(9-10)	high(>=10)	464	42362	({#param#}, <ab>acc.</ab> von {#para#}, + {#tapa#})	para—M-tapa
tridaSANkuSa	tridaSANkuSa		mw_cut_leaves_nonword	mw_cut_leaves_nonword	pwg_members-right	tridaSa + aNkuSa	tri + daSANkuSa	same_count_diff_split	long(>=11)	no_dcs_freq		30955	({#tridaSa#} + {#aNkuSa#})	tri—daSANkuSa
BagnaprakramatA	BagnaprakramatA		residual-undersized	mw_splits_derivational_suffix	pwg_members-right	Bagna + prakrama	Bagna + prakrama + tA	member_count_diff	long(>=11)	no_dcs_freq		80061	(von {#Bagna#} + {#prakrama#})	Bagna—prakrama—tA
fksAma	fksAma		cut_moved_both_readings_lexical	cut_moved_both_readings_lexical	unresolved	fc + sAman	fk + sAma	same_count_diff_split	short(<=8)	no_dcs_freq		12922	({#fc#} + {#sAman#})	fk—sAma/
gotraja	gotraja		granularity_ic_vs_full_decomposition	granularity_ic_vs_full_decomposition	unresolved	gotra + ja	go + tra + ja	member_count_diff	short(<=8)	no_dcs_freq		23099	({#gotra#} + {#ja#})	go—tra—ja
tapoSana	tapoSana		mw_cut_absorbs_initial_vowel	mw_cut_absorbs_initial_vowel	pwg_members-right	tapas + aSana	tapo + Sana	same_count_diff_split	short(<=8)	no_dcs_freq		28790	({#tapas#} + {#aSana#})	tapo—'Sana
akzetravid	akzetravid		residual-undersized	privative_scope_disputed	unresolved	a + kzetravid	akzetra + vid	same_count_diff_split	medium(9-10)	no_dcs_freq		266	(<hom>3.</hom> {#a#} + {#kzetravid#})	a/-kzetra—vid
ekacinmaya	ekacinmaya		cut_moved_both_readings_lexical	cut_moved_both_readings_lexical	unresolved	eka + cit	eka + cinmaya	same_count_diff_split	medium(9-10)	no_dcs_freq		68849	(von {#eka#} + <hom>5.</hom> {#cit#})	eka—cin-maya
tripuramallikA	tripuramallikA		residual-undersized	arity_differs_no_alignment	unresolved	tripuwa + mallikA	tri + pura + mallikA	member_count_diff	long(>=11)	no_dcs_freq		31035	({#tri˚#}, hier wohl = {#tripuwa#}, + {#mallikA#})	tri—pura—mallikA
dyumatsena	dyumatsena		residual-undersized	arity_differs_no_alignment	unresolved	dyumant + senA	dyu + mat + sena	member_count_diff	medium(9-10)	high(>=10)	21	35186	({#dyumant#} + {#senA#})	dyu—mat—sena
pAYcaBOtika	pAYcaBOtika		cut_moved_both_readings_lexical	cut_moved_both_readings_lexical	unresolved	paYcan + BUta	pAYca + BOtika	same_count_diff_split	long(>=11)	high(>=10)	36	44036	(von {#paYcan#} + {#BUta#})	pAYca—BOtika
azwAdaSaBujA	azwAdaSaBujA		residual-undersized	arity_differs_no_alignment	unresolved	azwAdaSan + Buja	azwA + daSa + BujA	member_count_diff	long(>=11)	no_dcs_freq		7235	(von {#azwAdaSan#} + {#Buja#})	azwA—daSa—BujA
mfducCada	mfducCada		mw_cut_leaves_nonword	mw_cut_leaves_nonword	pwg_members-right	mfdu + Cada	mfdu + cCada	same_count_diff_split	medium(9-10)	mid(3-9)	6	61716	({#mfdu#} + {#Cada#})	mfdu—cCada
agniminDa	agniminDa		residual-undersized	cut_moved_neither_reading_lexical	unresolved	agnim + inDa	agni + minDa	same_count_diff_split	medium(9-10)	low(1-2)	1	433	({#agnim#} <ab>acc.</ab> von {#agni#} + {#inDa#})	agni—m-inDa/
mahAskanDin	mahAskanDin		pwg_lexeme_vs_mw_suffixed_tail	pwg_lexeme_vs_mw_suffixed_tail	pwg_members-right	mahA + skanDa	mahA + skanDin	same_count_diff_split	long(>=11)	no_dcs_freq		59159	(von {#mahA#} + {#skanDa#})	mahA—skanDin
sacCeda	sacCeda		mw_cut_leaves_nonword	mw_cut_leaves_nonword	pwg_members-right	sa + Ceda	sa + cCeda	same_count_diff_split	short(<=8)	no_dcs_freq		103747	(<hom>2.</hom> {#sa#} + {#Ceda#})	sa—cCeda
vyaktarasatA	vyaktarasatA		residual-undersized	mw_splits_derivational_suffix	pwg_members-right	vyakta + rasa	vyakta + rasa + tA	member_count_diff	long(>=11)	no_dcs_freq		96197	(von {#vyakta#} + {#rasa#})	vy-akta—rasa—tA
daSalakzaRaka	daSalakzaRaka		pwg_lexeme_vs_mw_suffixed_tail	pwg_lexeme_vs_mw_suffixed_tail	pwg_members-right	daSan + lakzaRa	daSa + lakzaRaka	same_count_diff_split	long(>=11)	no_dcs_freq		32290	({#daSan#} + {#lakzaRa#})	daSa—lakzaRaka
tryahasparSa	tryahasparSa		granularity_ic_vs_full_decomposition	granularity_ic_vs_full_decomposition	unresolved	tryaha + sparSa	try + aha + sparSa	member_count_diff	long(>=11)	no_dcs_freq		31396	(<hom>1.</hom> {#tryaha#} + {#sparSa#})	try—aha—sparSa
Kagendra	Kagendra		mw_cut_leaves_nonword	mw_cut_leaves_nonword	pwg_members-right	Kaga + indra	Ka + gendra	same_count_diff_split	short(<=8)	low(1-2)	2	20773	({#Kaga#} + {#indra#})	Ka—gendra
atrinetraBU	atrinetraBU		residual-undersized	cut_moved_neither_reading_lexical	unresolved	atrinetra + BU	atri + netraBU	same_count_diff_split	long(>=11)	no_dcs_freq		1623	({#atrinetra#} + {#BU#} <lex>adj.</lex>)	atri—netra-BU
mahAkAra	mahAkAra		mw_cut_absorbs_initial_vowel	mw_cut_absorbs_initial_vowel	pwg_members-right	mahA + AkAra	mahA + kAra	same_count_diff_split	short(<=8)	no_dcs_freq		58322	({#mahA#} + {#AkAra#})	mahA—kAra
gopAlapura	gopAlapura		granularity_ic_vs_full_decomposition	granularity_ic_vs_full_decomposition	unresolved	gopAla + pura	go + pAla + pura	member_count_diff	medium(9-10)	no_dcs_freq		23207	({#gopAla#} + {#pura#})	go—pAla—pura
kujadina	kujadina		granularity_ic_vs_full_decomposition	granularity_ic_vs_full_decomposition	unresolved	kuja + dina	ku + ja + dina	member_count_diff	short(<=8)	no_dcs_freq		70848	({#kuja#} 1〉b〉 + {#dina#})	ku—ja—dina
tamontya	tamontya		mw_cut_absorbs_initial_vowel	mw_cut_absorbs_initial_vowel	pwg_members-right	tamas + antya	tamo + ntya	same_count_diff_split	short(<=8)	no_dcs_freq		28851	({#tamas#} + {#antya#})	tamo—'ntya
nfdeva	nfdeva		cut_moved_both_readings_lexical	cut_moved_both_readings_lexical	unresolved	nar + deva	nf + deva	same_count_diff_split	short(<=8)	mid(3-9)	9	40661	(<hom>1.</hom> {#nar#} + {#deva#})	nf—deva
naBasaMgama	naBasaMgama		mw_anusvara_right_of_boundary	mw_anusvara_right_of_boundary	pwg_members-right	naBasam + gama	naBasa + Mgama	same_count_diff_split	long(>=11)	low(1-2)	2	37653	({#naBasam#}, <ab>acc.</ab> von {#naBasa#} {%Luftraum%}, + {#gama#})	naBasa—M-gama
ananyapUrvA	ananyapUrvA		residual-undersized	pwg_cut_leaves_nonword	index_members-right	a + anyapUrva	ananya + pUrvA	same_count_diff_split	long(>=11)	mid(3-9)	7	2306	(<hom>3.</hom> {#a#} + {#anyapUrva#} [{#anya#} + {#pUrva#}])	an-anya—pUrvA
samarca	samarca		mw_cut_leaves_nonword	mw_cut_leaves_nonword	pwg_members-right	sama + fc	sama + rca	same_count_diff_split	short(<=8)	no_dcs_freq		105401	(<hom>2.</hom> {#sama#} + {#fc#})	sama—rca
sugmya	sugmya		pwg_lexeme_vs_mw_suffixed_tail	pwg_lexeme_vs_mw_suffixed_tail	pwg_members-right	su + gmA	su + gmya	same_count_diff_split	short(<=8)	mid(3-9)	4	110050	(ohne <is>Avagraha</is> von <hom>6.</hom> {#su#} + {#gmA#})	su/—gmya
bahusAhasra	bahusAhasra		cut_moved_both_readings_lexical	cut_moved_both_readings_lexical	unresolved	bahu + sahasra	bahu + sAhasra	same_count_diff_split	long(>=11)	no_dcs_freq		52330	(von {#bahu#} + {#sahasra#})	bahu—sAhasra
aBayaMkara	aBayaMkara		mw_anusvara_right_of_boundary	mw_anusvara_right_of_boundary	pwg_members-right	aBayam + kara	aBaya + Mkara	same_count_diff_split	medium(9-10)	high(>=10)	29	4458	({#aBayam#}, <ab>acc.</ab> von <hom>1.</hom> {#aBaya#} 4,a, + {#kara#})	a-Baya—M-kara/
maDyaMdina~~h2	maDyaMdina	2	mw_anusvara_right_of_boundary	mw_anusvara_right_of_boundary	pwg_members-right	maDyam + dina	maDya + Mdina	same_count_diff_split	medium(9-10)	high(>=10)	127	57142	({#maDyam#}, <ab>nom.</ab> von {#maDya#}, + {#dina#})	maDya/—M-dina
netrarogahan	netrarogahan		granularity_ic_vs_full_decomposition	granularity_ic_vs_full_decomposition	unresolved	netraroga + han	netra + roga + han	member_count_diff	long(>=11)	no_dcs_freq		40799	(<hom>1.</hom> {#netraroga#} + {#han#})	netra—roga—han
putraMjIva	putraMjIva		mw_anusvara_right_of_boundary	mw_anusvara_right_of_boundary	pwg_members-right	putram + jIva	putra + MjIva	same_count_diff_split	medium(9-10)	mid(3-9)	4	45796	({#putram#}, <ab>acc.</ab> von {#putra#}, + {#jIva#})	putra—M-jIva
vajrIBUta	vajrIBUta		cut_moved_both_readings_lexical	cut_moved_both_readings_lexical	unresolved	vajra + BU	vajrI + BUta	same_count_diff_split	medium(9-10)	low(1-2)	1	87487	(von {#vajra#} + <hom>1.</hom> {#BU#})	vajrI—BUta
puzpaMDaya	puzpaMDaya		mw_anusvara_right_of_boundary	mw_anusvara_right_of_boundary	pwg_members-right	puzpam + Daya	puzpa + MDaya	same_count_diff_split	medium(9-10)	no_dcs_freq		46447	({#puzpam#}, <ab>acc.</ab> von {#puzpa#}, + {#Daya#})	puzpa—M-Daya
kimicCaka	kimicCaka		pwg_lexeme_vs_mw_suffixed_tail	pwg_lexeme_vs_mw_suffixed_tail	pwg_members-right	kim + icCA	kim + icCaka	same_count_diff_split	medium(9-10)	mid(3-9)	3	17240	({#kim#} + {#icCA#})	kim—icCaka
nakulISa	nakulISa		mw_cut_absorbs_initial_vowel	mw_cut_absorbs_initial_vowel	pwg_members-right	nakulI + ISa	nakulI + Sa	same_count_diff_split	short(<=8)	mid(3-9)	3	37281	({#nakulI#} + {#ISa#})	nakulI—Sa
jalaMgama	jalaMgama		mw_anusvara_right_of_boundary	mw_anusvara_right_of_boundary	pwg_members-right	jalam + gama	jala + Mgama	same_count_diff_split	medium(9-10)	no_dcs_freq		26878	({#jalam#} + {#gama#})	jala—M-gama
kzayaMkara	kzayaMkara		mw_anusvara_right_of_boundary	mw_anusvara_right_of_boundary	pwg_members-right	kzayam + kara	kzaya + Mkara	same_count_diff_split	medium(9-10)	high(>=10)	50	20183	({#kzayam#}, <ab>acc.</ab> von <hom>2.</hom> {#kzaya#}, + {#kara#})	kzaya—M-kara
gozWapati	gozWapati		residual-undersized	mw_splits_bound_morph	pwg_members-right	gozWa + pati	go + zWa + pati	member_count_diff	medium(9-10)	no_dcs_freq		23431	({#gozWa#} + {#pati#})	go—zWa—pati
prajYAkara	prajYAkara		mw_cut_absorbs_initial_vowel	mw_cut_absorbs_initial_vowel	pwg_members-right	prajYA + Akara	prajYA + kara	same_count_diff_split	medium(9-10)	no_dcs_freq		48001	({#prajYA#} + {#Akara#} oder <hom>1.</hom> {#kara#})	pra-jYA—kara
uttaraMga~~h1	uttaraMga	1	mw_anusvara_right_of_boundary	mw_anusvara_right_of_boundary	pwg_members-right	uttaram + ga	uttara + Mga	same_count_diff_split	medium(9-10)	no_dcs_freq		10895	({#uttaram#}, <ab>acc.</ab> oder <lex>adv.</lex> von <hom>1.</hom> {#uttara#}, + {#ga#})	uttara—M-ga
kzudraMcara	kzudraMcara		mw_anusvara_right_of_boundary	mw_anusvara_right_of_boundary	pwg_members-right	kzudram + cara	kzudra + Mcara	same_count_diff_split	long(>=11)	no_dcs_freq		20472	({#kzudram#}, <ab>acc.</ab> von {#kzudra#}, + {#cara#})	kzudra—M-cara
kUlamudruja	kUlamudruja		residual-undersized	cut_moved_neither_reading_lexical	unresolved	kUlam + udruja	kUla + mudruja	same_count_diff_split	long(>=11)	no_dcs_freq		18532	({#kUlam#}, <ab>acc.</ab> von {#kUla#} + {#udruja#})	kUla—m-udruja
agnijvalitatejana	agnijvalitatejana		residual-undersized	cut_moved_neither_reading_lexical	unresolved	agnijvalita + tejana	agni + jvalitatejana	same_count_diff_split	long(>=11)	no_dcs_freq		378	({#agnijvalita#} [{#agni#} + {#jvalita#}] + {#tejana#})	agni—jvalita-tejana
kunetraka	kunetraka		pwg_lexeme_vs_mw_suffixed_tail	pwg_lexeme_vs_mw_suffixed_tail	pwg_members-right	ku + netra	ku + netraka	same_count_diff_split	medium(9-10)	mid(3-9)	3	70982	(<hom>1.</hom> {#ku#} + {#netra#} {%Auge%})	ku—netraka
BUpasuta	BUpasuta		residual-undersized	arity_differs_no_alignment	unresolved	BUpa + suta	BU + pa + suta	member_count_diff	short(<=8)	no_dcs_freq		55376	({#BUpa#} + {#suta#})	BU—pa—suta
ekarca	ekarca		mw_cut_leaves_nonword	mw_cut_leaves_nonword	pwg_members-right	eka + fca	eka + rca	same_count_diff_split	short(<=8)	low(1-2)	1	13338	({#eka#} + {#fca#})	eka—rca/
aMsatrakoSa	aMsatrakoSa		granularity_ic_vs_full_decomposition	granularity_ic_vs_full_decomposition	unresolved	aMsatra + koSa	aMsa + tra + koSa	member_count_diff	long(>=11)	no_dcs_freq		37	({#aMsatra#} + {#koSa#})	a/Msa—tra—koSa
