k1	hom	lex	accented	index_token	stem_class	compound_members	irregularities
avakara		m.	avakara	m·1	a-stem		
avakarta		m.	avakarta	m·1	a-stem		
avakartana		n.	avakartana	n·1	a-stem		
avakartin		adj.	avakartin	mfn·8i	consonant-stem		tri_gender_adj
avakalpitin		adj.	avakalpiti/n	mfn·8ib	consonant-stem		tri_gender_adj
avakA		f.	a/vakA	f·2a	ā-stem		ā_stem_f(§364)
avakAda		adj.	avakAda/	mfn·1b	a-stem		tri_gender_adj
avakASa		m.	avakASa/	m·1b	a-stem		
avakASavant		adj.	avakASa/vant	mfn·8ta*	consonant-stem		tri_gender_adj
avakIrRin		adj.	avakIrRi/n	mfn·8ib	consonant-stem		tri_gender_adj
avakuYcana		n.	avakuYcana	n·1	a-stem		
avakuwAra		adj.	avakuwAra/	mfn·1b	a-stem		tri_gender_adj
avakuwArikA		f.	avakuwArikA	f·2	ā-stem		ā_stem_f(§364)
avakfzwa		adj.	avakfzwa	mfn·1	a-stem		tri_gender_adj
avaklapti		f.	avaklapti	f·3	i-stem		
avakeSa		adj.	avakeSa/	mfn·1b	a-stem		tri_gender_adj
avakeSin		adj.	avakeSin	mfn·8i	consonant-stem		tri_gender_adj
avakolba		adj.	ava/kolba	mfn·1a	a-stem		tri_gender_adj
avaktra		adj.	avaktra	mfn·1	a-stem		tri_gender_adj
avakrakzin		adj.	avakrakzi/n	mfn·8ib	consonant-stem		tri_gender_adj
avakranda		m.	avakranda/	m·1b	a-stem		
avakraya		m.	avakraya	m·1	a-stem		
avakrAmin		adj.	avakrAmi/n	mfn·8ib	consonant-stem		tri_gender_adj
avakleda		m.	avakleda	m·1	a-stem		
avakzayaRa		n.	avakzayaRa	n·1	a-stem		
avakzAma		m.	a/vakzAma	m·1a	a-stem		
avakzepa		m.	avakzepa	m·1	a-stem		
avakzepaRa		n.	avakzepaRa	n·1	a-stem		
avaKaRqana		n.	avaKaRqana	n·1	a-stem		
avaKAda		m.	avaKAda/	m·1b	a-stem		
avagaRa		adj.	avagaRa	mfn·1	a-stem		tri_gender_adj
avagaRana		n.	avagaRana	n·1	a-stem		
avagaRqa		m.	avagaRqa	m·1	a-stem		
avagati		f.	avagati	f·3	i-stem		
avagaTa		adj.	avagaTa/	mfn·1b	a-stem		tri_gender_adj
avagantavya		adj.	avagantavya	mfn·1	a-stem		tri_gender_adj
avagama		m.	avagama	m·1	a-stem		
avagamana		n.	avagamana	n·1	a-stem		
avagAQa		adj.	avagAQa	mfn·1	a-stem		tri_gender_adj
avagAda		m.	avagAda	m·1	a-stem		
avagAha		m.	avagAha	m·1	a-stem		
avagAhana		n.	avagAhana	n·1	a-stem		
avaguRWana		n.	avaguRWana	n·1	a-stem		
avaguRWanavant		adj.	avaguRWanavant	mfn·8t*	consonant-stem		tri_gender_adj
avaguRWikA		f.	avaguRWikA	f·2	ā-stem		ā_stem_f(§364)
avagUhana		n.	avagUhana	n·1	a-stem		
avagfhya		adj.	avagfhya	mfn·1	a-stem		tri_gender_adj
avagoraRa		n.	avagoraRa	n·1	a-stem		
avagraha		m.	avagraha/	m·1b	a-stem		
avagrahaRa		n.	avagrahaRa	n·1	a-stem		
avagrAha		m.	avagrAha	m·1	a-stem		
avaGawwa		m.	avaGawwa	m·1	a-stem		
avaGawwana		n.	avaGawwana	n·1	a-stem		
avaGarzaRa		n.	avaGarzaRa	n·1	a-stem		
avaGAta		m.	avaGAta	m·1	a-stem		
avaGrARa		n.	avaGrARa	n·1	a-stem		
avacana	1	n.	avacana	n·1	a-stem		
avacana	2	adj.	avacana	mfn·1	a-stem		tri_gender_adj
avacanIya		adj.	avacanIya	mfn·1	a-stem		tri_gender_adj
avacandramasa		n.	avacandramasa/	n·1b	a-stem		
avacaya		m.	avacaya	m·1	a-stem		
avacara		adj.	avacara	mfn·1	a-stem		tri_gender_adj
avacAyin		adj.	avacAyin	mfn·8i	consonant-stem		tri_gender_adj
avacAraRa		n.	avacAraRa	n·1	a-stem		
avacUri		f.	avacUri	f·3	i-stem		
avacUrRana		n.	avacUrRana	n·1	a-stem		
avacUla		m.	avacUla	m·1	a-stem		
avacUlaka		m.	avacUlaka	m·1	a-stem		
avacCada		m.	avacCada	m·1	a-stem		
avacCurita		n.	avacCurita	n·1	a-stem		
avacCuritaka		n.	avacCuritaka	n·1	a-stem		
avacCeda		m.	avacCeda	m·1	a-stem		
avacCedaka		adj.	avacCedaka	mfn·1	a-stem		tri_gender_adj
avacCedya		adj.	avacCedya	mfn·1	a-stem		tri_gender_adj
avajaya		m.	avajaya	m·1	a-stem		
avajYA		f.	avajYA	f·2	ā-stem		ā_stem_f(§364)
avajYAna		n.	avajYAna	n·1	a-stem		
avajYeya		adj.	avajYeya	mfn·1	a-stem		tri_gender_adj
avawa		m.	avawa/	m·1b	a-stem		
avawi		m.	avawi	m·3	i-stem		
avawIwa		adj.	avawIwa/	mfn·1b	a-stem		tri_gender_adj
avawu		m.	avawu	m·5	u-stem		
avawya		adj.	avawya^	mfn·1	a-stem		tri_gender_adj
avaqaNga		m.	avaqaNga	m·1	a-stem		
avaRqa		adj.	a/vaRqa	mfn·1a	a-stem		tri_gender_adj
avata		m.	avata/	m·1b	a-stem		
avataMsa		m.n.	avataMsa	mn·1	a-stem		m_n_common
avatakzaRa		n.	avatakzaRa	n·1	a-stem		
avatataDanvan		adj.	a/vatataDanvan	mfn·8na*+2	consonant-stem	avatata+Danvan	compound:2_members;tri_gender_adj
avataptenakulasTita		n.	avataptenakulasTita	n·1	a-stem		
avatamasa		n.	avatamasa/	n·1b	a-stem		
avataraRa		n.	avataraRa	n·1	a-stem		
avataraRikA		f.	avataraRikA	f·2	ā-stem		ā_stem_f(§364)
avataram		adv.	avatara/m	ind·0+2	indeclinable	ava+taram	compound:2_members
avataritavya		adj.	avataritavya	mfn·1	a-stem		tri_gender_adj
avatarpaRa		n.	avatarpaRa	n·1	a-stem		
avatas		adv.	avatas	ind·0	indeclinable		
avatAna		adj.	avatAna	mfn·1	a-stem		tri_gender_adj
avatApin		adj.	avatApi/n	mfn·8ib	consonant-stem		tri_gender_adj
avatAra		m.	avatAra/	m·1b	a-stem		
avatAraka		adj.	avatAraka	mfn·1	a-stem		tri_gender_adj
avatAraRa		n.	avatAraRa	n·1	a-stem		
avatArin		adj.	avatArin	mfn·8i	consonant-stem		tri_gender_adj
avatoka		adj.	a/vatoka	mfn·1a	a-stem		tri_gender_adj
avatka		n.	avatka/	n·1b	a-stem		
avatta		adj.	a/vatta	mfn·1a	a-stem		tri_gender_adj
avatsAra		m.	avatsAra/	m·1b	a-stem		
avatsIya		adj.	avatsIya/	mfn·1b	a-stem		tri_gender_adj
avadaMSa		m.	avadaMSa	m·1	a-stem		
avadaraRa		n.	avadaraRa	n·1	a-stem		
avadAta		adj.	avadAta	mfn·1	a-stem		tri_gender_adj
avadAna	1	n.	avadA/na	n·1a	a-stem		
avadAna	2	n.	avadAna	n·1	a-stem		
avadAna	3	n.	avadAna	n·1	a-stem		
avadAraRa		n.	avadAraRa	n·1	a-stem		
avadAvada		adj.	avadAvada	mfn·1	a-stem		tri_gender_adj
avadAha		m.	avadAha	m·1	a-stem		
avadoha		m.	avadoha	m·1	a-stem		
avadya		adj.	avadya/	mfn·1b	a-stem		tri_gender_adj
avadyagohana		adj.	avadyagohana	mfn·1+2	a-stem	avadya+gohana	compound:2_members;tri_gender_adj
avadyaBI		f.	avadyaBI/	f·4a+2	ī-stem	avadya+BI	compound:2_members
avadyavant		adj.	avadya/vant	mfn·8ta*	consonant-stem		tri_gender_adj
avadyotin		adj.	avadyotin	mfn·8i	consonant-stem		tri_gender_adj
avadraNga		m.	avadraNga	m·1	a-stem		
avaDa	1	m.	avaDa	m·1	a-stem		
avaDa	2	adj.	avaDa/	mfn·1b	a-stem		tri_gender_adj
avaDarzya		adj.	avaDarzya	mfn·1	a-stem		tri_gender_adj
avaDAtavya		adj.	avaDAtavya	mfn·1	a-stem		tri_gender_adj
avaDAna		n.	avaDAna	n·1	a-stem		
avaDAnin		adj.	avaDAni/n	mfn·8ib	consonant-stem		tri_gender_adj
avaDAra		m.	avaDAra	m·1	a-stem		
avaDAraka		adj.	avaDAraka	mfn·1	a-stem		tri_gender_adj
avaDAraRa		n.	avaDAraRa	n·1	a-stem		
avaDAraRIya		adj.	avaDAraRIya	mfn·1	a-stem		tri_gender_adj
avaDArya		adj.	avaDArya	mfn·1	a-stem		tri_gender_adj
avaDi		m.	avaDi/	m·3b	i-stem		
avaDimant		adj.	avaDimant	mfn·8t*	consonant-stem		tri_gender_adj
avaDIraRa		n.	avaDIraRa	n·1	a-stem		
avaDUnana		n.	avaDUnana	n·1	a-stem		
avaDya		adj.	avaDya/	mfn·1b	a-stem		tri_gender_adj
avaDyatA		f.	avaDya/tA	f·2a+2	ā-stem	avaDya+tA	compound:2_members;ā_stem_f(§364)
avaDyatva		n.	avaDyatva	n·1+2	a-stem	avaDya+tva	compound:2_members
avaDyASva		m.	avaDyASva	m·1	a-stem		
avaDra		adj.	avaDra/	mfn·1b	a-stem		tri_gender_adj
avaDvaMsa		m.	avaDvaMsa/	m·1b	a-stem		
avaDvasta		adj.	avaDvasta	mfn·1	a-stem		tri_gender_adj
avana		n.	avana	n·1	a-stem		
avanakzatra		n.	avanakzatra	n·1	a-stem		
avanati		f.	avanati	f·3	i-stem		
avanadDa		adj.	avanadDa	mfn·1	a-stem		tri_gender_adj
avanamra		adj.	avanamra	mfn·1	a-stem		tri_gender_adj
avanaya		m.	avanaya	m·1	a-stem		
avanayana		n.	avanayana	n·1	a-stem		
avanAwa		adj.	avanAwa/	mfn·1b	a-stem		tri_gender_adj
avanAya		m.	avanAya/	m·1b	a-stem		
avani		f.	ava/ni	f·3a	i-stem		
avanipati		m.	avanipati	m·3+2	i-stem	avani+pati	compound:2_members
avanipAla		m.	avanipAla	m·1+2	a-stem	avani+pAla	compound:2_members
avaniScaya		m.	avaniScaya	m·1	a-stem		
avanI		f.	avanI	f·4	ī-stem		
avanISa		m.	avanISa	m·1	a-stem		
avanegya		adj.	avane/gya	mfn·1a	a-stem		tri_gender_adj
avanejana		n.	avane/jana	n·1a	a-stem		
avanti		m.	ava/nti	m·3a	i-stem		
avantikA		f.	avantikA	f·2	ā-stem		ā_stem_f(§364)
avantideva		m.	avantideva	m·1+2	a-stem	avanti+deva	compound:2_members
avantipura		n.	avantipura	n·1+2	a-stem	avanti+pura	compound:2_members
avantibrahma		m.	avantibrahma/	m·1b+2	a-stem	avanti+brahma	compound:2_members
avantivarman		m.	avantivarman	m·8n*+2	consonant-stem	avanti+varman	compound:2_members
avantisoma		m.	avantisoma	m·1+2	a-stem	avanti+soma	compound:2_members
avantisvAmin		m.	avantisvAmin	m·8i+2	consonant-stem	avanti+svAmin	compound:2_members
avantI		f.	avantI/	f·4b	ī-stem		
avantISvara		m.	avantISvara	m·1	a-stem		
avantyaSmaka		n.	avantyaSmaka	n·1	a-stem		
avapAka		adj.	avapAka	mfn·1	a-stem		tri_gender_adj
avapAwikA		f.	avapAwikA	f·2	ā-stem		ā_stem_f(§364)
avapAta		m.	avapAta	m·1	a-stem		
avapAtana		n.	avapAtana	n·1	a-stem		
avapAtrita		adj.	avapAtrita	mfn·1	a-stem		tri_gender_adj
avapAna		n.	avapA/na	n·1a	a-stem		
avapASita		adj.	avapASita	mfn·1	a-stem		tri_gender_adj
avapIqa		m.	avapIqa	m·1	a-stem		
avapIqana		n.	avapIqana	n·1	a-stem		
avaprajjana		m.	avaprajjana	m·1	a-stem		
avaPa		m.	avaPa	m·1	a-stem		
avabanDa		m.	avabanDa	m·1	a-stem		
avabAhuka		m.	avabAhuka	m·1	a-stem		
avaboDa		m.	avaboDa	m·1	a-stem		
avaboDana		n.	avaboDana	n·1	a-stem		
avabrava		m.	avabrava	m·1	a-stem		
avaBaYjana		n.	avaBaYjana	n·1	a-stem		
avaBAzaRa		n.	avaBAzaRa	n·1	a-stem		
avaBAsa		m.	avaBAsa	m·1	a-stem		
avaBAsaka		adj.	avaBAsaka	mfn·1	a-stem		tri_gender_adj
avaBAsakara		m.	avaBAsakara	m·1+2	a-stem	avaBAsa+kara	compound:2_members
avaBAsapraBa		m.	avaBAsapraBa	m·1+2	a-stem	avaBAsa+praBa	compound:2_members
avaBAsin		adj.	avaBAsin	mfn·8i	consonant-stem		tri_gender_adj
avaBfTa		m.	avaBfTa/	m·1b	a-stem		
avaBedin		adj.	avaBedi/n	mfn·8ib	consonant-stem		tri_gender_adj
avaBra		m.	avaBra	m·1	a-stem		
avaBrawa		adj.	avaBrawa/	mfn·1b	a-stem		tri_gender_adj
avama		adj.	avama/	mfn·1b	a-stem		tri_gender_adj
avamatANkuSa		m.	avamatANkuSa	m·1	a-stem		
avamati		m.	avamati	m·3	i-stem		
avamantar		m.	avamantar	m·8√	consonant-stem		
avamantavya		adj.	avamantavya	mfn·1	a-stem		tri_gender_adj
avamanTa		m.	avamanTa	m·1	a-stem		
avamarda		m.	avamarda	m·1	a-stem		
avamardana		adj.	avamardana	mfn·1	a-stem		tri_gender_adj
avamardin		adj.	avamardin	mfn·8i	consonant-stem		tri_gender_adj
avamarSa		m.	avamarSa	m·1	a-stem		
avamAna		m.	avamAna	m·1	a-stem		
avamAnana		n.	avamAnana	n·1	a-stem		
avamAnin		adj.	avamAnin	mfn·8i	consonant-stem		tri_gender_adj
avamAnya		adj.	avamAnya	mfn·1	a-stem		tri_gender_adj
avamArjana		n.	avamA/rjana	n·1a	a-stem		
avamUrDaSaya		adj.	avamUrDaSaya	mfn·1	a-stem		tri_gender_adj
avamfSya		adj.	avamfSya	mfn·1	a-stem		tri_gender_adj
avaya		adj.	avaya	mfn·1	a-stem		tri_gender_adj
avayajana		n.	avaya/jana	n·1a	a-stem		
avayava		m.	avayava	m·1	a-stem		
avayavin		adj.	avayavin	mfn·8i	consonant-stem		tri_gender_adj
avayA		adj.	avayA	mfn·2	ā-stem		tri_gender_adj
avayAj		f.	avayA/j	f·8√b	consonant-stem		
avayAtar		m.	avayAta/r	m·8√b	consonant-stem		
avayAtaheLas		adj.	a/vayAtaheLas	mfn·8sa+2	consonant-stem	avayAta+heLas	compound:2_members;tri_gender_adj
avayuna		adj.	avayuna/	mfn·1b	a-stem		tri_gender_adj
avara		adj.	a/vara	mfn·1a	a-stem		tri_gender_adj
avaraja		adj.	avaraja	mfn·1+2	a-stem	avara+ja	compound:2_members;tri_gender_adj
avaratas		adv.	avarata/s	ind·0+2	indeclinable	avara+tas	compound:2_members
avarati		f.	avarati	f·3	i-stem		
avaraparam		adv.	avarapara/m	ind·0+2	indeclinable	avara+param	compound:2_members
avaravarRa	1	m.	avaravarRa	m·1+2	a-stem	avara+varRa	compound:2_members
avaravarRa	2	m.	avaravarRa	m·1+2	a-stem	avara+varRa	compound:2_members
avaravarRaka		m.	avaravarRaka	m·1	a-stem		
avaravrata		m.	avaravrata	m·1+2	a-stem	avara+vrata	compound:2_members
avaraSilA		f.	avaraSilA	f·2	ā-stem		ā_stem_f(§364)
avaraSEla		m.	avaraSEla	m·1+2	a-stem	avara+SEla	compound:2_members
avarastAt		adv.	avara/stAt	ind·0	indeclinable		
avaraspara		adj.	avaraspara	mfn·1+2	a-stem	avara+spara	compound:2_members;tri_gender_adj
avarArDa		m.	avarArDa	m·1+2	a-stem	ava+rArDa	compound:2_members
avarArDya		adj.	avarArDya^	mfn·1	a-stem		tri_gender_adj
avarIRa		adj.	avarIRa	mfn·1	a-stem		tri_gender_adj
avarIyaMs		m.	avarIyaMs	m·8√	consonant-stem		
avarudDi		f.	a/varudDi	f·3a	i-stem		
avarUpa		adj.	avarUpa	mfn·1	a-stem		tri_gender_adj
avarokin		adj.	avaroki/n	mfn·8ib	consonant-stem		tri_gender_adj
avarocaka		m.	avarocaka	m·1	a-stem		
avaroDa	1	m.	avaroDa	m·1	a-stem		
avaroDa	2	m.	avaroDa	m·1	a-stem		
avaroDaka		adj.	avaroDaka	mfn·1	a-stem		tri_gender_adj
avaroDana	1	n.	avaroDana	n·1	a-stem		
avaroDana	2	n.	avaro/Dana	n·1a	a-stem		
avaroDika		m.	avaroDika	m·1	a-stem		
avaroha		m.	avaroha	m·1	a-stem		
avarohaRa		n.	avarohaRa	n·1	a-stem		
avarohavant		m.	avarohavant	m·8t*	consonant-stem		
avarohaSAyin		m.	avarohaSAyin	m·8i	consonant-stem		
avarohikA		f.	avarohikA	f·2	ā-stem		ā_stem_f(§364)
avarohita		adj.	avarohita	mfn·1	a-stem		tri_gender_adj
avarohin		m.	avarohin	m·8i	consonant-stem		
avarcas		adj.	avarca/s	mfn·8sb	consonant-stem		tri_gender_adj
avarjivaMs		adj.	a/varjivaMs	mfn·8√a	consonant-stem		tri_gender_adj
avarRa	1	m.	avarRa	m·1	a-stem		
avarRa	2	adj.	avarRa	mfn·1	a-stem		tri_gender_adj
avarti		f.	a/varti	f·3a	i-stem		
avartra		adj.	avartra/	mfn·1b	a-stem		tri_gender_adj
avarman		adj.	avarma/n	mfn·8nd*	consonant-stem		tri_gender_adj
avarza		m.	avarza	m·1	a-stem		
avarzaRa		n.	avarzaRa	n·1	a-stem		
avarzuka		adj.	a/varzuka	mfn·1a	a-stem		tri_gender_adj
avarzya		adj.	avarzya/	mfn·1b	a-stem		tri_gender_adj
avalakza		adj.	avalakza	mfn·1	a-stem		tri_gender_adj
avalagna		adj.	avalagna	mfn·1	a-stem		tri_gender_adj
avalamba		m.	avalamba	m·1	a-stem		
avalambana		n.	avalambana	n·1	a-stem		
avalambin		adj.	avalambin	mfn·8i	consonant-stem		tri_gender_adj
avalipta		adj.	avalipta	mfn·1	a-stem		tri_gender_adj
avaluYcana		n.	avaluYcana	n·1	a-stem		
avaluRWana		n.	avaluRWana	n·1	a-stem		
avalumpana		n.	avalumpana	n·1	a-stem		
avaleKa		m.	avaleKa	m·1	a-stem		
avaleKana		n.	avaleKana	n·1	a-stem		
avalepa		m.	avalepa	m·1	a-stem		
avalepana		n.	avalepana	n·1	a-stem		
avaleha		m.	avaleha	m·1	a-stem		
avalehikA		f.	avalehikA	f·2	ā-stem		ā_stem_f(§364)
avaloka		m.	avaloka	m·1	a-stem		
avalokaka		adj.	avalokaka	mfn·1	a-stem		tri_gender_adj
avalokana		n.	avalokana	n·1	a-stem		
avalokita		adj.	avalokita	mfn·1+2	a-stem	ava+lokita	compound:2_members;tri_gender_adj
avalokiteSvara		m.	avalokiteSvara	m·1	a-stem		
avalokin		adj.	avalokin	mfn·8i	consonant-stem		tri_gender_adj
avaloBana		n.	avaloBana	n·1	a-stem		
avaloma		adj.	avaloma/	mfn·1b	a-stem		tri_gender_adj
avalguja		m.	avalguja	m·1	a-stem		
avalgulI		f.	avalgulI	f·4	ī-stem		
avavada		m.	avavada	m·1	a-stem		
avavadana		n.	avavadana	n·1	a-stem		
avavaditar		m.	avavaditar	m·8√	consonant-stem		
avavarzaRa		n.	avavarzaRa	n·1	a-stem		
avavAda		m.	avavAda	m·1	a-stem		
avavraSca		m.	avavra/Sca	m·1a	a-stem		
avaSa		adj.	avaSa/	mfn·1b	a-stem		tri_gender_adj
avaSas		f.	avaSa/s	f·8sb	consonant-stem		
avaSA		f.	a/vaSA	f·2a	ā-stem		ā_stem_f(§364)
avaSAtana		n.	avaSAtana	n·1	a-stem		
avaSiras		adj.	avaSiras	mfn·8s	consonant-stem		tri_gender_adj
avaSizwa		n.	avaSizwa	n·1	a-stem		
avaSIrzaka		adj.	avaSIrzaka	mfn·1	a-stem		tri_gender_adj
avaSeza		f.	avaSeza	f·1	a-stem		
avaSyam		adv.	avaSyam	ind·0	indeclinable		
avaSyA		f.	avaSyA	f·2	ā-stem		ā_stem_f(§364)
avaSyAya		m.	avaSyAya	m·1	a-stem		
avaSrayaRa		n.	avaSrayaRa	n·1	a-stem		
avaSvasam		adv.	avaSvasa/m	ind·0	indeclinable		
avazkayaRI		f.	avazkayaRI	f·4	ī-stem		
avazwamBa		m.	avazwamBa	m·1	a-stem		
avazwamBana		n.	avazwamBana	n·1	a-stem		
avazwamBamaya		adj.	avazwamBamaya	mfn·1+2	a-stem	avazwamBa+maya	compound:2_members;tri_gender_adj
avazvARa		m.	avazvARa	m·1	a-stem		
avas	1	n.	a/vas	n·8sa	consonant-stem		
avas	2	adv.	ava/s	ind·0	indeclinable		
avasa		n.	avasa/	n·1b	a-stem		
avasakTikA		f.	avasakTikA	f·2	ā-stem		ā_stem_f(§364)
avasaMcakzya		adj.	avasaMcakzya	mfn·1	a-stem		tri_gender_adj
avasaTa		m.	avasaTa	m·1	a-stem		
avasaBa		adj.	a/vasaBa	mfn·1a	a-stem		tri_gender_adj
avasara		m.	avasara	m·1	a-stem		
avasarga		m.	avasarga	m·1	a-stem		
avasarjana		n.	avasa/rjana	n·1a	a-stem		
avasarpa		m.	avasarpa	m·1	a-stem		
avasarpaRa		n.	avasa/rpaRa	n·1a	a-stem		
avasarpin		adj.	avasarpin	mfn·8i	consonant-stem		tri_gender_adj
avasavya		adj.	avasavya	mfn·1	a-stem		tri_gender_adj
avasA		f.	a/vasA	f·2a	ā-stem		ā_stem_f(§364)
avasAtar		m.	avasAta/r	m·8√b	consonant-stem		
avasAda		m.	avasAda	m·1	a-stem		
avasAdaka		adj.	avasAdaka	mfn·1	a-stem		tri_gender_adj
avasAdana		n.	avasAdana	n·1	a-stem		
avasAna	1	n.	avasA/na	n·1a	a-stem		
avasAna	2	adj.	a/vasAna	mfn·1a	a-stem		tri_gender_adj
avasAnadarSa		adj.	avasAnadarSa/	mfn·1b+2	a-stem	avasAna+darSa	compound:2_members;tri_gender_adj
avasAnikA		m.	avasAnikA	m·2	ā-stem		
avasAnya		adj.	avasAnya^	mfn·1	a-stem		tri_gender_adj
avasAma		n.	avasAma/	n·1b	a-stem		
avasAya		m.	avasAya	m·1	a-stem		
avasAyin		adj.	avasAyin	mfn·8i	consonant-stem		tri_gender_adj
avasita		adj.	a/vasita	mfn·1a	a-stem		tri_gender_adj
avaseka		m.	avaseka	m·1	a-stem		
avasekima		m.	avasekima	m·1	a-stem		
avasecana		n.	avasecana	n·1	a-stem		
avaskanda		m.	avaskanda	m·1	a-stem		
avaskandana		n.	avaskandana	n·1	a-stem		
avaskandin		adj.	avaskandin	mfn·8i	consonant-stem		tri_gender_adj
avaskaraka		m.	a/vaskaraka	m·1a	a-stem		
avaskava		m.	avaskava/	m·1b	a-stem		
avastaraRa		n.	avastaraRa	n·1	a-stem		
avastAt		adv.	ava/stAt	ind·0+2	indeclinable	avas+tAt	compound:2_members
avastAra		m.	avastAra/	m·1b	a-stem		
avastu		n.	avastu	n·5	u-stem		
avastra		adj.	avastra	mfn·1	a-stem		tri_gender_adj
avasTa		m.	avasTa/	m·1b	a-stem		
avasTAna		n.	avasTAna	n·1	a-stem		
avasTAyin		adj.	avasTAyin	mfn·8i	consonant-stem		tri_gender_adj
avasTiti		f.	avasTiti	f·3	i-stem		
avaspartar		m.	avaspartar	m·8√	consonant-stem		
avasyandana		adj.	avasyandana	mfn·1	a-stem		tri_gender_adj
avasyu		adj.	avasyu/	mfn·5b	u-stem		tri_gender_adj
avasvant		adj.	a/vasvant	mfn·8ta*	consonant-stem		tri_gender_adj
avasvanya		adj.	avasvanya^	mfn·1	a-stem		tri_gender_adj
avahanana		n.	avahanana	n·1	a-stem		
avaharaRa		n.	avaharaRa	n·1	a-stem		
avahasta		m.	avahasta	m·1	a-stem		
avahAraka		m.	avahAraka	m·1	a-stem		
avahArya		adj.	avahArya	mfn·1	a-stem		tri_gender_adj
avahAlikA		f.	avahAlikA	f·2	ā-stem		ā_stem_f(§364)
avahAsa		m.	avahAsa	m·1	a-stem		
avahAsya		adj.	avahAsya	mfn·1	a-stem		tri_gender_adj
avahitTA		f.	avahitTA	f·2	ā-stem		ā_stem_f(§364)
avahela		n.	avahela	n·1	a-stem		
avahelana		n.	avahelana	n·1	a-stem		
avahvara		m.	avahvara	m·1	a-stem		
avAkin		adj.	avAkin	mfn·8i	consonant-stem		tri_gender_adj
avAkka	1	adj.	avAkka/	mfn·1b	a-stem		tri_gender_adj
avAkpuzpI		f.	avAkpuzpI	f·4+2	ī-stem	avAk+puzpI	compound:2_members
avAkSAKa		adj.	avAkSAKa	mfn·1+2	a-stem	avAk+SAKa	compound:2_members;tri_gender_adj
avAkSruti		adj.	avAkSruti	mfn·3	i-stem		tri_gender_adj
avAgra		adj.	avAgra	mfn·1	a-stem		tri_gender_adj
avANmuKa		adj.	avANmuKa	mfn·1+2	a-stem	avAN+muKa	compound:2_members;tri_gender_adj
avAc		adj.	avA/c	mfn·8√b	consonant-stem		tri_gender_adj
avAcIna		adj.	avAcI/na	mfn·1a	a-stem		tri_gender_adj
avAcya		adj.	avAcya	mfn·1	a-stem		tri_gender_adj
avAcyadeSa		m.	avAcyadeSa	m·1+2	a-stem	avAcya+deSa	compound:2_members
avAjin		m.	a/vAjin	m·8ia	consonant-stem		
avAYc		adj.	a/vAYc	mfn·8ca*	consonant-stem		tri_gender_adj
avAta	1	adj.	avAta/	mfn·1b	a-stem		tri_gender_adj
avAta	2	adj.	a/vAta	mfn·1a	a-stem		tri_gender_adj
avAtala		adj.	avAtala	mfn·1	a-stem		tri_gender_adj
avAdin		adj.	avAdin	mfn·8i	consonant-stem		tri_gender_adj
avAna		m.	avAna	m·1	a-stem		
avAntara		adj.	avAntara/	mfn·1b	a-stem		tri_gender_adj
avAntaradiS		f.	avAntaradi/S	f·8√b+2	consonant-stem	avAntara+diS	compound:2_members
avAntaradiSA		f.	avAntaradiSA	f·2	ā-stem		ā_stem_f(§364)
avAntaradeSa		m.	avAntaradeSa/	m·1b+2	a-stem	avAntara+deSa	compound:2_members
avAntarAm		adv.	avAntarA/m	ind·0	indeclinable		
avApita		adj.	avApita	mfn·1	a-stem		tri_gender_adj
avAptavya		adj.	avAptavya	mfn·1	a-stem		tri_gender_adj
avApti		f.	avApti	f·3	i-stem		
avApya		adj.	avApya	mfn·1	a-stem		tri_gender_adj
avAya		adj.	avAya	mfn·1	a-stem		tri_gender_adj
avAra		m.n.	avAra/	mn·1b	a-stem		m_n_common
avAraRa		adj.	avAraRa	mfn·1	a-stem		tri_gender_adj
avAratas		adv.	avAra/tas	ind·0+2	indeclinable	avAra+tas	compound:2_members
avArapAra		m.	avArapAra	m·1+2	a-stem	avAra+pAra	compound:2_members
avArapArIRa		adj.	avArapArI/Ra	mfn·1a+2	a-stem	avAra+pArIRa	compound:2_members;tri_gender_adj
avArikA		f.	avArikA	f·2	ā-stem		ā_stem_f(§364)
avArIRa		adj.	avArI/Ra	mfn·1a	a-stem		tri_gender_adj
avArya	1	adj.	avArya^	mfn·1	a-stem		tri_gender_adj
avArya	2	adj.	avArya/	mfn·1b	a-stem		tri_gender_adj
avAryakratu		adj.	avArya/kratu	mfn·5a+2	u-stem	avArya+kratu	compound:2_members;tri_gender_adj
avAvan		adj.	avAvan	mfn·8n*	consonant-stem		tri_gender_adj
avAsas		adj.	avAsas	mfn·8s	consonant-stem		tri_gender_adj
avAsin		adj.	avAsin	mfn·8i	consonant-stem		tri_gender_adj
avAstu		adj.	avAstu/	mfn·5b	u-stem		tri_gender_adj
avAhana		adj.	avAhana/	mfn·1b	a-stem		tri_gender_adj
avi		adj.	a/vi	mfn·3a	i-stem		tri_gender_adj
avika		m.	avika/	m·1b	a-stem		
avikawa		m.	avikawa/	m·1b+2	a-stem	avi+kawa	compound:2_members
avikaworaRa		m.	avikaworaRa	m·1+2	a-stem	avi+kaworaRa	compound:2_members
avikala		adj.	avikala	mfn·1	a-stem		tri_gender_adj
avikrIta		adj.	a/vikrIta	mfn·1a	a-stem		tri_gender_adj
avikzit		m.	avikzit	m·8√	consonant-stem		
