slp1	hom	sense_id	gloss_de	ls_loci
Akarzaka		3	3〉 f. N. pr. einer Stadt KATHĀS. 3,53	KATHĀS. 3,53
Akarzin		1	1〉 adj. an sich ziehend	
Akarzin		1b	b〉 f. = WILS	WILS
Akarzin		1	¦ vgl	
Akfti		1	1〉 Bestandtheil: ṚV. 10,85,5 . ( adj. ) 1,164,12	ṚV. 10,85,5;ṚV 1,164,12
Akfti		2	2〉 Form, Gestalt, äussere Erscheinung AK. 3,4,164 . TRIK. 3,3,147 . H. an. 3,249 . MED. t. 94 . KĀTY. ŚR. 1,3,39 . 9,2,13 . 26,1,20 . ŚVETĀŚV. UP. 6,6 . M. 11,52 . N. 5,9 . 12,13 . HIḌ. 2,2 . HIT. 34,	AK. 3,4,164;TRIK. 3,3,147;H. an. 3,249;MED. t. 94;KĀTY. ŚR. 1,3,39;KĀTY. ŚR 9,2,13;KĀTY. ŚR 26,1,20;ŚVETĀŚV. UP. 6,6;M. 11,52;N. 5,9;N 12,13;HIḌ. 2,2;HIT. 34,20;VID. 43;R. 4,9,46;R 1,13,26;BRĀHMAṆ. 1,28;ŚĀK. 19;ŚĀK 80,7;VID. 105;VID 260;H. an;MED;VAIJ;KIR. 1,36
Akfti		3	3〉 Art, Unterart, Species TRIK. H. an. MED. SUŚR. 2,17,14 . 16 . 49,8 . 164,11 . ṚV. PRĀT. 18,4 . Vgl	TRIK;H. an;MED;SUŚR. 2,17,14;SUŚR. 2,17, 16;SUŚR. 2, 49,8;SUŚR. 2, 164,11;ṚV. PRĀT. 18,4
Akfti		4	4〉 ein Metrum von 88 Silben ṚV. PRĀT. 16,56 . 59 . KĀTY. ANUKR. 4,12 . COLEBR. Misc. Ess. II, 163	ṚV. PRĀT. 16,56;ṚV. PRĀT. 16, 59;KĀTY. ANUKR. 4,12;COLEBR. Misc. Ess. II, 163
Akfti		5	5〉 m. N. pr. eines Mannes MBH. 2,1165 . — Vgl	MBH. 2,1165
AkrIqa		1	1〉 m. Spiel, Scherz: MBH. 1,4649 . KUMĀRAS. 2,43	MBH. 1,4649;KUMĀRAS. 2,43
AkrIqa		2	2〉 m.n. Spielplatz, Lusthain, Garten AK. 2,4,1,3 ( m. ein königlicher öffentlicher Garten). H. 1112 ( m. , nach den Sch. m.n. ). MBH. 3,11358 . 14866 . R. 3,61,7 . 4,40,36 . m. MBH. 3,11370 . 14867 . 	AK. 2,4,1,3;H. 1112;MBH. 3,11358;MBH. 3, 14866;R. 3,61,7;R 4,40,36;MBH. 3,11370;MBH. 3, 14867;R. 5,9,10;R 6,73,38;MBH. 3,10823
AkrIqa		3	3〉 m. N. pr. ein Sohn Karutthāma ʼs HARIV. 1835	HARIV. 1835
AkramaRa		1	1〉 adj. heranschreitend, beschreitend VS. 25,3 . 6	VS. 25,3;VS. 25, 6
AkramaRa		2	2〉 n. das Beschreiten, Auftreten, Aufsteigen, Aufstieg: AV. 5,30,7 . 13,1,43 . TS. 7,5,8,5 . NIR. 6,17 . R. 2,42,19 . 31,5 . das (feindliche) Betreten des Landes KULL. _zu_ M. 7,207 . mit dem subj. co	AV. 5,30,7;AV 13,1,43;TS. 7,5,8,5;NIR. 6,17;R. 2,42,19;R. 2, 31,5;KULL;M. 7,207;KATHĀS. 18,46;H. an. 3,762
AkramaRa		2	2〉 das Angreifen: KATHĀS. 101,51	KATHĀS. 101,51
Akranda		1a	a〉 AK. 3,4,93	AK. 3,4,93
Akranda		1b	b〉 AK. H. an. 3,327 . MED. d. 21	AK;H. an. 3,327;MED. d. 21
Akranda		1c	c〉 MED	MED
Akranda		1d	d〉 NAIGH. 2,17 . H. 799 . AK. H. an. ( st. zu lesen ). MED. — Eine Stelle im MANU (7,207) hat Veranlassung gegeben, noch andere Bedeutungen aufzustellen. Hier heisst es: bedeutet hier allem Anschein n	NAIGH. 2,17;H. 799;AK;H. an;MED;MANU (7,207);KULL;AK;H. an;MED;DHAR;ŚKDR
Akranda		1	1〉 der natürliche Freund eines im Kriege begriffenen Fürsten; zieht ein Fürst inʼs Feld, so heisst sein unmittelbarer Nachbar, der ihm in den Rücken fällt, ; der unmittelbar an den gränzende Fürst ist	KĀM. NĪTIS. 8,17;KĀM. NĪTIS. 8, 43;KĀM. NĪTIS. 8, 46;M. 7,207;VARĀH. BṚH. S. 16,7;VARĀH. BṚH. S 104,61;VARĀH. BṚH. S 17,6. fgg
Akranda		2	2〉 Freund, Beschützer überh. : adj. ( f. ) keinen Freund —, keinen Beschützer habend: (der Schol. fasst das Wort als loc. und erklärt es durch ) (als Beschützer, als Gatten) MBH. 1,6568 . 3,13859 . De	MBH. 1,6568;MBH 3,13859;MBH. 1,6568;MBH 3,13859;MED
AkroSa		1	1〉 das Anrufen, Erfüllen einer Gegend mit seinem Geschrei: R. 4,9,19	R. 4,9,19
AkroSa		2	2〉 Anfahrung, Schmähung, Beschimpfung, Tadel H. 272 . NIR. 4,2 . P. 6,2,158 . AK. 1,1,5,15 . ( subj. ) R. 2,106,28 . ( obj. ) — YĀJÑ. 2,302 . mit dem obj. comp. : R. 3,59,9 . 4,30 in der Unterschr. YĀ	H. 272;NIR. 4,2;P. 6,2,158;AK. 1,1,5,15;R. 2,106,28;YĀJÑ. 2,302;R. 3,59,9;R. 3, 4,30;YĀJÑ. 2,232
AkroSa		3	3〉 N. pr. eines Fürsten MBH. 2,1188 . Z. f. d. K. d. M. 3,185 . 190	MBH. 2,1188;Z. f. d. K. d. M. 3,185;Z. f. d. K. d. M. 3, 190
AkroSa		1	1〉 s. u	
AkroSa		2	2〉 Spr. 3679	Spr. 3679
AkulIkar		1	1〉 mit Etwas erfüllen: R. 4,41,29	R. 4,41,29
AkulIkar		2	2〉 in Verwirrung bringen: PAÑCAT. V, 25 . KATHĀS. 19,66 . — Davon n. das Verwirren, = P. 7,2,54 , Sch	PAÑCAT. V, 25;KATHĀS. 19,66;P. 7,2,54
Akula		1	1〉 adj. f. AK. 2,8,2,67 . 3,2,21 . 4,192 . TRIK. 3,3,380 . H. 366 . 1472	AK. 2,8,2,67;AK. 2, 3,2,21;AK. 2,8, 4,192;TRIK. 3,3,380;H. 366;H 1472
Akula		1a	a〉 erfüllt, voll überhäuft von Etwas; mit dem instr. : MBH. 2,475 . R. 3,63,4 . (von Pflichten gegen ihn) ŚĀK. 94 . gewöhnlich am Ende eines comp. R. 1,19,11 . 2,46,17 . 50,9 . 3,74,8 . VIŚV. 4,12 . R	MBH. 2,475;R. 3,63,4;ŚĀK. 94;R. 1,19,11;R 2,46,17;R. 2, 50,9;R 3,74,8;VIŚV. 4,12;R. 3,17,18;VIŚV. 6,18;AMAR. 81;BHARTṚ. 2,4;BHARTṚ 3,11;N. 4,18;N 16,11;R. 4,50,14;HIT. 18,11;VID. 107;VID 179;VID 50;KATHĀS. 1,43;PAÑCAT. 9,11;HIT. 42,14;HIT I, 204
Akula		1b	b〉 in Verwirrung oder Unordnung gerathen, aus seinem natürlichen Zustande gebracht, verwirrt ( übertr. ): R. 3,58,45 . 5,54,1 . VIŚV. 5,1 . R. 5,21,15 . ( N. pr. eines Flusses) 2,46,28 . BHAG. 2,1 . M	R. 3,58,45;R 5,54,1;VIŚV. 5,1;R. 5,21,15;R 2,46,28;BHAG. 2,1;MṚCCH. 130,8;MBH. 3,17304;KATHĀS. 12,183;KATHĀS 13,161;R. 1,1,52;R 3,79,1;ŚĀK. 106;ŚUK. 43,18;ŚĀK. 32,2;VID. 29
Akula		2	2〉 [Page1-0589] n. eine mit Menschen angefüllte, eine bewohnte Gegend: R. 3,43,34 . — Wird von abgeleitet, scheint uns aber eher von mit abzustammen. — Vgl	R. 3,43,34
Akula		1	1〉	
Akula		1b	b〉 KATHĀS. 108,44 . wild und ron Spr. 4553	KATHĀS. 108,44;Spr. 4553
Akula		3	3〉 n. Verwirrung: verwirrt KATHĀS. 78,94 . 106,149	KATHĀS. 78,94;KATHĀS 106,149
AkulatA		1	1〉 Fülle, Menge: SĀH. D. 64,13. fgg. BALLANTYNE : perplexity about smoke, etc. — perplexity about dust, etc	SĀH. D. 64,13. fgg;BALLANTYNE
AkulatA		2	2〉 Verwirrung: MBH. 3,401 . mit dem instr. comp. : AMAR. 72	MBH. 3,401;AMAR. 72
AkulatA		1	¦ [ vgl. [Page1-0589]] Das Beispiel u. 1. gehört zu 2	
AkulatA		1	1〉 das Beispiel gehört zu	
AkulatA		2	2〉	
AkulatA		2	2〉 Spr. 632	Spr. 632
Akulatva		1	1〉 Fülle, Menge: MBH. 3,13711	MBH. 3,13711
Akulatva		2	2〉 Verwirrung, Verwirrtheit: KATHĀS. 19,60 . BHARTṚ. 1,17	KATHĀS. 19,60;BHARTṚ. 1,17
Akulatva		2	2〉 ŚIŚ. 9,42	ŚIŚ. 9,42
Akzepa		1	1〉 Ansichreissung, Ansichziehung, Zukkung TRIK. 3,3,274 . H. an. 3,439 . MED. p. 15 . SUŚR. 1,254,2 . KUMĀRAS. 7,95	TRIK. 3,3,274;H. an. 3,439;MED. p. 15;SUŚR. 1,254,2;KUMĀRAS. 7,95
Akzepa		2	2〉 Andeutung: the primary meaningʼs hinting something else ( BALLANTYNE ) SĀH. D. 11,20 . [Page1-0593] Vgl. 12,3 und	BALLANTYNE;SĀH. D. 11,20;SĀH. D 12,3
Akzepa		3	3〉 Anlegung, Auftragung: KUMĀRAS. 7,17	KUMĀRAS. 7,17
Akzepa		4	4〉 Fortwerfung, Aufgebung, das Fahrenlassen: KUMĀRAS. 1,14 . BHARTṚ. 3,29 ( bedeutet hier wohl umgewandelt, umgestimmt, was wir hier wegen des u. 2. mit 3. Gesagten erwähnen)	KUMĀRAS. 1,14;BHARTṚ. 3,29
Akzepa		5	5〉 das Hinausziehen, Aushalten (eines Lautes): ṚV. PRĀT. 3,1	ṚV. PRĀT. 3,1
Akzepa		6	6〉 Schmähung, Verschmähung, Vorwurf AK. 1,1,5,13 . TRIK. 3,2,28 . 3,274 . H. 272 . an. MED. adv. PAÑCAT. 24,12	AK. 1,1,5,13;TRIK. 3,2,28;TRIK. 3, 3,274;H. 272;H an;MED;PAÑCAT. 24,12
Akzepa		7	7〉 Zweifel, Ironie SUŚR. 2,559,5 . = H. an. MED	SUŚR. 2,559,5;H. an;MED
Akzepa		2	2〉 SĀH. D. 315 . 700 . in der Dramatik: DAŚAR. 1,38 . PRATĀPAR. 40,a,3 . SĀH. D. 276,15	SĀH. D. 315;SĀH. D 700;DAŚAR. 1,38;PRATĀPAR. 40,a,3;SĀH. D. 276,15
Akzepa		4	4〉 das Abnehmen —, Entfernen des [Page5-1089] Siegels KATHĀS. 102,134	KATHĀS. 102,134
Akzepa		6	6〉 Spr. 1434 . BHĀG. P. 10,55,17 . harte Worte 12,6,22 . 2079 . verächtlich 2639 . LA. (II) 90,5 . so v. a. mit verächtlichen Seitenblicken BHĀG. P. 10,32,6	Spr. 1434;BHĀG. P. 10,55,17;BHĀG. P 12,6,22;BHĀG. P 2079;BHĀG. P 2639;LA. (II) 90,5;BHĀG. P. 10,32,6
Akzepa		7	7〉 lies: in der Rhetorik Einwurf, Einwendung, eine Erklärung, dass man mit Etwas nicht einverstanden sei, insbes. Berichtigung der eigenen Rede: KĀVYĀD. 2,120 . AGNI-P. beim Schol. zu KĀVYĀD. 2,120 . 	KĀVYĀD. 2,120;AGNI-P;KĀVYĀD. 2,120;KĀVYA-PR. 157,16. fgg;SĀH. D. 714;KUVALAY. 93,a (114,a);PRATĀPAR. 95,b,4
Akzepa		8	8〉 Herausforderung (zum Streit) KATHĀS. 66,65	KATHĀS. 66,65
Akzepaka		1	1〉 adj. schmähend, tadelnd H. an. 4,3 . MED. k. 176	H. an. 4,3;MED. k. 176
Akzepaka		2	2〉 m. Convulsion SUŚR. 1,254,2 ( s. u. 1.). 16 . 357,19 . 2,32,6 . 42,16 . 95,10 . = und H. an. MED	SUŚR. 1,254,2;SUŚR. 1,254, 16;SUŚR. 1, 357,19;SUŚR 2,32,6;SUŚR. 1, 42,16;SUŚR. 1, 95,10;H. an;MED
Akzepya		1	1〉 wogegen man einen Einwurf zu erheben hat, womit man sich nicht einverstanden erklären kann KĀVYĀD. 2,120	KĀVYĀD. 2,120
Akzepya		2	2〉 herauszufordern (zum Spiel, zum Kampf) KATHĀS. 121,90	KATHĀS. 121,90
Akzika		1	1〉 adj	
Akzika		1a	a〉 = oder P. 4,4,2 , Sch. eine durch Würfelspiel entstandene Schuld M. 8,159 . Einsatz beim Würfelspiel WILS	P. 4,4,2;M. 8,159;WILS
Akzika		1b	b〉 = gaṇa zu P. 5,1,50	P. 5,1,50
Akzika		2	2〉 m. Morinda tinctoria , ein kleiner Baum, RATNAM. _im_ ŚKDR. SUŚR. 1,190,3 . Vgl. , 1. am Ende	RATNAM;ŚKDR;SUŚR. 1,190,3
Akzika		7	bereitet: SUŚR. 1,190,3 . f. ein solches Getränk CARAKA 1,27 , v. l. (für ) und MADAN. 8,65	SUŚR. 1,190,3;CARAKA 1,27;MADAN. 8,65
AlAna		1	1〉 n. der Pfosten, an den ein Elephant gebunden wird, AK. 2,8,2,9 . TRIK. 2,8,39 . H. 1230 . MED. n. 39 . R. 5,52,12 . MṚCCH. 20,12 . RAGH. 4,81 . ŚĀNTIŚ. 1,22 . BHARTṚ. 3,82 . Nach NĪLAK. _zu_ AK. be	AK. 2,8,2,9;TRIK. 2,8,39;H. 1230;MED. n. 39;R. 5,52,12;MṚCCH. 20,12;RAGH. 4,81;ŚĀNTIŚ. 1,22;BHARTṚ. 3,82;NĪLAK;AK;RAGH. 4,69;RAGH 1,71;MED. n. 39;RĀJAN;ŚKDR;SIDDH. K. 249,a,9
AlAna		2	2〉 m. N. pr. eines Dieners von Śiva VYĀḌI _zu_ H. 210	VYĀḌI;H. 210
AlAna		1	1〉 (= Schol. ) Spr. 834 . adj. KATHĀS. 52,118 . 72,195 . der Strick, mit dem der Elephant angebunden wird, MĀLAV. 76 . adj. KATHĀS. 112,62	Spr. 834;KATHĀS. 52,118;KATHĀS 72,195;MĀLAV. 76;KATHĀS. 112,62
AlApa		1	1〉 Rede, Gespräch, Mittheilung AK. 1,1,5,16 . H. 274 . AV. 11,8,25 . R. 5,14,10 . ŚĀK. 8,21 . PRAB. 63,9 . 104,11 . PAÑCAT. 46,12 . Sch. zu ŚĀK. 31,7 . (ein Kind) KATHĀS. 17,66 . BRAHMA-P. in LA. 53,1	AK. 1,1,5,16;H. 274;AV. 11,8,25;R. 5,14,10;ŚĀK. 8,21;PRAB. 63,9;PRAB 104,11;PAÑCAT. 46,12;ŚĀK. 31,7;KATHĀS. 17,66;BRAHMA-P. in LA. 53,19;DHŪRTAS. 89,2;HIT. 21,4;HIT 25,17;HIT 26,22;KATHĀS. 19,30;KATHĀS 21,52;VP;SĀH. D. 2,14;AMAR. 97;ŚRUT. 39
AlApa		2	2〉 bei den Mathematikern das Stellen der Frage COLEBR. Alg. 187	COLEBR. Alg. 187
AlApa		1	1〉 Spr. 778 . KATHĀS. 66,20 . 72,245 . Erzählung 54,81 . Unterhaltung 66,116 . 119 . vom Gesange der Vögel: 69,7 . 81,88 . nom. abstr. von 90,48 . Sp. 703, Z. 2 streiche adj. und vgl. Spr. 2628 . — Vg	Spr. 778;KATHĀS. 66,20;KATHĀS 72,245;KATHĀS 54,81;KATHĀS 66,116;KATHĀS. 66, 119;KATHĀS 69,7;KATHĀS 81,88;KATHĀS 90,48;Spr. 2628
AlApin		1	1〉 adj. redend, sprechend: BHARTṚ. 2,44	BHARTṚ. 2,44
AlApin		2	2〉 f. eine aus einem Kürbiss ( oder heisst die Flaschengurke) verfertigte Laute As. Res. 9,453	As. Res. 9,453
AlIQa		1	1〉 adj. s. mit	
AlIQa		2	2〉 m. N. pr. eines Mannes gaṇa zu P. 4,1,123	P. 4,1,123
AlIQa		3	3〉 n. eine bes. Stellung beim Schiessen, bei der das rechte Bein vorgestellt, das linke gebogen wird, AK. 2,8,2,53 . H. 777 . MED. ḍh. 7 . MALLIN. _zu_ KUMĀRAS. 3,70 . RAGH. 3,52	AK. 2,8,2,53;H. 777;MED. ḍh. 7;MALLIN;KUMĀRAS. 3,70;RAGH. 3,52
Ala		1	1〉 n	
Ala		1a	a〉 Laich oder Ausspritzungen giftiger Thiere SUŚR. 2,257,17 . 296,13 . 297,20 . KAUŚ. 51 . Vgl. 1. und	SUŚR. 2,257,17;SUŚR. 2, 296,13;SUŚR. 2, 297,20;KAUŚ. 51
Ala		1b	b〉 gelber Arsenik, Auripigment AK. 2,9,104 . H. 1059 . an. 2,474 . SUŚR. 2,109,12 . 298,4 . 325,16 . Vgl. 2. und	AK. 2,9,104;H. 1059;H an. 2,474;SUŚR. 2,109,12;SUŚR. 2, 298,4;SUŚR. 2, 325,16
Ala		1c	c〉 Verstümmelung von in	
Ala		2	2〉 adj. nicht klein ( ) H. an. Diese Bed. des Wortes hat man in ( s. d. ) gesucht	H. an
Ala		3	3〉 m. N. pr. eines Affen KATHĀS. 57,136	KATHĀS. 57,136
AlaBana		1	1〉 das Anfassen, Berühren BHĀG. P. 10,29,46	BHĀG. P. 10,29,46
AlaBana		2	2〉 das Schlachten (eines Opferthieres) BHĀG. P. 11,5,13	BHĀG. P. 11,5,13
AlamBa		1	1〉 das Anfassen, Ergreifen, Berührung VYUTP. 120 . ĀŚV. GṚHY. 1,15 . M. 2,179 . YĀJÑ. 3,157	VYUTP. 120;ĀŚV. GṚHY. 1,15;M. 2,179;YĀJÑ. 3,157
AlamBa		2	2〉 das Abreissen, Ausreissen (von Pflanzen): M. 11,144	M. 11,144
AlamBa		3	3〉 das Tödten des ergriffenen Thieres AK. 2,8,2,84 . H. 371 . AIT. BR. 2,3 . ŚAT. BR. 3,7,3,4 . 5 . 13,3,8,5 . MBH. 14,2820 . MEGH. 46	AK. 2,8,2,84;H. 371;AIT. BR. 2,3;ŚAT. BR. 3,7,3,4;ŚAT. BR. 3,7,3, 5;ŚAT. BR 13,3,8,5;MBH. 14,2820;MEGH. 46
AlamBa		1	¦ vgl	
AlamBana		1	1〉 das Anfassen, Berühren KĀTY. ŚR. 9,3,19 . 4,9 . 17,3,16 . 18,6,8	KĀTY. ŚR. 9,3,19;KĀTY. ŚR. 9, 4,9;KĀTY. ŚR 17,3,16;KĀTY. ŚR 18,6,8
AlamBana		2	2〉 das Tödten, Schlachten KĀTY. ŚR. 8,8,15 . 20,4,2	KĀTY. ŚR. 8,8,15;KĀTY. ŚR 20,4,2
AlamBana		1	¦ vgl	
Alamba		1	1〉 adj. herabhängend: R. 3,22,17	R. 3,22,17
Alamba		2	2〉 m	
Alamba		2a	a〉 woran Etwas hängt, woran man sich festhält, sich stützt, Stütze (auch übertr. ): ( d. i. ) śikya heisst dass, woran die Last hängt H. 364 . VID. 239 . ŚĀNTIŚ. 3,2 . MBH. 3,1541 . R. 1,44,2 . VIŚV. 	H. 364;VID. 239;ŚĀNTIŚ. 3,2;MBH. 3,1541;R. 1,44,2;VIŚV. 13,23;R. 5,7,58;R 4,63,23;R 3,40,28;VET. 28,12;KATHĀS. 12,175;R. 5,73,6
Alamba		2b	b〉 eine senkrechte Linie WILS. Vgl	WILS
Alamba		2c	c〉 N. pr. eines Muni MBH. 2,109	MBH. 2,109
Alamba		3	3〉 f. N. einer Pflanze mit giftigem Blatte SUŚR. 2,251,16	SUŚR. 2,251,16
Alamba		2	2〉	
Alamba		2a	a〉 RĀJA-TAR. 5,310 . Spr. 2158 . KATHĀS. 67,106 . so v. a. Wüstheit des Kopfes SĀH. D. 222 . — Vgl	RĀJA-TAR. 5,310;Spr. 2158;KATHĀS. 67,106;SĀH. D. 222
Alambana		1	1〉 das sich — auf — Etwas — Stützen P. 8,3,68	P. 8,3,68
Alambana		2	2〉 das Stützen, Erhalten: MEGH. 4	MEGH. 4
Alambana		3	3〉 Stütze, Haltpunkt: R. 5,3,64 . ( ) PAÑCAT. I, 34 . übertr. Fundament, Grundlage KAṬHOP. 2,17 . Grund, Veranlassung: PRAB. 71,7 ( Sch. 1: = ). In der Rhetorik ist der eigentliche Grund der Gefühlser	R. 5,3,64;PAÑCAT. I, 34;KAṬHOP. 2,17;PRAB. 71,7;SĀH. D. 32,7;SĀH. D. 32, 9;SĀH. D 29,6;SĀH. D 61,18;SĀH. D 76,22;VP. 653;WILS;BURN. Intr. 449
Alambana		3	3〉 Verz. d. Oxf. H. 229,a,28 . 17. fgg. f. so v. a. Wüstheit des Kopfes SĀH. D. 222 . Ueber die bei den Buddhisten vgl. SARVADARŚANAS. 20,3. fgg. — Vgl	Verz. d. Oxf. H. 229,a,28;Verz. d. Oxf. H 17. fgg;SĀH. D. 222;SARVADARŚANAS. 20,3. fgg
Alambin	1	1	1〉 an Etwas hängend, sich auf Etwas stützend: ( d. i. ) AK. 2,10,30 . ( ) PAÑCAT. I, 160 . RAGH. 12,85	AK. 2,10,30;PAÑCAT. I, 160;RAGH. 12,85
Alambin	1	2	2〉 umhüllt: ( ) KUMĀRAS. 5,78	KUMĀRAS. 5,78
Alambin	1	3	3〉 abhängend von: (von Wolken, die durch den Wind getrieben werden) MBH. 3,9924	MBH. 3,9924
Alambin	1	4	4〉 von dem Etwas abhängt, eine Stütze seiend, unterstützend: HIT. Pr. 19	HIT. Pr. 19
Alambin	1	1	1〉 KATHĀS. 65,195 . herabhängend ṚT. 6,24	KATHĀS. 65,195;ṚT. 6,24
AleKana		1	1〉 adj. kratzend, scharrend; malend	
AleKana		2	2〉 m. N. pr. eines Lehrers in Ritualsachen ĀŚV. ŚR. 6,10 . Davon patron. [Page1-0705] gaṇa zu P. 4,1,112	ĀŚV. ŚR. 6,10;P. 4,1,112
AleKana		3	3〉 f. Pinsel WILS	WILS
AleKana		4	4〉 n. das Kratzen, Scharren P. 6,1,142 . Sch	P. 6,1,142
Ali	1	1	1〉 Scorpion H. 1211 . Ind. St. 2,260	H. 1211;Ind. St. 2,260
Ali	1	2	2〉 Biene Sch. zu AK. und angeblich HĀR. ŚKDR. — Vgl	AK;HĀR;ŚKDR
Ali	1	2	2〉 hierher stellt BENFEY PAÑCAT. I, 203 , wo aber anzunehmen ist	BENFEY;PAÑCAT. I, 203
Ali	2	1	1〉 Freundin eines Frauenzimmers AK. 2,6,1,12 . 3,4,200 . TRIK. 3,3,381 . H. 529 . an. 2,475 . MED. l. 3 . Die von den Schol. zu AK. aufgeführte Form erscheint KUMĀRAS. 5,83 . SĀH. D. 71,11 . AMAR. 23 	AK. 2,6,1,12;AK. 2, 3,4,200;TRIK. 3,3,381;H. 529;H an. 2,475;MED. l. 3;AK;KUMĀRAS. 5,83;SĀH. D. 71,11;AMAR. 23
Ali	2	2	2〉 Streifen, Strich, Linie, Zug AK. 2,4,1,4 . 3,4,200 . H. 1423 . H. an. MED. die Linie, die eine Strasse bildet, AMAR. 89 . ( acc. pl. ) PRAB. 101,17 . mit der Länge: PAÑCAT. 203,6 . KUMĀRAS. 6,49 . 	AK. 2,4,1,4;AK. 2, 3,4,200;H. 1423;H. an;MED;AMAR. 89;PRAB. 101,17;PAÑCAT. 203,6;KUMĀRAS. 6,49;MEGH. 79
Ali	2	3	3〉 Damm AK. 2,1,14 . TRIK. 3,3,381 . H. 965 . H. an. MED	AK. 2,1,14;TRIK. 3,3,381;H. 965;H. an;MED
Ali	2	4	4〉 kleiner Graben VYUTP. 102	VYUTP. 102
Ali	2	5	5〉 Verwandtschaftsreihe, Reihenfolge in der Abstammung ŚABDAR. _im_ ŚKDR	ŚABDAR;ŚKDR
Ali	2	1	1〉 HALĀY. 2,332	HALĀY. 2,332
Ali	2	2	2〉 Spr. 4965 . HALĀY. 4,36	Spr. 4965;HALĀY. 4,36
Ali	2	3	3〉 HALĀY. 3,54	HALĀY. 3,54
Ali	3	1	1〉 unnütz, zwecklos ( ) H. an. 2,475	H. an. 2,475
Ali	3	2	2〉 von lauterer Gesinnungsweise ( ) H. an. MED. l. 2	H. an;MED. l. 2
AliNga		1	1〉 Umarmung DAŚAK. _in_ BENF. Chr. 201,14	DAŚAK;BENF. Chr. 201,14
AliNga		2	2〉 = m. Trommel Sch. zu AK. 1,1,7,5	AK. 1,1,7,5
AliNgya		1	1〉 adj. zu umfassen	
AliNgya		2	2〉 m	
AliNgya		2a	a〉 eine bes. Art Trommel AK. 1,1,7,5 . H. 293 , Sch. ŚABDĀRṆ. _im_ ŚKDR. R. 5,13,47 . Vgl. und	AK. 1,1,7,5;H. 293;ŚABDĀRṆ;ŚKDR;R. 5,13,47
AliNgya		2b	b〉 N. pr. gaṇa zu P. 4,2,82	P. 4,2,82
Alocana		1	1〉 das Sehen: P. 8,1,25 . 3,2,60 . das Wahrnehmen (der Sinnesorgane): [Page1-0706] SĀṂKHYAK. 28	P. 8,1,25;P 3,2,60;SĀṂKHYAK. 28
Alocana		2	2〉 das Erwägen, Ueberlegen: H. 741 . auch f. R. 5,14,38 :	H. 741;R. 5,14,38
Aloka		1	1〉 das Sehen, Blicken, Hinsehen, Ansehen, Erblicken, Anblick AK. 3,4,3 . 3,3,31 , v. l. H. an. 3,7 . MED. k. 47 . ŚĀNTIŚ. 4,6 . MṚCCH. 14,13 . KUMĀRAS. 7,46 . dessen Anblick reinigt KATHĀS. 10,204 . Ś	AK. 3,4,3;AK 3,3,31;H. an. 3,7;MED. k. 47;ŚĀNTIŚ. 4,6;MṚCCH. 14,13;KUMĀRAS. 7,46;KATHĀS. 10,204;ŚĀK. 9;MEGH. 38;MEGH 83;VIKR. 109;YĀJÑ. 3,141;YĀJÑ. 3, 157;ŚĀK. 32;RAGH. 1,84;MEGH. 3;KATHĀS. 18,15;SĀH. D. 70,21;RAGH. 7,6;KUMĀRAS. 7,57;RAGH 15,78;VIKR. 11;VIKR 109
Aloka		2	2〉 Licht, heller Schein, Schein AK. 3,4,3 . H. 101 . H. an. MED. R. 4,50,25 . 51,23 . MBH. 1,5438 . 3,817 . nicht einmal einen Schimmer, eine Spur von Rāma R. 2,47,2 . MBH. 1,1475 . 29	AK. 3,4,3;H. 101;H. an;MED;R. 4,50,25;R. 4, 51,23;MBH. 1,5438;MBH 3,817;R. 2,47,2;MBH. 1,1475;MBH. 1, 29
Aloka		3	3〉 Lobpreis, Schmeichelei H. an. MED. HĀR. 149 . RAGH. 2,9	H. an;MED;HĀR. 149;RAGH. 2,9
Aloka		4	4〉 Abschnitt, Kapitel Verz. d. B. H. No. 819 . 823	Verz. d. B. H. No. 819;Verz. d. B. H. No 823
Aloka		1	1〉 KATHĀS. 104 . 83	KATHĀS. 104;KATHĀS 83
Aloka		1	1〉	
Aloka		2	2〉 Spr. 3937	Spr. 3937
Aloka		2	2〉 KATHĀS. 73,281 . 75,50 . 91,57 . DAŚAK. _in_ BENF. Chr. 186,15 . Spr. 3582 . (ein brennendes Licht) MBH. 13,2947 . dass. 4677 . 4726 . Verz. d. Oxf. H. 230,b,27. fgg. in dunklen Welten MBH. 13,3261	KATHĀS. 73,281;KATHĀS 75,50;KATHĀS 91,57;DAŚAK;BENF. Chr. 186,15;Spr. 3582;MBH. 13,2947;MBH. 13, 4677;MBH. 13, 4726;Verz. d. Oxf. H. 230,b,27. fgg;MBH. 13,3261;NĪLAK;VARĀH. BṚH. S. 106,1
Aloka		5	5〉 Titel eines Werkes, = HALL 38 . — Vgl	HALL 38
AlokanIya		1	1〉 sichtbar; davon nom. abstr. KUMĀRAS. 2,24 :	KUMĀRAS. 2,24
AlokanIya		2	2〉 in Erwägung zu ziehen, zu beachten R. 4,44,36	R. 4,44,36
Alu		1	1〉 m	
Alu		1a	a〉 Eule ŚABDAR. _im_ ŚKDR	ŚABDAR;ŚKDR
Alu		1b	b〉 eine Art Ebenholz ( ) RĀJAN. _im_ ŚKDR. Vgl. schwarzes Ebenholz	RĀJAN;ŚKDR
