k1	hom	homonym_precise	deriv_base	deriv_suffix	deriv_class	deriv_citation	panini_sutras	compound_members_pwg	compound_status	ganas	gana_sutras	gana_corroborated
jYAtaka		1	jYAta	ka	уменьш./собират.	P. 5,4,29	P.5.4.29					
jYAtanandana		1						jYAta + nandana	agrees			
jYAtala							P.4.1.123			SuBrAdiH	4.1.123	1
jYAtikArya		1						jYAti + kArya	agrees			
jYAtitva		1	jYAti	tva	абстракт	M. 11,172			index-only			
jYAtiputra		1					P.6.2.133	jYAti + putra	agrees			
jYAtiBeda		1						jYAti + Beda	agrees			
jYAtimuKa		1						jYAti + muKa	agrees			
jYAtivid		1						jYAti + vid	agrees			
jYAteya		1	jYAti	eya	относит./vṛddhi	P. 5,1,127	P.5.1.127					
jYAna							P.1.1.9|P.2.2.10|P.2.9.30|P.4.1.54					
jYAnakIrti		1						jYAna + kIrti	agrees			
jYAnaketu		1						jYAna + ketu	agrees			
jYAnagamya		1						jYAna + gamya	agrees			
jYAnagarBa		1						jYAna + garBa	agrees			
jYAnacakzus		1						jYAna + cakzus	agrees			
jYAnadatta		1						jYAna + datta	agrees			
jYAnapati		1					P.4.1.84	jYAna + pati	agrees	aSvapatyAdiH	4.1.84	1
jYAnapraBa		1						jYAna + praBA	differs			
jYAnamaya		1	jYAna	maya	материал	MUṆḌ. UP. 1,1,9	P.2.4.24		index-only			
jYAnameru		1						jYAna + meru	agrees			
jYAnarAja		1						jYAna + rAja	agrees			
jYAnavajra		1						jYAna + vajra	agrees			
jYAnavant							P.8.2.9					
jYAnavApI		1						jYAna + vApI	agrees			
jYAnaSAstra		1						jYAna + SAstra	agrees			
jYAnahastika		1						jYAna + hasta	pwg-new-fill			
jYAnAkara		1						jYAna + Akara	pwg-new-fill			
jYAnAnanda		1						jYAna + Ananda	pwg-new-fill			
jYAnAmfta		1						jYAna + amfta	pwg-new-fill			
jYAnArRava		1						jYAna + arRava	pwg-new-fill			
jYAnAvaraRIya		1						jYAna + AvaraRa	pwg-new-fill			
jYAnin		1	jYAna	in	поссессив	VOP. 7,30	P.7.15.9					
jYAnendriya		1						jYAna + indriya	pwg-new-fill			
jYAnolkA		1						jYAna + ulkA	pwg-new-fill			
jYApaka							P.1.1.27|P.2.4.66|P.5.1.20|P.6.2.154|P.9.6.10					
jYApana							P.2.1.67|P.2.4.66|P.5.1.9					
jYikA							P.7.3.47					
jYubAD		1						jYu + bAD	agrees			
jYeya							P.6.16.63					
jYeyajYa		1						jYeya + jYa	agrees			
jYeyatA		1	jYeya	tA	абстракт	KAP. 1,96			index-only			
jmayA		1						jman + yA	pwg-new-fill			
jya							P.3.2.3					
jyA	2						P.6.1|P.6.1.16|P.6.1.42|P.8.2.44					
jyA	3						P.6.1|P.6.1.16|P.6.1.42|P.8.2.44					
jyA	4						P.6.1|P.6.1.16|P.6.1.42|P.8.2.44					
jyAkAra		1						jyA + kAra	agrees			
jyAGoza		1						jyA + Goza	agrees			
jyAni							P.3.3.95					
jyApASa		1						jyA + pASa	agrees			
jyAmaGa		1					P.9.23.33	jyA + maGa	agrees			
jyAyaMs							P.2.7.17|P.5.3|P.5.3.61|P.6.2.25					
jyArDa		1						jyA + arDa	pwg-new-fill			
jyAvAja		1						jyA + vAja	agrees			
jyAvAReya		1					P.5.3.117	jyA + vARa	pwg-new-fill	yODeyAdiH	4.1.178|5.3.117	1
jyAhroqa		1						jyA + hroqa	agrees			
jyezWa							P.1.17.32|P.4.1.4|P.5.3.61|P.5.3.62|P.5.23.6|P.6.2.25|P.33.13					
jyezWaGnI		1						jyezWa + GnI	agrees			
jyezWatama		1	jyezWa	tama	сравнение	ṚV. 2,16,1			index-only			
jyezWatara		1	jyezWa	tara	сравнение	PAÑCAT. 243,18			index-only			
jyezWatas		1	jyezWa	tas	адверб	AV. 11,3,32			index-only			
jyezWatAta		1						jyezWa + tAta	agrees			
jyezWatAti							P.5.4.61		index-only			
jyezWapAla		1						jyezWa + pAla	agrees			
jyezWabalA		1						jyezWa + balA	agrees			
jyezWarAj		1						jyezWa + rAj	agrees			
jyezWavarRa		1						jyezWa + varRa	agrees			
jyezWavftti		1						jyezWa + vftti	agrees			
jyezWaSvaSrU		1						jyezWa + SvaSrU	agrees			
jyezWasAman		1						jyezWa + sAman	agrees			
jyezWastoma		1						jyezWa + stoma	agrees			
jyezWasTAna		1						jyezWa + sTAna	agrees			
jyezWAmUla		1						jyezWA + mUla	agrees			
jyezWAmbu		1						jyezWa + ambu	pwg-new-fill			
jyezWASrama		1						jyezWa + ASrama	pwg-new-fill			
jyezWASramin		1	jyezWASrama	in	поссессив	TRIK. 2,7,2						
jyezWeSvara		1						jyezWa + ISvara	pwg-new-fill			
jyEzWineya							P.4.1.126					
jyEzWya		1	jyezWa	ya	относит./vṛddhi	ṚV. 1,5,6	P.6.7.33					
jyok							P.1.1.37			svarAdiH	1.1.37	1
jyogjIvAtu		1						jyok + jIvAtu	differs			
jyotiragra		1						jyotis + agra	differs			
jyotiranIka		1						jyotis + anIka	differs			
jyotiriNga		1						jyotis + iNga	differs			
jyotirISa		1						jyotis + ISa	differs			
jyotirjYa		1						jyotis + jYa	differs			
jyotirDAman							P.8.1.28		index-only			
jyotirmaya							P.5.1.30		index-only			
jyotirmuKa		1						jyotis + muKa	differs			
jyotirliNga		1						jyotis + liNga	differs			
jyotirloka		1					P.5.23.8	jyotis + loka	differs			
jyotirvid	1	1						jyotis + vid	differs			
jyotirvid	2	1						jyotis + vid	differs			
jyotirvidyA		1						jyotis + vidyA	differs			
jyotirvIja		1						jyotis + vIja	pwg-new-fill			
jyotirhastA		1						jyotis + hasta	differs			
jyotiScakra		1						jyotis + cakra	differs			
jyotiHSAstra		1						jyotis + SAstra	differs			
jyotiza							P.4.2.60			ukTAdiH	4.2.60	1
jyotizkaRa		1						jyotis + kaRa	differs			
jyotizkara		1						jyotis + kara	differs			
jyotizkft		1						jyotis + kft	differs			
jyotizwoma		1					P.8.3.83	jyotis + stoma	differs			
jyotizwva							P.11.3.13		index-only			
jyotizpakza		1						jyotis + pakza	differs			
jyotizpraBa		1						jyotis + praBA	differs			
jyotizmant							P.5.20.4					
jyotis							P.1.3.40|P.3.5.33|P.9.3|P.9.3.3					
jyotIrata		1						jyotis + rata	pwg-new-fill			
jyotIraTa		1						jyotis + raTa	differs			
jyotIrasa		1						jyotis + rasa	differs			
jyotsnA							P.3.20.39|P.3.28.21|P.4.28.34|P.5.2.114			jyotsnAdiH	5.2.103	
jyotsnAvant							P.4.21.26					
jyotsneSa		1						jyotsnA + ISa	pwg-new-fill			
jyOtizika							P.4.2.60					
jyOtsna							P.5.2.103					
jramB							P.1.6.16|P.3.9.25|P.4.21.8|P.5.24.16					
jvara							P.6.1.203|P.7.8.35|P.10.63.22			tArakAdiH	5.2.36	
jvaraGna		1						jvara + Gna	agrees			
jvarANkuSa		1						jvara + aNkuSa	pwg-new-fill			
jvarANgI		1						jvara + aNga	pwg-new-fill			
jvarAntaka		1						jvara + antaka	pwg-new-fill			
jvarApaha		1						jvara + apaha	pwg-new-fill			
jvarita							P.5.2.36					
jvala							P.3.1.140					
jvalana							P.3.2.150					
jvalanASman		1						jvalana + aSman	pwg-new-fill			
jvalamuKI		1						jvala + muKa	differs			
jvAla							P.3.1.140					
jvAlAjihva		1						jvAlA + jihvA	differs			
jvAlADvaja		1						jvAlA + Dvaja	agrees			
jvAlAmuKa		1						jvAlA + muKa	agrees			
jvAlAvaktra		1						jvAlA + vaktra	agrees			
JaMkAra							P.8.8.43					
Jawiti							P.1.1.37|P.6.1.98			svarAdiH	1.1.37	1
JampASin		1						Jampa + ASin	pwg-new-fill			
Jampin		1	Jampa	in	поссессив	ŚABDAR.						
JarJara							P.4.1.41|P.4.4.56					
JarJarin		1	JarJara	in	поссессив	MBH. 12,10406						
Jaza							P.5.18.13					
JazASana		1						Jaza + aSana	pwg-new-fill			
JazodarI		1						Jaza + udara	pwg-new-fill			
JArJara							P.4.4.56					
JillI							P.5.13.5					
wakkadeSa		1						wakka + deSa	agrees			
wakkadeSIya		1	wakkadeSa	Iya	относит./vṛddhi	TRIK. 2,4,30			index-only			
waNka							P.8.10.45|P.10.67.25					
waNkapati		1						waNka + pati	agrees			
waMkAra							P.3.17.9					
wAMkfta		1						wAm + kfta	pwg-new-fill			
weraka		1						wera + akza	pwg-new-fill			
wowa							P.4.1.41			gOrAdiH	4.1.41	1
Wa										kaqArAdiH	2.2.38	
WakAra							P.8.4.54		index-only			
qamaruka							P.12.10.12					
qamb							P.7.10.69|P.10.14.37					
qavitTa							P.1.2.45					
qAkinI							P.4.2.51|P.8.108|P.10.6.27					
qitTa							P.1.2.45					
qimBacakra		1						qimBa + cakra	agrees			
qI							P.7.2.10|P.7.2.14|P.8.4.54|P.8.4.59					
ta	1						P.1.1.27|P.6.2.162|P.7.7.23					
ta	2						P.1.1.27|P.6.2.162|P.7.7.23					
takra							P.7.3.53|P.18.4			kzipakAdiH	7.3.45	
takrasAra		1						takra + sAra	agrees			
takrAwa		1						takra + awa	pwg-new-fill			
takvavI		1						takvan + vI	pwg-new-fill			
takvavIya		1	takvavI	Iya	относит./vṛddhi	ṚV. 1,134,5						
takz	2						P.3.1.76|P.3.4.7|P.7.1.39|P.7.2.7|P.7.4.93					
takza							P.9.11.12|P.9.24.42					
takzaka							P.1.12.27|P.9.12.8					
takzakIyA							P.4.2.91					
takzan							P.2.4.10|P.4.1.41|P.6.4.9			SivAdiH|gOrAdiH|kurvAdiH|pIlvAdiH	4.1.112|4.1.151|4.1.41|6.3.121	1
takzaSilA							P.4.2.82|P.4.3.93		index-only	maDvAdiH|takzaSilAdiH|varaRAdiH	4.2.82|4.2.86|4.3.93	1
takzaSilAvatI							P.4.2.86		index-only			
tagaqavallI		1						tagara + vallI	pwg-new-fill			
tagara										kisarAdiH	4.4.53	
tagarika							P.4.4.53					
tacCIla		1					P.3.2.134	tad + SIla	differs			
tajjYa		1					P.3.11.20	tad + jYa	differs			
tawa							P.1.4.27|P.2.1.66|P.3.15.20|P.3.15.22			puzkarAdiH	5.2.135	
tawasTa		1						tawa + sTa	agrees			
tawAka							P.2.4.31			arDarcAdiH	2.4.31	1
tawinI							P.5.2.135					
taqAkin		1	taqAka	in	поссессив	MBH. 3,16088						
taqAga							P.2.4.31			arDarcAdiH	2.4.31	1
taqAGAta		1						tAqa + AGAta	pwg-new-fill			
taqit							P.1.6.28					
taqitkumAra		1						taqit + kumAra	agrees			
taqitpraBA		1						taqit + praBA	agrees			
taqidgarBa		1						taqit + garBa	differs			
taRqa							P.4.1.105|P.6.2.37			gargAdiH	4.1.105	1
taRqaka							P.2.4.31			arDarcAdiH	2.4.31	1
taRqula							P.2.2.31|P.2.4.31|P.4.9.57|P.10.45.36			apUpAdiH|arDarcAdiH	2.4.31|5.1.4	1
taRqulAmbu		1						taRqula + ambu	pwg-new-fill			
taRqulIya		1	taRqula	Iya	относит./vṛddhi	P. 5,1,4	P.5.1.4					
taRqulotTa		1						taRqula + utTa	pwg-new-fill			
taRqulodaka		1						taRqula + udaka	pwg-new-fill			
taRqulOGa		1						taRqula + oGa	pwg-new-fill			
tat										cAdiH	1.4.57	
tata	1						P.6.9.40|P.9.4.1|P.10.83.9					
tata	2						P.6.9.40|P.9.4.1|P.10.83.9					
tatapattrI		1						tata + pattra	differs			
tatama		1	ta	tama	сравнение	P. 5,3,93	P.5.3.93|P.10.36.28		index-only			
tatara							P.5.3.92		index-only			
tatas							P.3.3.140|P.3.4.24|P.3.17|P.5.3|P.5.3.7|P.5.20.2|P.6.4.159|P.7.2.10|P.7.15.33		index-only			
tatastya							P.4.2.104		index-only			
tatAmaha		1					P.6.9.40	tata + maha	pwg-new-fill			
tati	2						P.1.1|P.1.1.23|P.6.4.37					
taturi							P.3.2.171					
tatoBavant		1					P.5.3.14	tatas + Bavant	pwg-new-fill			
tatkara		1					P.3.2.21	tad + kara	differs			
tatkAla		1						tad + kAla	differs	kASyAdiH	4.2.116	
tatkAlaDI		1						tatkAla + DI	differs			
tatkriya		1						tad + kriyA	differs			
tatkzaRa		1						tad + kzaRa	differs			
tattva							P.1.2.11|P.3.5|P.3.5.27|P.3.6|P.3.6.2|P.11.22.1|P.21.37		index-only			
tattvatA		1	tattva	tA	абстракт	WASSILJEW 272			index-only			
tattvadarSa							P.8.13.32		index-only			
tatpada		1						tad + pada	differs			
tatpara		1					P.4.15.6|P.6.2.66|P.23.61	tad + para	differs			
tatpuruza							P.2.1.22		index-only			
tatpUrva		1					P.6.2.162	tad + pUrva	differs			
tatpraBAte		1						tad + praBAte	differs			
tatPala		1						tad + Pala	differs			
tatra							P.1.1.3|P.2.1.46|P.4.16.21|P.5.3.10			cAdiH|kzipakAdiH	1.4.57|7.3.45	
tatratya							P.3.31.6|P.4.2.104		index-only			
tatraBavant							P.5.3.14					
tatsADukArin							P.3.2.134		index-only			
tatsTa		1					P.2.2.8|P.4.2.134	tad + sTa	differs			
taTA							P.1.1.37|P.1.2.32|P.5.3.26|P.5.18.4			cAdiH	1.4.57	
taTAkAram		1					P.3.4.28	taTA + kar	differs			
taTAkratu		1						taTA + kratu	agrees			
taTAgata		1						taTA + gata	agrees			
taTAguRa		1						taTA + guRa	agrees			
taTAtA		1	taTA	tA	абстракт	VYUTP. 54			index-only			
taTABUta		1					P.8.4.68	taTA + BUta	agrees			
taTAmuKa		1						taTA + muKa	agrees			
taTAyata		1						taTA + Ayata	pwg-new-fill			
taTArAja		1						taTA + rAja	agrees			
taTArUpa		1					P.23.68	taTA + rUpa	agrees			
taTAviDa		1						taTA + viDA	differs			
taTAvrata		1						taTA + vrata	agrees			
taTASIla		1						taTA + SIla	agrees			
taTAsvara		1						taTA + svara	agrees			
taTya		1	taTA	ya	относит./vṛddhi	AK. 1,1,5,22	P.8.11.11					
tad										AdyAdiH|sarvAdiH	1.1.27|5.4.44	
tada							P.5.4.107					
tadanta		1						tad + anta	agrees			
tadanna		1						tad + anna	agrees			
tadarTa		1					P.2.1.36	tad + arTa	agrees	caturvedAdiH	5.1.124	
tadarTam		1					P.1.3.72|P.5.1.12	tad + arTam	agrees			
tadarTIya		1						tad + arTa	differs			
tadarha		1						tad + arha	agrees			
tadA							P.1.18.6|P.3.3.139|P.5.3|P.5.3.15					
tadAtva		1	tadA	tva	абстракт	AK. 2,8,1,29			index-only			
tadAnIm							P.5.3.19|P.5.8.26					
tadIya		1	tad	Iya	относит./vṛddhi	P. 1,1,74	P.1.1.74|P.2.7.35|P.8.20.33					
tadokas		1						tad + okas	agrees			
tadojas		1						tad + ojas	agrees			
tadgata		1						tad + gata	agrees			
tadguRa		1						tad + guRa	agrees			
taddina		1						tad + dina	agrees			
tadDana		1						tad + Dana	agrees			
tadDarman		1					P.3.2.134	tad + Darman	agrees			
tadDarmin		1					P.3.15.32	tad + Darma	differs			
tadDita		1					P.2.9.7|P.4.1|P.4.1.76|P.4.4.65	tad + hita	differs			
tadbala		1						tad + bala	agrees			
tadBAva		1					P.3.1.12	tad + BAva	agrees			
tadrAja		1					P.4.1.174	tad + rAja	agrees	pElAdiH	2.4.59	
tadrUpa		1					P.7.3.86	tad + rUpa	agrees			
tadryaYc		1					P.6.3.92	tad + aYc	pwg-new-fill			
tadvat		1	tad	vat	поссессив	BHĀG. P. 8,3,31	P.8.3.31		index-only			
tadvattA		1	tadvat	tA	абстракт	VEDĀNTAS. (Allah.) No. 4			index-only			
tadvant							P.4.4.125					
tadvaSa		1						tad + vaSa	agrees			
tadvid		1					P.5.4.13|P.7.2.10	tad + vid	agrees			
tadviDa		1						tad + viDA	differs			
tan	1						P.1.1.37|P.1.3.38|P.1.8.6|P.1.11.11|P.1.17.34|P.1.18.37|P.2.3.8|P.2.4.79|P.3.9.31|P.4.2.22|P.4.7.16|P.4.12|P.4.13.8|P.5.11.4|P.5.16.7|P.5.20.37|P.5.24.22|P.6.1.144|P.6.4|P.6.4.17|P.6.4.38|P.6.4.44|P.6.4.99|P.6.4.106|P.7.2.64|P.7.10.2|P.7.10.12|P.8.13.36|P.8.23.14|P.9.3.14|P.10.73.22|P.11.2.24|P.12.3.14|P.15.41					
tan	2						P.1.1.37|P.1.3.38|P.1.8.6|P.1.11.11|P.1.17.34|P.1.18.37|P.2.3.8|P.2.4.79|P.3.9.31|P.4.2.22|P.4.7.16|P.4.12|P.4.13.8|P.5.11.4|P.5.16.7|P.5.20.37|P.5.24.22|P.6.1.144|P.6.4|P.6.4.17|P.6.4.38|P.6.4.44|P.6.4.99|P.6.4.106|P.7.2.64|P.7.10.2|P.7.10.12|P.8.13.36|P.8.23.14|P.9.3.14|P.10.73.22|P.11.2.24|P.12.3.14|P.15.41					
tanaya							P.1.16.2|P.6.3.34					
tanayIkfta		1						tanaya + kfta	pwg-new-fill			
taniman							P.5.1.122					
tanu							P.1.13.4|P.2.2.38|P.3.8.13|P.3.12.28|P.3.12.33|P.3.16.22|P.6.4.77|P.56.4			gargAdiH|kaqArAdiH|svargAdiH	2.2.38|4.1.105|5.1.111	1
tanuka		1	tanu	ka	уменьш./собират.	P. 5,4,29	P.5.4.29					
tanukUpa		1						tanu + kUpa	agrees			
tanukzIra		1						tanu + kzIra	agrees			
tanugfha		1						tanu + gfha	agrees			
tanucCada		1					P.6.4.96	tanu + Cada	differs			
tanucCAya		1						tanu + CAyA	differs			
tanuja		1					P.5.9.6	tanu + ja	agrees			
tanutA		1	tanu	tA	абстракт	R. 5,19,22			index-only			
tanutyaj		1					P.8.20.9	tanu + tyaj	agrees			
tanutyAga	1	1						tanu + tyAga	agrees			
tanutyAga	2							tanu + tyAga	agrees			
tanutra							P.8.10.36		index-only			
tanutrARa		1						tanu + trARa	agrees			
tanutva		1	tanu	tva	абстракт	MBH. 13,541			index-only			
tanutvacA		1						tanu + tvacA	pwg-new-fill			
tanupattra		1						tanu + pattra	agrees			
tanuBava		1						tanu + Bava	agrees			
tanuBAva		1						tanu + BAva	agrees			
tanuBUmi		1						tanu + BUmi	agrees			
tanuBft		1					P.4.1.28	tanu + Bft	agrees			
tanumaDya		1						tanu + maDya	agrees			
tanurasa		1						tanu + rasa	agrees			
tanuvAta		1						tanu + vAta	agrees			
tanuvraRa		1						tanu + vraRa	agrees			
tanuSiras		1						tanu + Siras	agrees			
tanUkaraRa							P.3.1.76		index-only			
tanUkft		1						tanU + kft	agrees			
tanUja		1					P.6.14.57	tanU + ja	agrees			
tanUjani		1						tanU + jani	agrees			
tanUjANga		1						tanUja + aNga	pwg-new-fill			
tanUtala		1						tanU + tala	agrees			
tanUtyaj		1						tanU + tyaj	agrees			
tanUdUzi		1						tanU + dUzi	agrees			
tanUdeSa		1					P.7.13.12	tanU + deSa	agrees			
tanUdBava		1						tanu + udBava	pwg-new-fill			
tanUnapa		1						tanUnapa + ad	differs			
tanUnapAt							P.6.2.140		index-only	vanaspatyAdiH	6.2.140	1
tanUpA		1						tanU + pA	agrees			
tanUpAna		1						tanU + pAna	agrees			
tanUpfzWa		1						tanU + pfzWa	agrees			
tanUbala		1						tanU + bala	agrees			
tanUruc		1						tanU + ruc	agrees			
tanUruha		1					P.2.1.33|P.7.8.22|P.29.7	tanU + ruha	agrees			
tanUrja		1						tanu + Urja	pwg-new-fill			
tanUSuBra		1						tanU + SuBra	agrees			
tanti							P.3.3.174|P.6.4.39|P.7.2.52					
tantipAla		1					P.6.2.78	tanti + pAla	agrees			
tantu							P.1.8.14|P.1.12.15|P.2.3.8|P.4.1.105|P.6.13.15|P.8.13.36|P.9.9.7			gargAdiH	4.1.105	1
tantuka		1	tantu	ka	уменьш./собират.	BHARTṚ. 1,95						
tantukAzWa		1						tantu + kAzWa	agrees			
tantuparvan		1						tantu + parvan	agrees			
tantuBa		1						tantu + BA	differs			
tantuvAna		1						tantu + vAna	agrees			
tantuvAya		1					P.2.4.10|P.3.2.2|P.6.2.76|P.6.2.77	tantu + vAya	agrees			
tantuvigrahA		1						tantu + vigraha	differs			
tantuSAlA		1						tantu + SAlA	agrees			
tantusAra		1						tantu + sAra	agrees			
tantra							P.1.6.39|P.1.9.17|P.1.16.35|P.2.6.25|P.3.1.44|P.3.5.47|P.3.7.30|P.3.15.8|P.3.21.21|P.3.30.10|P.3.33.5|P.4.24.62|P.5.2.70|P.5.4.159|P.7.2.9|P.9.21.26|P.10.54.15|P.23.59|P.28.2|P.45.29					
tantraka		1	tantra	ka	уменьш./собират.	P. 5,2,70	P.5.2.70					
tantratA		1	tantra	tA	абстракт	ĀŚV. ŚR. 11,1			index-only			
tantravApa		1						tantra + vApa	agrees			
tantravAya		1						tantra + vAya	agrees			
tantrasAra		1						tantra + sAra	agrees			
tantrita							P.34.92					
tantrin		1	tantra	in	поссессив	RĀJA-TAR. 5,248						
tantvagra		1					P.4.2.138	tantu + agra	differs	gahAdiH	4.2.138	1
tanTI							P.1.4.61			UryAdiH	1.4.61	1
tandra	1						P.8.22.32					
tandra	2						P.8.22.32					
tandrAlu							P.3.2.158					
tandri							P.3.9.29|P.3.20.40					
tanmaya							P.7.4.40|P.42.8		index-only			
tanmayatA		1	tanmaya	tA	абстракт	BHĀG. P. 1,2,2	P.1.2.2		index-only			
tanmAtra		1					P.3.10.15|P.3.26|P.3.26.12|P.3.26.33|P.45.46	tad + mAtra	differs			
tanmAtrika		1	tanmAtra	ika	относит./vṛddhi	GAUḌAP.	P.11.24.8		index-only			
tanvaNga		1						tanu + aNga	differs			
tanvin		1	tanu	vin	поссессив	HARIV. 429						
tap	1						P.1.3.27|P.1.7.15|P.1.8.10|P.1.18.49|P.2.7.24|P.2.9.8|P.3.1.65|P.3.1.88|P.3.4.22|P.3.6.10|P.3.6.11|P.3.25.23|P.3.30.23|P.3.31.13|P.4.11.9|P.4.16.6|P.4.17.10|P.4.28.12|P.5.1.30|P.5.6.18|P.5.18.21|P.5.21.3|P.5.21.9|P.5.26.13|P.5.26.14|P.6.9.13|P.7.2.1|P.7.2.10|P.7.3.3|P.7.3.4|P.7.4.12|P.7.9.53|P.8.3.102|P.8.5.13|P.8.16.1|P.9.4.55|P.10.3.33|P.14.60|P.50.5|P.50.12|P.51.2					
tap	2						P.1.3.27|P.1.7.15|P.1.8.10|P.1.18.49|P.2.7.24|P.2.9.8|P.3.1.65|P.3.1.88|P.3.4.22|P.3.6.10|P.3.6.11|P.3.25.23|P.3.30.23|P.3.31.13|P.4.11.9|P.4.16.6|P.4.17.10|P.4.28.12|P.5.1.30|P.5.6.18|P.5.18.21|P.5.21.3|P.5.21.9|P.5.26.13|P.5.26.14|P.6.9.13|P.7.2.1|P.7.2.10|P.7.3.3|P.7.3.4|P.7.4.12|P.7.9.53|P.8.3.102|P.8.5.13|P.8.16.1|P.9.4.55|P.10.3.33|P.14.60|P.50.5|P.50.12|P.51.2					
tapa							P.4.22.37					
tapaHkara		1						tapas + kara	differs			
tapatI							P.6.6.39					
tapana							P.3.1.134|P.5.21.3					
tapanAtmajA		1						tapana + AtmajA	pwg-new-fill			
tapanIya		1	tapana	Iya	относит./vṛddhi	AK. 2,9,95	P.2.7.11					
tapanIyamaya		1	tapanIya	maya	материал	MBH. 7,4389			index-only			
tapanezwa		1						tapana + izwa	pwg-new-fill			
tapanopala		1						tapana + upala	pwg-new-fill			
tapantaka		1	tapanta	ka	уменьш./собират.	KATHĀS. 23,56						
tapaScaryA							P.23.27		index-only			
tapaScit		1						tapas + cit	differs			
tapas							P.2.9.19|P.3.1.15|P.3.4.22|P.4.4.128|P.4.23.6			CatrAdiH	4.4.62	
tapastakza		1						tapas + takza	agrees			
tapastIrTa		1						tapas + tIrTa	agrees			
tapaspati		1					P.4.24.14	tapas + pati	agrees			
tapasya		1	tapas	ya	относит./vṛddhi	KĀTY. ŚR. 25,11,28	P.4.4.128					
tapasvin		1	tapas	vin	поссессив	P. 5,2,102	P.1.9.48|P.4.21.30|P.5.2.102|P.8.13.29		index-only			
tapasvipattra		1						tapasvin + pattra	differs			
tapaHsTalI		1						tapas + sTalI	differs			
tapAtyaya		1						tapa + atyaya	pwg-new-fill			
tapAnta		1						tapa + anta	pwg-new-fill			
tapIyaMs							P.2.9.8					
tapuragra		1						tapus + agra	differs			
tapurjamBa		1						tapus + jamBa	differs			
tapurvaDa		1						tapus + vaDa	differs			
tapuzpA		1						tapus + pA	pwg-new-fill			
tapojA		1						tapas + jA	differs			
tapoda		1						tapas + da	differs			
tapodAna		1						tapas + dAna	differs			
tapoDana		1						tapas + Dana	differs			
tapoDarma		1						tapas + Darma	differs			
tapoDfti		1						tapas + Dfti	differs			
taponitya		1						tapas + nitya	differs			
taponiDi		1						tapas + niDi	differs			
tapoBft		1						tapas + Bft	differs			
tapomaya							P.2.4.19		index-only			
tapomUrti		1					P.8.13.29	tapas + mUrti	differs			
tapomUla		1						tapas + mUla	differs			
tapoyukta		1						tapas + yukta	differs			
taporati		1						tapas + rati	differs			
taporavi		1						tapas + ravi	differs			
taporAja		1						tapas + rAja	differs			
taporASi		1						tapas + rASi	differs			
tapoloka		1					P.2.5.39	tapas + loka	differs			
tapovawa		1						tapas + vawa	differs			
tapovana		1						tapas + vana	differs			
tapovAsa		1						tapas + vAsa	differs			
tapovfdDa		1						tapas + vfdDa	differs			
tapoSana		1						tapas + aSana	differs			
taptakumBa		1					P.12.34	tapta + kumBa	agrees			
taptakfcCra		1						tapta + kfcCra	agrees			
taptabAluka		1					P.3.30.23	tapta + bAlukA	pwg-new-fill			
taptarahasa		1					P.5.4.81	tapta + rahas	differs			
taptarUpa		1						tapta + rUpa	agrees			
taptaloha		1						tapta + loha	agrees			
taptasUrmi		1					P.5.26.7	tapta + sUrmi	agrees			
taptAyana		1						tapta + ayana	pwg-new-fill			
tam							P.4.2.90|P.4.8.15|P.6.4.93|P.7.3.34|P.7.3.74					
tama							P.7.3.34					
tamaHpraBA		1						tamas + praBA	differs			
tamaka							P.7.3.34					
tamas							P.3.12.2|P.5.6.12|P.12.10|P.47.15					
tamasAkfta							P.6.3.3					
tamaskARqa							P.8.3.48		index-only			
tamastati		1						tamas + tati	agrees			
tamAla							P.1.9.33|P.2.4.31|P.3.13.32			arDarcAdiH|puzkarAdiH|saKyAdiH	2.4.31|4.2.80|5.2.135	1
tamAlaka		1	tamAla	ka	уменьш./собират.	ŚABDAR.						
tamAlinI							P.5.2.135					
tami							P.10.13.45					
tamin							P.3.2.141					
tamisra							P.4.6.45|P.5.2.114|P.5.13.9					
tamogA		1						tamas + gA	differs			
tamogu		1						tamas + gu	pwg-new-fill			
tamoGna		1						tamas + Gna	differs			
tamonud		1						tamas + nud	differs			
tamonuda		1					P.3.5.27	tamas + nuda	differs			
tamontakft		1						tamas + antakft	differs			
tamontya		1						tamas + antya	differs			
tamopaha		1					P.3.2.50	tamas + apaha	differs			
tamoBid		1						tamas + Bid	differs			
tamoBUta		1						tamas + BUta	differs			
tamomaRi		1						tamas + maRi	differs			
tamomaya							P.3.20.19|P.21.30|P.47.15		index-only			
tamori		1						tamas + ari	differs			
tamovfD		1						tamas + vfD	differs			
tamohan		1						tamas + han	differs			
tamohara		1						tamas + hara	differs			
taya							P.6.1.203					
tar	1						P.1.1.22|P.1.2.3|P.1.11.36|P.1.15.14|P.2.7|P.3.1|P.3.1.34|P.3.1.85|P.3.15.24|P.3.16.30|P.3.18.27|P.3.24.40|P.4.22.40|P.5.10.25|P.6.4.122|P.6.9.21|P.6.12.20|P.7.2.38|P.7.2.41|P.7.4.2|P.7.4.65|P.7.4.92|P.7.9.18|P.7.15.68|P.8.2.27|P.9.18.9|P.9.19.4|P.10.22.17|P.17.7|P.17.20|P.19.34|P.21.91					
