slp1	hom	n_pwg_senses	n_pwg_senses_with_ls	n_pwg_ls_total	dcs_lemma_count	n_dcs_wn_senses	dcs_sensetagged_count	sensetagged_share	n_pwg_senses_grounded	n_pwg_senses_grounded_verse	n_pwg_senses_gloss_overlap_only	grounding_computed	residual_class
pataMga		16	15	91	150	6	24	0.1600	0	0	1	1	R3_tagged_but_unaligned
pavana		12	12	64	534	7	89	0.1667	0	0	1	1	R3_tagged_but_unaligned
pawala		12	12	89	153	9	23	0.1503	0	0	0	1	R3_tagged_but_unaligned
pfTu		14	12	165	490	13	60	0.1224	0	0	2	1	R3_tagged_but_unaligned
piNga		14	13	53	85	4	9	0.1059	0	0	0	1	R3_tagged_but_unaligned
piNgala		26	25	153	130	2	12	0.0923	0	0	1	1	R3_tagged_but_unaligned
piRqa		28	25	97	895	16	178	0.1989	0	0	2	1	R3_tagged_but_unaligned
picCa		14	13	54	12	2	2	0.1667	0	0	0	1	R3_tagged_but_unaligned
pippala		13	13	86	64	2	16	0.2500	0	0	1	1	R3_tagged_but_unaligned
plava		24	23	139	154	6	27	0.1753	0	0	2	1	R3_tagged_but_unaligned
praTama		11	11	159	1511	7	138	0.0913	0	0	0	1	R3_tagged_but_unaligned
pragraha		13	12	73	54	5	5	0.0926	0	0	1	1	R3_tagged_but_unaligned
prakASa		18	18	164	709	14	60	0.0846	0	0	1	1	R3_tagged_but_unaligned
prakfti		14	14	180	1475	16	133	0.0902	0	0	1	1	R3_tagged_but_unaligned
pramARa		13	11	103	1327	18	150	0.1130	1	0	0	1	R4_grounded_alignment
prati	1	14	14	239	2063	7	60	0.0291	0	0	0	1	R3_tagged_but_unaligned
pratizWA		14	14	140	1275	17	34	0.0267	0	0	1	1	R3_tagged_but_unaligned
pratyaYc		11	11	122	255	7	28	0.1098	0	0	0	1	R3_tagged_but_unaligned
pravftti		13	13	131	553	11	32	0.0579	0	0	1	1	R3_tagged_but_unaligned
priya		13	11	272	3968	23	372	0.0938	0	0	0	1	R3_tagged_but_unaligned
puRqarIka		17	16	118	166	7	31	0.1867	0	0	1	1	R3_tagged_but_unaligned
pulaka		11	10	59	65	3	6	0.0923	0	0	1	1	R3_tagged_but_unaligned
pura		17	17	58	1518	4	241	0.1588	0	0	1	1	R3_tagged_but_unaligned
puras		13	13	123	410	6	23	0.0561	0	0	0	1	R3_tagged_but_unaligned
puruza		15	15	127	5208	16	404	0.0776	0	0	1	1	R3_tagged_but_unaligned
putraka		13	12	91	297	6	39	0.1313	0	0	1	1	R3_tagged_but_unaligned
puzkala		11	11	107	114	2	5	0.0439	0	0	2	1	R3_tagged_but_unaligned
puzkara		30	30	176	432	9	75	0.1736	0	0	2	1	R3_tagged_but_unaligned
puzpa		15	15	81	2219	13	350	0.1577	0	0	2	1	R3_tagged_but_unaligned
rAga		11	11	189	1183	13	130	0.1099	0	0	0	1	R3_tagged_but_unaligned
rEvata		13	13	67	63	4	6	0.0952	1	0	1	1	R4_grounded_alignment
rOdra		17	17	42	478	12	51	0.1067	0	0	3	1	R3_tagged_but_unaligned
rUpa		15	15	320	7308	41	520	0.0712	0	0	1	1	R3_tagged_but_unaligned
rakta		20	15	156	2631	13	643	0.2444	0	0	3	1	R3_tagged_but_unaligned
ramaRa		19	19	88	62	3	6	0.0968	0	0	2	1	R3_tagged_but_unaligned
rasa		12	12	416	9348	38	3264	0.3492	0	0	1	1	R3_tagged_but_unaligned
rati		12	12	154	688	10	34	0.0494	0	0	1	1	R3_tagged_but_unaligned
rocana		20	19	132	192	7	19	0.0990	1	1	1	1	R4_grounded_alignment
rohita		16	16	246	102	4	15	0.1471	1	0	2	1	R4_grounded_alignment
ruci		11	11	122	412	10	48	0.1165	0	0	2	1	R3_tagged_but_unaligned
rudra		13	13	216	2498	7	397	0.1589	0	0	1	1	R3_tagged_but_unaligned
ruh	1	13	13	374	310	10	40	0.1290	0	0	0	1	R3_tagged_but_unaligned
sA	3	22	21	297	98	5	11	0.1122	0	0	0	1	R3_tagged_but_unaligned
sADana		21	21	181	652	13	68	0.1043	0	0	1	1	R3_tagged_but_unaligned
sADu		17	15	384	1745	8	96	0.0550	0	0	0	1	R3_tagged_but_unaligned
sADya	1	13	13	202	257	3	23	0.0895	0	0	2	1	R3_tagged_but_unaligned
sAgara		12	12	58	1008	4	358	0.3552	0	0	1	1	R3_tagged_but_unaligned
sAmarTya		11	11	96	178	5	12	0.0674	0	0	1	1	R3_tagged_but_unaligned
sAra	2	23	23	277	932	17	144	0.1545	0	0	1	1	R3_tagged_but_unaligned
sAraNga		11	11	92	51	3	4	0.0784	0	0	2	1	R3_tagged_but_unaligned
sAvitra		27	27	160	59	2	4	0.0678	0	0	3	1	R3_tagged_but_unaligned
sOmya		21	21	234	650	12	71	0.1092	1	0	1	1	R4_grounded_alignment
sTA	1	63	62	1452	7882	30	533	0.0676	0	0	1	1	R3_tagged_but_unaligned
sTARu		11	11	108	192	7	41	0.2135	0	0	1	1	R3_tagged_but_unaligned
sTAna		26	26	392	2175	35	179	0.0823	0	0	1	1	R3_tagged_but_unaligned
sTApana		14	13	46	120	7	16	0.1333	0	0	0	1	R3_tagged_but_unaligned
sTala		11	11	153	248	5	12	0.0484	0	0	1	1	R3_tagged_but_unaligned
sTira		18	18	244	742	18	87	0.1173	1	0	0	1	R4_grounded_alignment
sTita		21	20	324	3	0	0	0.0000	0	0	0	1	R2_no_wordsem_tag
sTiti		23	23	176	762	17	58	0.0761	0	0	1	1	R3_tagged_but_unaligned
saMDAna		14	14	87	177	14	37	0.2090	0	0	0	1	R3_tagged_but_unaligned
saMDi		21	21	224	849	7	221	0.2603	0	0	1	1	R3_tagged_but_unaligned
saMDya		15	15	138	2	0	0	0.0000	0	0	0	1	R2_no_wordsem_tag
saMgraha		16	14	178	406	11	23	0.0567	0	0	0	1	R3_tagged_but_unaligned
saMsTAna		14	14	133	226	17	33	0.1460	0	0	1	1	R3_tagged_but_unaligned
saMsTa		16	15	212	191	3	19	0.0995	0	0	0	1	R3_tagged_but_unaligned
saMtAna		13	13	82	220	7	14	0.0636	0	0	1	1	R3_tagged_but_unaligned
saMvarta		13	13	73	97	6	8	0.0825	0	0	1	1	R3_tagged_but_unaligned
saYj		15	13	263	364	4	23	0.0632	0	0	1	1	R3_tagged_but_unaligned
sad		17	17	721	601	14	63	0.1048	0	0	0	1	R3_tagged_but_unaligned
sah	1	11	11	417	541	4	64	0.1183	0	0	0	1	R3_tagged_but_unaligned
saha	2	13	13	94	5936	20	673	0.1134	0	0	1	1	R3_tagged_but_unaligned
sama	2	23	23	413	5474	28	1240	0.2265	0	0	2	1	R3_tagged_but_unaligned
samanta		12	11	135	42	3	4	0.0952	0	0	0	1	R3_tagged_but_unaligned
samudra	1	16	16	134	1263	6	240	0.1900	0	0	1	1	R3_tagged_but_unaligned
samyaYc		11	11	180	36	3	4	0.1111	0	0	1	1	R3_tagged_but_unaligned
sarasvant		21	21	265	14	1	1	0.0714	0	0	1	1	R3_tagged_but_unaligned
sarga		14	14	130	640	7	18	0.0281	0	0	0	1	R3_tagged_but_unaligned
sarj	3	15	14	1087	2	0	0	0.0000	0	0	0	1	R2_no_wordsem_tag
sarvatoBadra		17	17	45	25	3	4	0.1600	0	0	1	1	R3_tagged_but_unaligned
satya		18	18	379	3694	15	306	0.0828	1	0	0	1	R4_grounded_alignment
siD	2	31	30	328	1815	13	305	0.1680	0	0	1	1	R3_tagged_but_unaligned
sidDi		16	16	236	2163	15	232	0.1073	0	0	1	1	R3_tagged_but_unaligned
sita	3	17	17	126	645	12	157	0.2434	0	0	1	1	R3_tagged_but_unaligned
skanDa		11	11	189	580	5	37	0.0638	0	0	1	1	R3_tagged_but_unaligned
sma	1	15	15	193	2566	1	4	0.0016	0	0	0	1	R3_tagged_but_unaligned
soma		13	10	229	2841	6	293	0.1031	0	0	1	1	R3_tagged_but_unaligned
sparSa		14	14	144	899	6	77	0.0857	0	0	1	1	R3_tagged_but_unaligned
sru		12	12	280	459	12	66	0.1438	0	0	0	1	R3_tagged_but_unaligned
suBaga		12	12	183	390	17	33	0.0846	0	0	1	1	R3_tagged_but_unaligned
suKa		15	15	267	3515	18	295	0.0839	0	0	0	1	R3_tagged_but_unaligned
sudarSana		13	13	125	185	5	18	0.0973	0	0	3	1	R3_tagged_but_unaligned
sumanas		13	13	158	233	9	25	0.1073	0	0	2	1	R3_tagged_but_unaligned
sumuKa	2	15	15	94	71	5	7	0.0986	0	0	1	1	R3_tagged_but_unaligned
suparRa		13	12	134	272	8	62	0.2279	0	0	1	1	R3_tagged_but_unaligned
suraBi		14	14	187	312	12	46	0.1474	0	0	3	1	R3_tagged_but_unaligned
surasa		11	11	62	65	3	6	0.0923	0	0	2	1	R3_tagged_but_unaligned
suvarRa		16	16	144	1060	7	255	0.2406	0	0	3	1	R3_tagged_but_unaligned
svastika		15	15	56	96	6	15	0.1562	0	0	2	1	R3_tagged_but_unaligned
syandana		12	12	85	222	5	38	0.1712	0	0	2	1	R3_tagged_but_unaligned
tAla		24	22	159	559	11	204	0.3649	0	0	2	1	R3_tagged_but_unaligned
tAmasa	1	13	11	49	224	5	9	0.0402	0	0	1	1	R3_tagged_but_unaligned
tAra		23	23	145	1043	10	611	0.5858	0	0	3	1	R3_tagged_but_unaligned
tAraka		13	13	111	240	3	23	0.0958	0	0	1	1	R3_tagged_but_unaligned
tArkzya		14	13	76	157	5	38	0.2420	0	0	1	1	R3_tagged_but_unaligned
tIkzRa		23	16	50	1667	15	385	0.2310	0	0	2	1	R3_tagged_but_unaligned
tIrTa		15	14	112	2467	7	69	0.0280	0	0	1	1	R3_tagged_but_unaligned
tUla		12	12	51	76	5	7	0.0921	0	0	1	1	R3_tagged_but_unaligned
ta	2	13	12	15	37	4	31	0.8378	0	0	0	1	R3_tagged_but_unaligned
tala		14	14	109	1661	11	241	0.1451	0	0	1	1	R3_tagged_but_unaligned
tantra		25	23	262	528	13	84	0.1591	0	0	1	1	R3_tagged_but_unaligned
tanu		11	11	176	1132	18	129	0.1140	0	0	2	1	R3_tagged_but_unaligned
tapana		15	15	70	105	7	16	0.1524	0	0	1	1	R3_tagged_but_unaligned
tarala		13	13	70	85	3	6	0.0706	0	0	0	1	R3_tagged_but_unaligned
tilaka		13	13	116	164	8	18	0.1098	0	0	2	1	R3_tagged_but_unaligned
tripuwa		12	12	32	3	0	0	0.0000	0	0	1	1	R2_no_wordsem_tag
tuNga		16	15	89	100	3	3	0.0300	0	0	1	1	R3_tagged_but_unaligned
utTAna		14	10	65	141	9	14	0.0993	1	0	1	1	R4_grounded_alignment
uttara	1	18	18	281	2732	26	288	0.1054	0	0	2	1	R3_tagged_but_unaligned
vAhin		14	14	82	183	6	29	0.1585	0	0	0	1	R3_tagged_but_unaligned
vAja		12	11	125	516	7	55	0.1066	0	0	1	1	R3_tagged_but_unaligned
vAma	1	15	15	115	737	7	59	0.0801	0	0	1	1	R3_tagged_but_unaligned
vAmana		20	20	160	165	9	30	0.1818	0	0	2	1	R3_tagged_but_unaligned
vArAha		12	12	75	129	7	27	0.2093	0	0	2	1	R3_tagged_but_unaligned
vAraRa	1	14	14	108	353	7	83	0.2351	0	0	2	1	R3_tagged_but_unaligned
vArtta		11	11	168	5	1	1	0.2000	0	0	0	1	R3_tagged_but_unaligned
vAruRa		16	14	172	207	4	14	0.0676	0	0	3	1	R3_tagged_but_unaligned
vAsava		12	12	70	529	4	163	0.3081	0	0	2	1	R3_tagged_but_unaligned
vESvAnara		11	11	115	254	8	46	0.1811	0	0	3	1	R3_tagged_but_unaligned
vESvadeva		12	12	95	142	1	1	0.0070	1	0	1	1	R4_grounded_alignment
vEjayanta		15	15	71	15	4	6	0.4000	0	0	2	1	R3_tagged_but_unaligned
vIra		16	16	213	3549	14	308	0.0868	0	0	0	1	R3_tagged_but_unaligned
vaMSa		16	16	150	926	15	76	0.0821	0	0	1	1	R3_tagged_but_unaligned
vacana		12	12	127	2837	21	328	0.1156	0	0	0	1	R3_tagged_but_unaligned
vad		14	14	366	3031	18	195	0.0643	0	0	0	1	R3_tagged_but_unaligned
vah	1	16	16	722	1346	19	107	0.0795	0	0	0	1	R3_tagged_but_unaligned
vahni		13	12	95	1610	17	440	0.2733	0	0	1	1	R3_tagged_but_unaligned
vajra		21	21	103	2235	17	686	0.3069	0	0	2	1	R3_tagged_but_unaligned
vakra		17	17	139	213	6	22	0.1033	0	0	1	1	R3_tagged_but_unaligned
vana	1	14	14	127	3658	13	985	0.2693	0	0	2	1	R3_tagged_but_unaligned
vapra		16	16	60	57	3	5	0.0877	0	0	0	1	R3_tagged_but_unaligned
varAha		11	11	123	312	11	53	0.1699	0	0	1	1	R3_tagged_but_unaligned
varDamAna		14	13	90	33	5	11	0.3333	0	0	2	1	R3_tagged_but_unaligned
varRa		16	16	292	3299	21	674	0.2043	0	0	1	1	R3_tagged_but_unaligned
vara	4	11	11	137	5055	28	562	0.1112	1	0	1	1	R4_grounded_alignment
vartana		16	16	52	54	3	3	0.0556	0	0	1	1	R3_tagged_but_unaligned
varza		11	11	247	2953	14	447	0.1514	0	0	1	1	R3_tagged_but_unaligned
vas	5	14	14	344	2220	15	223	0.1005	0	0	0	1	R3_tagged_but_unaligned
vasu		22	21	408	1471	25	199	0.1353	0	0	3	1	R3_tagged_but_unaligned
velA		12	12	182	322	7	51	0.1584	0	0	1	1	R3_tagged_but_unaligned
vfdDa	1	11	11	141	1185	16	160	0.1350	0	0	1	1	R3_tagged_but_unaligned
vfka		18	18	115	159	4	25	0.1572	0	0	1	1	R3_tagged_but_unaligned
vftta		30	30	262	902	7	102	0.1131	0	0	0	1	R3_tagged_but_unaligned
vftti		18	18	349	1371	20	52	0.0379	0	0	1	1	R3_tagged_but_unaligned
vfza	1	16	16	169	488	7	40	0.0820	0	0	1	1	R3_tagged_but_unaligned
viBUti		13	13	126	196	8	19	0.0969	2	0	0	1	R4_grounded_alignment
viDAna		12	12	151	1031	12	168	0.1629	0	0	0	1	R3_tagged_but_unaligned
viDi	1	12	12	232	2828	22	364	0.1287	0	0	0	1	R3_tagged_but_unaligned
viS	1	30	30	539	1998	15	184	0.0921	0	0	0	1	R3_tagged_but_unaligned
viSAKa		15	15	110	50	4	8	0.1600	0	0	2	1	R3_tagged_but_unaligned
viSAla		15	14	122	376	7	48	0.1277	0	0	1	1	R3_tagged_but_unaligned
viSva		16	15	113	2891	16	312	0.1079	0	0	1	1	R3_tagged_but_unaligned
vijaya		23	23	192	605	7	51	0.0843	0	0	2	1	R3_tagged_but_unaligned
vikalpa		13	13	114	454	5	10	0.0220	0	0	1	1	R3_tagged_but_unaligned
vikfti		12	11	78	244	7	22	0.0902	0	0	2	1	R3_tagged_but_unaligned
vikrama		13	13	78	1011	11	87	0.0861	0	0	1	1	R3_tagged_but_unaligned
vilAsin		14	11	77	31	0	0	0.0000	0	0	0	1	R2_no_wordsem_tag
vimala		14	14	106	682	15	135	0.1979	0	0	1	1	R3_tagged_but_unaligned
vinAyaka		11	11	70	80	3	14	0.1750	0	0	1	1	R3_tagged_but_unaligned
viparyaya		11	11	143	391	7	19	0.0486	0	0	0	1	R3_tagged_but_unaligned
virUpAkza		12	12	66	112	4	43	0.3839	0	0	1	1	R3_tagged_but_unaligned
viraja		11	11	70	57	2	2	0.0351	1	0	0	1	R4_grounded_alignment
visarga		16	16	108	195	7	10	0.0513	0	0	1	1	R3_tagged_but_unaligned
vizaya		13	13	162	1546	14	64	0.0414	0	0	1	1	R3_tagged_but_unaligned
vrata	1	12	12	291	2313	13	123	0.0532	0	0	0	1	R3_tagged_but_unaligned
vyAla		11	10	85	193	4	21	0.1088	0	0	1	1	R3_tagged_but_unaligned
vyaD		12	12	188	1525	9	183	0.1200	0	0	1	1	R3_tagged_but_unaligned
vyaYjana		15	14	134	140	8	28	0.2000	0	0	1	1	R3_tagged_but_unaligned
yA	1	16	16	909	5103	23	364	0.0713	0	0	0	1	R3_tagged_but_unaligned
yad		12	11	145	45466	3	983	0.0216	0	0	0	1	R3_tagged_but_unaligned
yadi		17	17	361	4703	3	61	0.0130	0	0	0	1	R3_tagged_but_unaligned
yam		17	17	902	669	13	46	0.0688	0	0	1	1	R3_tagged_but_unaligned
yat		14	14	403	4488	13	231	0.0515	0	0	1	1	R3_tagged_but_unaligned
yatra		11	11	102	3831	3	102	0.0266	0	0	0	1	R3_tagged_but_unaligned
yoga		27	27	460	4526	41	680	0.1502	0	0	1	1	R3_tagged_but_unaligned
yogya		11	11	154	357	2	47	0.1317	1	1	0	1	R4_grounded_alignment
yuj	1	12	12	1522	5373	43	658	0.1225	0	0	1	1	R3_tagged_but_unaligned
