id	k1	hom	L_id	verdict	rule	stratum	pwg_members	index_members	pwg_source_split	mw_first_variant	mw_variant_count	mw_k2_raw	pwg_source_paren	dcs_freq	evidence	reason
aDvagat	aDvagat		2170	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	aDvan + gat	aDva + gat	aDvan + gat	aDva + gat	1	aDva—ga/t	({#aDvan#} + {#gat#} {%gehend%})		form_diffs=aDvan|aDva	both sources cut the word in the same place; the members differ only in form (aDvan|aDva) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
aDvajA	aDvajA		2173	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	aDvan + ja	aDva + jA	aDvan + ja	aDva + jA	1	aDva—jA	(von {#aDvan#} + {#ja#})		form_diffs=aDvan|aDva; ja|jA	both sources cut the word in the same place; the members differ only in form (aDvan|aDva; ja|jA) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
aDvapati	aDvapati		2177	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	aDvan + pati	aDva + pati	aDvan + pati	aDva + pati	1	aDva—pati	({#aDvan#} + {#pati#})	1	form_diffs=aDvan|aDva	both sources cut the word in the same place; the members differ only in form (aDvan|aDva) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
aDvaraTa	aDvaraTa		2183	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	aDvan + raTa	aDva + raTa	aDvan + raTa	aDva + raTa	1	aDva—raTa	({#aDvan#} + {#raTa#})		form_diffs=aDvan|aDva	both sources cut the word in the same place; the members differ only in form (aDvan|aDva) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
aGaSaMsahan	aGaSaMsahan		602	pwg_members-right	mw_cut_leaves_nonword	mw_cut_leaves_nonword	aGaSaMsa + han	aGa + SaMsahan	aGaSaMsa + han	aGa + SaMsa-han	1	aGa—SaMsa-ha/n	({#aGaSaMsa#} + {#han#} <lex>adj.</lex>)		index_members_unattested=SaMsahan; mw_hyphen_members=SaMsa-han	the two segmentations differ and every PWG member is an attested headword while MW's `SaMsahan` is not a word — MW cuts inside a sandhi-fused seam (mahA+arha -> mahA|rha) or spells the seam's surface form
aGoraGorarUpa	aGoraGorarUpa		613	index_members-right	pwg_cut_leaves_nonword	residual-undersized	aGoraGora + rUpa	aGora + GorarUpa	aGoraGora + rUpa	a-Gora + Gora-rUpa	1	a-Gora—Gora-rUpa	({#aGoraGora#} [{#aGora#} + {#Gora#}] + {#rUpa#})	1	mw_hyphen_members=a-Gora Gora-rUpa; pwg_members_unattested=aGoraGora	the cut differs and every MW member is an attested headword while PWG's `aGoraGora` is not
aKaRqitartu	aKaRqitartu		284	pwg_members-right	mw_cut_leaves_nonword	mw_cut_leaves_nonword	aKaRqita + ftu	aKaRqita + rtu	aKaRqita + ftu	a-KaRqita + rtu	1	a-KaRqita—rtu	({#aKaRqita#} [<hom>3.</hom> {#a#} + {#KaRqita#}] + {#ftu#})		index_members_unattested=rtu; mw_hyphen_members=a-KaRqita	the two segmentations differ and every PWG member is an attested headword while MW's `rtu` is not a word — MW cuts inside a sandhi-fused seam (mahA+arha -> mahA|rha) or spells the seam's surface form
aMSumatPalA	aMSumatPalA		26	pwg_members-right	mw_cut_leaves_nonword	mw_cut_leaves_nonword	aMSumant + Pala	aMSu + matPalA	aMSumant + Pala	aMSu + matPalA	1	aMSu—matPalA	({#aMSumant#} {%Sonne%} + {#Pala#} {%Frucht%})	4	index_members_unattested=matPalA	the two segmentations differ and every PWG member is an attested headword while MW's `matPalA` is not a word — MW cuts inside a sandhi-fused seam (mahA+arha -> mahA|rha) or spells the seam's surface form
aMsatrakoSa	aMsatrakoSa		37	unresolved	granularity_ic_vs_full_decomposition	granularity_ic_vs_full_decomposition	aMsatra + koSa	aMsa + tra + koSa	aMsatra + koSa	aMsa + tra + koSa	1	a/Msa—tra—koSa	({#aMsatra#} + {#koSa#})		mw_is_finer=True	MW decomposes a lexicalised member further (`aMsa + tra + koSa` vs `aMsatra + koSa`) and every piece is an attested headword — immediate constituents vs full decomposition is a convention choice, and neither entry states which one this field wants
aNGrinAmaka	aNGrinAmaka		785	pwg_members-right	pwg_lexeme_vs_mw_suffixed_tail	pwg_lexeme_vs_mw_suffixed_tail	aNGri + nAman	aNGri + nAmaka	aNGri + nAman	aNGri + nAmaka	1	aNGri—nAmaka	(von {#aNGri#} + {#nAman#})		taddhita_suffix=ka	only the final member differs: PWG's `nAman` is an attested headword and MW's `nAmaka` is that lexeme plus `-ka`, a suffix that derives the WHOLE compound rather than being one of its members
aNGriparRI	aNGriparRI		788	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	aNGri + parRa	aNGri + parRI	aNGri + parRa	aNGri + parRI	1	aNGri—parRI	(von {#aNGri#} + {#parRa#})	1	form_diffs=parRa|parRI	both sources cut the word in the same place; the members differ only in form (parRa|parRI) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
aNgulizaNga	aNgulizaNga		765	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	aNguli + saNga	aNguli + zaNga	aNguli + saNga	aNguli + zaNga	1	aNguli—zaNga	({#aNguli#} + {#saNga#})		form_diffs=saNga|zaNga; index_members_unattested=zaNga	both sources cut the word in the same place; the members differ only in form (saNga|zaNga) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
aNkAsya	aNkAsya		62704	pwg_members-right	mw_cut_leaves_nonword	mw_cut_leaves_nonword	aNka + Asya	aN + kAsya	aNka + Asya	aN + kAsya	1	aN—kAsya	({#aNka#} + {#Asya#})		index_members_unattested=aN, kAsya	the two segmentations differ and every PWG member is an attested headword while MW's `aN, kAsya` is not a word — MW cuts inside a sandhi-fused seam (mahA+arha -> mahA|rha) or spells the seam's surface form
aNkapAdavrata	aNkapAdavrata		631	unresolved	cut_moved_neither_reading_lexical	residual-undersized	aNkapAda + vrata	aNka + pAdavrata	aNkapAda + vrata	aNka + pAda-vrata	1	aNka—pAda-vrata	({#aNkapAda#} [{#aNka#} + {#pAda#}] + {#vrata#})		index_members_unattested=pAdavrata; mw_hyphen_members=pAda-vrata; pwg_members_unattested=aNkapAda	the cut differs and neither reading decomposes into attested headwords throughout
aRqajeSvara	aRqajeSvara		1177	pwg_members-right	mw_cut_leaves_nonword	mw_cut_leaves_nonword	aRqaja + ISvara	aRqa + jeSvara	aRqaja + ISvara	aRqa + jeSvara	1	aRqa—jeSvara	({#aRqaja#} + {#ISvara#})	1	index_members_unattested=jeSvara	the two segmentations differ and every PWG member is an attested headword while MW's `jeSvara` is not a word — MW cuts inside a sandhi-fused seam (mahA+arha -> mahA|rha) or spells the seam's surface form
aRqakawAha	aRqakawAha		1171	index_members-right	pwg_member_typo_in_source	residual-undersized	aRqa + awAha	aRqa + kawAha	aRqa + awAha	aRqa + kawAha	1	aRqa—kawAha	({#aRqa#} + {#awAha#})		pwg_members_unattested=awAha; pwg_typo_pairs=awAha|kawAha	PWG's own text spells the member `awAha` where the word is `kawAha` (edit distance 1, unattested vs attested) — a transcription typo in pwg.txt, so the shipped PWG members cannot be promoted
aRumAtrika	aRumAtrika		1161	pwg_members-right	pwg_lexeme_vs_mw_suffixed_tail	pwg_lexeme_vs_mw_suffixed_tail	aRu + mAtrA	aRu + mAtrika	aRu + mAtrA	aRu + mAtrika	1	aRu—mAtrika	(von {#aRu#} + {#mAtrA#}; <ab>vgl.</ab> <ls>M. 1,27</ls>.)	1	taddhita_suffix=ika	only the final member differs: PWG's `mAtrA` is an attested headword and MW's `mAtrika` is that lexeme plus `-ika`, a suffix that derives the WHOLE compound rather than being one of its members
aSvaganDA	aSvaganDA		7046	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	aSva + ganDa	aSva + ganDA	aSva + ganDa	aSva + ganDA	1	aSva—ganDA	(von {#aSva#} + {#ganDa#})	106	form_diffs=ganDa|ganDA	both sources cut the word in the same place; the members differ only in form (ganDa|ganDA) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
aSvagrIva	aSvagrIva		7047	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	aSva + grIvA	aSva + grIva	aSva + grIvA	aSva + grIva	1	aSva—grIva	(von {#aSva#} + {#grIvA#})	7	form_diffs=grIvA|grIva	both sources cut the word in the same place; the members differ only in form (grIvA|grIva) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
aSvamizwi	aSvamizwi		7100	unresolved	cut_moved_neither_reading_lexical	residual-undersized	aSvam + izwi	aSva + mizwi	aSvam + izwi	aSva + m-izwi	1	a/Sva—m-izwi	({#aSvam#}, <ab>acc.</ab> von {#aSva#}, + {#izwi#})	2	index_members_unattested=mizwi; mw_hyphen_members=m-izwi; pwg_members_unattested=aSvam	the cut differs and neither reading decomposes into attested headwords throughout
aSvaraTA	aSvaraTA		7117	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	aSva + raTa	aSva + raTA	aSva + raTa	aSva + raTA	1	aSva—raTA	(von {#aSva#} + {#raTa#})	1	form_diffs=raTa|raTA; index_members_unattested=raTA	both sources cut the word in the same place; the members differ only in form (raTa|raTA) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
aSvasena	aSvasena		7158	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	aSva + senA	aSva + sena	aSva + senA	aSva + sena	1	aSva—sena	(von {#aSva#} + {#senA#})	11	form_diffs=senA|sena	both sources cut the word in the same place; the members differ only in form (senA|sena) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
aSvastomIya	aSvastomIya		7160	pwg_members-right	pwg_lexeme_vs_mw_suffixed_tail	pwg_lexeme_vs_mw_suffixed_tail	aSva + stoma	aSva + stomIya	aSva + stoma	aSva + stomIya	1	aSva—stomI/ya	(von {#aSva#} + {#stoma#})		taddhita_suffix=Iya	only the final member differs: PWG's `stoma` is an attested headword and MW's `stomIya` is that lexeme plus `-Iya`, a suffix that derives the WHOLE compound rather than being one of its members
aSvatTAman	aSvatTAman		7063	pwg_members-right	mw_cut_leaves_nonword	mw_cut_leaves_nonword	aSva + sTAman	aSva + tTAman	aSva + sTAman	aSva + tTAman	1	aSva—tTAman	({#aSva#} + {#sTAman#})	209	index_members_unattested=tTAman	the two segmentations differ and every PWG member is an attested headword while MW's `tTAman` is not a word — MW cuts inside a sandhi-fused seam (mahA+arha -> mahA|rha) or spells the seam's surface form
aSvazA	aSvazA		7150	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	aSva + sA	aSva + zA	aSva + sA	aSva + zA	1	aSva—zA	({#aSva#} + {#sA#})		form_diffs=sA|zA; index_members_unattested=zA	both sources cut the word in the same place; the members differ only in form (sA|zA) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
aTarvaSiKA	aTarvaSiKA		1645	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	aTarvan + SiKA	aTarva + SiKA	aTarvan + SiKA	aTarva + SiKA	1	aTarva—SiKA	({#aTarvan#} + {#SiKA#})		form_diffs=aTarvan|aTarva	both sources cut the word in the same place; the members differ only in form (aTarvan|aTarva) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
aTarvaSiras	aTarvaSiras		1646	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	aTarvan + Siras	aTarva + Siras	aTarvan + Siras	aTarva + Siras	1	aTarva—Siras	({#aTarvan#} + {#Siras#})	17	form_diffs=aTarvan|aTarva	both sources cut the word in the same place; the members differ only in form (aTarvan|aTarva) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
aTarvahfdaya	aTarvahfdaya		1647	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	aTarvan + hfdaya	aTarva + hfdaya	aTarvan + hfdaya	aTarva + hfdaya	1	aTarva—hfdaya	({#aTarvan#} + {#hfdaya#})		form_diffs=aTarvan|aTarva	both sources cut the word in the same place; the members differ only in form (aTarvan|aTarva) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
aTarvaveda	aTarvaveda		1644	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	aTarvan + veda	aTarva + veda	aTarvan + veda	aTarva + veda	1	aTarva—veda	({#aTarvan#} + {#veda#})	33	form_diffs=aTarvan|aTarva	both sources cut the word in the same place; the members differ only in form (aTarvan|aTarva) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
aYjanakeSI	aYjanakeSI		1057	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	aYjana + keSa	aYjana + keSI	aYjana + keSa	aYjana + keSI	1	aYjana—keSI	(von <hom>2.</hom> {#aYjana#} + {#keSa#})	3	form_diffs=keSa|keSI	both sources cut the word in the same place; the members differ only in form (keSa|keSI) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
aYjananAmikA	aYjananAmikA		1058	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	aYjana + nAman	aYjana + nAmikA	aYjana + nAman	aYjana + nAmikA	1	aYjana—nAmikA	(von {#aYjana#} + {#nAman#})	5	form_diffs=nAman|nAmikA; index_members_unattested=nAmikA	both sources cut the word in the same place; the members differ only in form (nAman|nAmikA) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
abDidvIpA	abDidvIpA		4432	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	abDi + dvIpa	abDi + dvIpA	abDi + dvIpa	ab-Di + dvIpA	1	ab-Di—dvIpA	(von {#abDi#} + {#dvIpa#})	1	form_diffs=dvIpa|dvIpA; index_members_unattested=dvIpA; mw_hyphen_members=ab-Di	both sources cut the word in the same place; the members differ only in form (dvIpa|dvIpA) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
acalakIlA	acalakIlA		802	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	acala + kIla	acala + kIlA	acala + kIla	a-cala + kIlA	1	a-cala—kIlA	(von {#acala#} + {#kIla#})		form_diffs=kIla|kIlA; mw_hyphen_members=a-cala	both sources cut the word in the same place; the members differ only in form (kIla|kIlA) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
adabDavratapramati	adabDavratapramati		1676	pwg_members-right	mw_cut_leaves_nonword	mw_cut_leaves_nonword	adabDavrata + pramati	adabDa + vratapramati	adabDavrata + pramati	a-dabDa + vrata-pramati	1	a/-dabDa—vrata-pramati	({#adabDavrata#} [{#adabDa#} + {#vrata#}] + {#pramati#})		index_members_unattested=vratapramati; mw_hyphen_members=a-dabDa vrata-pramati	the two segmentations differ and every PWG member is an attested headword while MW's `vratapramati` is not a word — MW cuts inside a sandhi-fused seam (mahA+arha -> mahA|rha) or spells the seam's surface form
adfptakratu	adfptakratu		1736	index_members-right	pwg_member_typo_in_source	residual-undersized	adfpta + ktatu	adfpta + kratu	adfpta + ktatu	adfpta + kratu	1	a/dfpta—kratu	({#adfpta#} + {#ktatu#})		pwg_members_unattested=ktatu; pwg_typo_pairs=ktatu|kratu	PWG's own text spells the member `ktatu` where the word is `kratu` (edit distance 1, unattested vs attested) — a transcription typo in pwg.txt, so the shipped PWG members cannot be promoted
admasad	admasad		1784	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	adman + sad	adma + sad	adman + sad	adma + sad	1	adma—sa/d	({#adman#} + {#sad#} <lex>adj.</lex>)	3	form_diffs=adman|adma	both sources cut the word in the same place; the members differ only in form (adman|adma) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
admasadvan	admasadvan		1786	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	adman + sadvan	adma + sadvan	adman + sadvan	adma + sadvan	1	adma—sa/dvan	({#adman#} + {#sadvan#})		form_diffs=adman|adma	both sources cut the word in the same place; the members differ only in form (adman|adma) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
adriSayya	adriSayya		1822	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	adri + SayyA	adri + Sayya	adri + SayyA	adri + Sayya	1	adri—Sayya	({#adri#} + {#SayyA#})		form_diffs=SayyA|Sayya; index_members_unattested=Sayya	both sources cut the word in the same place; the members differ only in form (SayyA|Sayya) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
adrikIlA	adrikIlA		1805	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	adri + kIla	adri + kIlA	adri + kIla	adri + kIlA	1	adri—kIlA	(von {#adri#} + {#kIla#})	1	form_diffs=kIla|kIlA	both sources cut the word in the same place; the members differ only in form (kIla|kIlA) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
adrikarRI	adrikarRI		1803	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	adri + karRa	adri + karRI	adri + karRa	adri + karRI	1	adri—karRI	(von {#adri#} + {#karRa#})	5	form_diffs=karRa|karRI	both sources cut the word in the same place; the members differ only in form (karRa|karRI) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
adrizuta	adrizuta		1823	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	adri + suta	adri + zuta	adri + suta	adri + zuta	1	a/dri—zuta	({#adri#} + {#suta#})	2	form_diffs=suta|zuta; index_members_unattested=zuta	both sources cut the word in the same place; the members differ only in form (suta|zuta) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
advayavAdin	advayavAdin		1838	unresolved	privative_scope_disputed	residual-undersized	a + dvayavAdin	advaya + vAdin	a + dvayavAdin	a-dvaya + vAdin	1	a-dvaya—vAdin	(<hom>3.</hom> {#a#} + {#dvayavAdin#} [{#dvaya#} + {#vAdin#}])	1	mw_hyphen_members=a-dvaya	PWG makes the privative `a` a member of its own (negation over the whole compound); MW's hyphen in `a-dvaya` binds it to the first member only (negation over that member). The two readings are different analyses of the same string, and nothing in either entry settles which the store should carry
advezarAgin	advezarAgin		1848	unresolved	privative_scope_disputed	residual-undersized	a + dvezarAga	adveza + rAgin	a + dvezarAga	a-dveza + rAgin	1	a-dveza—rAgin	(von <hom>3.</hom> {#a#} + {#dvezarAga#} [{#dveza#} + {#rAga#}])		mw_hyphen_members=a-dveza; pwg_members_unattested=dvezarAga	PWG makes the privative `a` a member of its own (negation over the whole compound); MW's hyphen in `a-dveza` binds it to the first member only (negation over that member). The two readings are different analyses of the same string, and nothing in either entry settles which the store should carry
adyaSvIna	adyaSvIna		1794	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	adya + Svas	adya + SvIna	adya + Svas	a-dya + SvIna	1	a-dya—SvIna	(von {#adya#} {%heute%} + {#Svas#} {%morgen%})	1	form_diffs=Svas|SvIna; index_members_unattested=SvIna; mw_hyphen_members=a-dya	both sources cut the word in the same place; the members differ only in form (Svas|SvIna) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
adyaSva	adyaSva		63138	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	adya + Svas	adya + Sva	adya + Svas	a-dya + Sva	1	a-dya—Sva	({#adya#} + {#Svas#})	1	form_diffs=Svas|Sva; mw_hyphen_members=a-dya	both sources cut the word in the same place; the members differ only in form (Svas|Sva) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
agniBa	agniBa		418	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	agni + BA	agni + Ba	agni + BA	agni + Ba	1	agni—Ba	({#agni#} + {#BA#})		form_diffs=BA|Ba	both sources cut the word in the same place; the members differ only in form (BA|Ba) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
agniBu	agniBu		419	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	agni + BU	agni + Bu	agni + BU	agni + Bu	1	agni—Bu	(von {#agni#} + {#BU#} <lex>adj.</lex>)		form_diffs=BU|Bu	both sources cut the word in the same place; the members differ only in form (BU|Bu) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
agniSAla	agniSAla		464	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	agni + SAlA	agni + SAla	agni + SAlA	agni + SAla	1	agni—SA/la	"({#agni#} + {#SAlA#}; <ab>vgl.</ab> <ls>P. 2,4,25</ls>. <ls n=""P."">6,2,123</ls>.)"		form_diffs=SAlA|SAla	both sources cut the word in the same place; the members differ only in form (SAlA|SAla) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
agniSiKa	agniSiKa		466	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	agni + SiKA	agni + SiKa	agni + SiKA	agni + SiKa	1	agni—SiKa	({#agni#} + {#SiKA#})	2	form_diffs=SiKA|SiKa	both sources cut the word in the same place; the members differ only in form (SiKA|SiKa) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
agnidevA	agnidevA		399	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	agni + deva	agni + devA	agni + deva	agni + devA	1	agni—devA	(von {#agni#} + {#deva#})		form_diffs=deva|devA	both sources cut the word in the same place; the members differ only in form (deva|devA) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
agnihotrAhuti	agnihotrAhuti		494	pwg_members-right	mw_cut_leaves_nonword	mw_cut_leaves_nonword	agnihotra + Ahuti	agni + hotrAhuti	agnihotra + Ahuti	agni + hotrAhuti	1	agni—hotrAhuti/	(<hom>1.</hom> {#agnihotra#} + {#Ahuti#})		index_members_unattested=hotrAhuti	the two segmentations differ and every PWG member is an attested headword while MW's `hotrAhuti` is not a word — MW cuts inside a sandhi-fused seam (mahA+arha -> mahA|rha) or spells the seam's surface form
agnihotrahut	agnihotrahut		493	unresolved	granularity_ic_vs_full_decomposition	granularity_ic_vs_full_decomposition	agnihotra + hut	agni + hotra + hut	agnihotra + hut	agni + hotra + hut	1	agni—hotra—hu/t	(<hom>1.</hom> {#agnihotra#} + {#hut#})		mw_is_finer=True	MW decomposes a lexicalised member further (`agni + hotra + hut` vs `agnihotra + hut`) and every piece is an attested headword — immediate constituents vs full decomposition is a convention choice, and neither entry states which one this field wants
agnihotrocCizwa	agnihotrocCizwa		496	pwg_members-right	mw_cut_leaves_nonword	mw_cut_leaves_nonword	agnihotra + ucCizwa	agni + hotrocCizwa	agnihotra + ucCizwa	agni + hotrocCizwa	1	agni—hotrocCizwa/	(<hom>1.</hom> {#agnihotra#} + {#ucCizwa#} von {#Siz#})		index_members_unattested=hotrocCizwa	the two segmentations differ and every PWG member is an attested headword while MW's `hotrocCizwa` is not a word — MW cuts inside a sandhi-fused seam (mahA+arha -> mahA|rha) or spells the seam's surface form
agnijihva	agnijihva		376	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	agni + jihvA	agni + jihva	agni + jihvA	agni + jihva	1	agni—jihva/	({#agni#} + {#jihvA#})		form_diffs=jihvA|jihva	both sources cut the word in the same place; the members differ only in form (jihvA|jihva) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
agnijvalitatejana	agnijvalitatejana		378	unresolved	cut_moved_neither_reading_lexical	residual-undersized	agnijvalita + tejana	agni + jvalitatejana	agnijvalita + tejana	agni + jvalita-tejana	1	agni—jvalita-tejana	({#agnijvalita#} [{#agni#} + {#jvalita#}] + {#tejana#})		index_members_unattested=jvalitatejana; mw_hyphen_members=jvalita-tejana; pwg_members_unattested=agnijvalita	the cut differs and neither reading decomposes into attested headwords throughout
agnimAruti	agnimAruti		431	unresolved	cut_moved_both_readings_lexical	cut_moved_both_readings_lexical	agni + maruta	agni + mAruti	agni + maruta	agni + mAruti	1	agni—mAruti	(von {#agni#} + {#maruta#})			the two sources cut the word in different places and BOTH readings decompose into attested headwords (`agni + maruta` vs `agni + mAruti`) — a genuine lexicographic disagreement, not a notation difference
agniminDa	agniminDa		433	unresolved	cut_moved_neither_reading_lexical	residual-undersized	agnim + inDa	agni + minDa	agnim + inDa	agni + m-inDa	1	agni—m-inDa/	({#agnim#} <ab>acc.</ab> von {#agni#} + {#inDa#})	1	index_members_unattested=minDa; mw_hyphen_members=m-inDa; pwg_members_unattested=agnim	the cut differs and neither reading decomposes into attested headwords throughout
agniretasa	agniretasa		444	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	agni + retas	agni + retasa	agni + retas	agni + retasa	1	agni—retasa/	(von {#agni#} + {#retas#})		form_diffs=retas|retasa	both sources cut the word in the same place; the members differ only in form (retas|retasa) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
agnisAkzika	agnisAkzika		481	pwg_members-right	pwg_lexeme_vs_mw_suffixed_tail	pwg_lexeme_vs_mw_suffixed_tail	agni + sAkzin	agni + sAkzika	agni + sAkzin	agni + sAkzika	1	agni—sAkzika	(von {#agni#} + {#sAkzin#})		taddhita_suffix=ka	only the final member differs: PWG's `sAkzin` is an attested headword and MW's `sAkzika` is that lexeme plus `-ka`, a suffix that derives the WHOLE compound rather than being one of its members
agnizWa	agnizWa		475	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	agni + sTa	agni + zWa	agni + sTa	agni + zWa	1	agni—zWa/	({#agni#} + {#sTa#})	4	form_diffs=sTa|zWa; index_members_unattested=zWa	both sources cut the word in the same place; the members differ only in form (sTa|zWa) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
agnizvAtta	agnizvAtta		476	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	agni + svAtta	agni + zvAtta	agni + svAtta	agni + zvAtta	1	agni—zvAtta/	({#agni#} + {#svAtta#} von {#svad#})	27	form_diffs=svAtta|zvAtta; index_members_unattested=zvAtta	both sources cut the word in the same place; the members differ only in form (svAtta|zvAtta) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
agnizwoma	agnizwoma		474	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	agni + stoma	agni + zwoma	agni + stoma	agni + zwoma	1	agni—zwoma/	({#agni#} + {#stoma#})	167	form_diffs=stoma|zwoma; index_members_unattested=zwoma	both sources cut the word in the same place; the members differ only in form (stoma|zwoma) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
agnizwut	agnizwut		472	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	agni + stut	agni + zwut	agni + stut	agni + zwut	1	agni—zwu/t	({#agni#} + {#stut#} von {#stu#})	10	form_diffs=stut|zwut; index_members_unattested=zwut	both sources cut the word in the same place; the members differ only in form (stut|zwut) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
