key1_slp1	key2_accented	iast	form_key	case_class	L	pc	source_xml
pAkaPala	pa1kaphala	pākaphala	pākaphala	fiction	18210	251-3	SCH-fiction-3147_cases.xml
pAcikA	pa1cika1	pācikā	pācikā	fiction	18223	252-1	SCH-fiction-3147_cases.xml
pAjipakzin	pa1jipaks2in	pājipakṣin	pājipakṣin	fiction	18225	252-1	SCH-fiction-3147_cases.xml
pAYcajanIna	pa1n5cajani1na	pāñcajanīna	pāncajanīna	fiction	18227	252-1	SCH-fiction-3147_cases.xml
pAwaka	pa1t2aka	pāṭaka	pāṭaka	fiction	18233	252-1	SCH-fiction-3147_cases.xml
pARiGa	pa1n2igha	pāṇigha	pānigha	fiction	18258	252-2	SCH-fiction-3147_cases.xml
pARiGAtam	pa1n2igha1tam	pāṇighātam	pānighātam	fiction	18259	252-2	SCH-fiction-3147_cases.xml
pARqaravAsin	pa1n2d2arava1sin	pāṇḍaravāsin	pānḍaravāsin	fiction	18263	252-2	SCH-fiction-3147_cases.xml
pARqurapfzWa	pa1n2d2urapr2s2t2ha	pāṇḍurapṛṣṭha	pānḍurapṛṣṭha	fiction	18279	252-3	SCH-fiction-3147_cases.xml
pARyupaGAtam	pa1n2yupagha1tam	pāṇyupaghātam	pānyupaghātam	fiction	18288	252-3	SCH-fiction-3147_cases.xml
pAta	pa1ta	pāta	pāta	fiction	18289	252-3	SCH-fiction-3147_cases.xml
pAtI	pa1ti1	pātī	pātī	fiction	18295	252-3	SCH-fiction-3147_cases.xml
pAtraDAraRa	pa1tradha1ran2a	pātradhāraṇa	pātradhārana	fiction	18299	253-1	SCH-fiction-3147_cases.xml
pAtraparIzwi	pa1trapari1s2t2i	pātraparīṣṭi	pātraparīṣṭi	fiction	18301	253-1	SCH-fiction-3147_cases.xml
pAtrAvalehakam	pa1tra1valehakam	pātrāvalehakam	pātrāvalehakam	fiction	18303	253-1	SCH-fiction-3147_cases.xml
pAdaka	pa1daka	pādaka	pādaka	fiction	18310	253-1	SCH-fiction-3147_cases.xml
pAdavezwanika	pa1daves2t2anika	pādaveṣṭanika	pādaveṣṭanika	fiction	18323	253-1	SCH-fiction-3147_cases.xml
pAdasPowa	pa1dasphot2a	pādasphoṭa	pādasphoṭa	fiction	18324	253-2	SCH-fiction-3147_cases.xml
pAdANgada	pa1da1n3gada	pādāṅgada	pādāngada	fiction	18325	253-2	SCH-fiction-3147_cases.xml
pAdADizWAna	pa1da1dhis2t2ha1na	pādādhiṣṭhāna	pādādhiṣṭhāna	fiction	18328	253-2	SCH-fiction-3147_cases.xml
pAnagozWikA	pa1nagos2t2hika1	pānagoṣṭhikā	pānagoṣṭhikā	fiction	18338	253-2	SCH-fiction-3147_cases.xml
pAnIyavArika	pa1ni1yava1rika	pānīyavārika	pānīyavārika	fiction	18340	253-2	SCH-fiction-3147_cases.xml
pAnIyaSAlA	pa1ni1yas4a1la1	pānīyaśālā	pānīyaśālā	fiction	18342	253-2	SCH-fiction-3147_cases.xml
pArajanmika	pa1rajanmika	pārajanmika	pārajanmika	fiction	18362	253-3	SCH-fiction-3147_cases.xml
pArAvArIRa	pa1ra1va1ri1n2a	pārāvārīṇa	pārāvārīna	fiction	18382	254-1	SCH-fiction-3147_cases.xml
pArikarmika	pa1rikarmika	pārikarmika	pārikarmika	fiction	18385	254-1	SCH-fiction-3147_cases.xml
pArirakzaka	pa1riraks2aka	pārirakṣaka	pārirakṣaka	fiction	18391	254-1	SCH-fiction-3147_cases.xml
pArTiva	pa1rthiva	pārthiva	pārthiva	fiction	18406	254-2	SCH-fiction-3147_cases.xml
pArzRiga	pa1rs2n2iga	pārṣṇiga	pārṣniga	fiction	18416	254-2	SCH-fiction-3147_cases.xml
pAlakApya	Pa1laka1pya	pālakāpya	pālakāpya	fiction	18418	254-2	SCH-fiction-3147_cases.xml
pAlaNkI	pa1lan3ki1	pālaṅkī	pālankī	fiction	18419	254-2	SCH-fiction-3147_cases.xml
pAli	pa1li	pāli	pāli	fiction	18422	254-3	SCH-fiction-3147_cases.xml
pAlIza	pa1li1s2a	pālīṣa	pālīṣa	fiction	18433	254-3	SCH-fiction-3147_cases.xml
pAvaka	pa1vaka	pāvaka	pāvaka	fiction	18437	254-3	SCH-fiction-3147_cases.xml
pikapriya	pikapriya	pikapriya	pikapriya	fiction	18456	255-1	SCH-fiction-3147_cases.xml
pikAkza	pika1ks2a	pikākṣa	pikākṣa	fiction	18457	255-1	SCH-fiction-3147_cases.xml
piNgA	pin3ga1	piṅgā	pingā	fiction	18463	255-1	SCH-fiction-3147_cases.xml
piNgARaka	pin3ga1n2aka	piṅgāṇaka	pingānaka	fiction	18464	255-1	SCH-fiction-3147_cases.xml
picaRqa	pican2d2a	picaṇḍa	picanḍa	fiction	18469	255-1	SCH-fiction-3147_cases.xml
picavya	picavya	picavya	picavya	fiction	18470	255-1	SCH-fiction-3147_cases.xml
piculikA	piculika1	piculikā	piculikā	fiction	18471	255-1	SCH-fiction-3147_cases.xml
piccawa	piccat2a	piccaṭa	piccaṭa	fiction	18473	255-1	SCH-fiction-3147_cases.xml
piccita	piccita	piccita	piccita	fiction	18474	255-1	SCH-fiction-3147_cases.xml
picColA	picchola1	piccholā	piccholā	fiction	18476	255-1	SCH-fiction-3147_cases.xml
piYculikA	pin5culika1	piñculikā	pinculikā	fiction	18477	255-2	SCH-fiction-3147_cases.xml
piYjana	pin5jana	piñjana	pinjana	fiction	18480	255-2	SCH-fiction-3147_cases.xml
piYjUza	pin5ju1s2a	piñjūṣa	pinjūṣa	fiction	18482	255-2	SCH-fiction-3147_cases.xml
piRqaka	pin2d2aka	piṇḍaka	pinḍaka	fiction	18486	255-2	SCH-fiction-3147_cases.xml
piRqaveRu	pin2d2aven2u	piṇḍaveṇu	pinḍavenu	fiction	18497	255-2	SCH-fiction-3147_cases.xml
piRqABra	pin2d2a1bhra	piṇḍābhra	pinḍābhra	fiction	18498	255-2	SCH-fiction-3147_cases.xml
piRqAraka	pin2d2a1raka	piṇḍāraka	pinḍāraka	fiction	18500	255-2	SCH-fiction-3147_cases.xml
piRqI	pin2d2i1	piṇḍī	pinḍī	fiction	18505	255-3	SCH-fiction-3147_cases.xml
piRqItagara	pin2d2i1tagara	piṇḍītagara	pinḍītagara	fiction	18506	255-3	SCH-fiction-3147_cases.xml
piRqISUra	pin2d2i1s4u1ra	piṇḍīśūra	pinḍīśūra	fiction	18511	255-3	SCH-fiction-3147_cases.xml
piRqolikA	pin2d2olika1	piṇḍolikā	pinḍolikā	fiction	18514	255-3	SCH-fiction-3147_cases.xml
pitfgfha	pitr2gr2ha	pitṛgṛha	pitṛgṛha	fiction	18520	255-3	SCH-fiction-3147_cases.xml
pitfprasU	pitr2prasu1	pitṛprasū	pitṛprasū	fiction	18522	255-3	SCH-fiction-3147_cases.xml
pitfmandira	pitr2mandira	pitṛmandira	pitṛmandira	fiction	18523	255-3	SCH-fiction-3147_cases.xml
pipIlikotkiraRa	pipi1likotkiran2a	pipīlikotkiraṇa	pipīlikotkirana	fiction	18540	256-1	SCH-fiction-3147_cases.xml
piSAcakin	pis4a1cakin	piśācakin	piśācakin	fiction	18549	256-1	SCH-fiction-3147_cases.xml
piSAcadIpikA	pis4a1cadi1pika1	piśācadīpikā	piśācadīpikā	fiction	18550	256-1	SCH-fiction-3147_cases.xml
pizwAtaka	pis2t2a1taka	piṣṭātaka	piṣṭātaka	fiction	18567	256-2	SCH-fiction-3147_cases.xml
pIWamarda	pi1t2hamarda	pīṭhamarda	pīṭhamarda	fiction	18573	256-2	SCH-fiction-3147_cases.xml
pIWI	pi1t2hi1	pīṭhī	pīṭhī	fiction	18575	256-2	SCH-fiction-3147_cases.xml
pIqita	pi1d2ita	pīḍita	pīḍita	fiction	18581	256-3	SCH-fiction-3147_cases.xml
pItana	pi1tana	pītana	pītana	fiction	18584	256-3	SCH-fiction-3147_cases.xml
pItapAda	pi1tapa1da	pītapāda	pītapāda	fiction	18585	256-3	SCH-fiction-3147_cases.xml
pItapAdA	pi1tapa1da1	pītapādā	pītapādā	fiction	18586	256-3	SCH-fiction-3147_cases.xml
pItarakta	pi1tarakta	pītarakta	pītarakta	fiction	18588	256-3	SCH-fiction-3147_cases.xml
pItarAga	pi1tara1ga	pītarāga	pītarāga	fiction	18590	256-3	SCH-fiction-3147_cases.xml
pIlupati	pi1lupati	pīlupati	pīlupati	fiction	18602	257-1	SCH-fiction-3147_cases.xml
puwaka	put2aka	puṭaka	puṭaka	fiction	18616	257-1	SCH-fiction-3147_cases.xml
puwaBeda	put2abheda	puṭabheda	puṭabheda	fiction	18620	257-1	SCH-fiction-3147_cases.xml
puRaka	Pun2aka	puṇaka	punaka	fiction	18623	257-1	SCH-fiction-3147_cases.xml
puRqarIka	pun2d2ari1ka	puṇḍarīka	punḍarīka	fiction	18625	257-2	SCH-fiction-3147_cases.xml
puRqra	pun2d2ra	puṇḍra	punḍra	fiction	18631	257-2	SCH-fiction-3147_cases.xml
putraka	putraka	putraka	putraka	fiction	18647	257-3	SCH-fiction-3147_cases.xml
putraMjIva	putram2ji1va	putraṃjīva	putranjīva	fiction	18649	257-3	SCH-fiction-3147_cases.xml
punarBava	punarbhava	punarbhava	punarbhava	fiction	18665	257-3	SCH-fiction-3147_cases.xml
purARadvitIyA	pura1n2adviti1ya1	purāṇadvitīyā	purānadvitīyā	fiction	18705	258-2	SCH-fiction-3147_cases.xml
purudaMSas	purudam2s4as	purudaṃśas	purudanśas	fiction	18712	258-2	SCH-fiction-3147_cases.xml
pulakin	pulakin	pulakin	pulakin	fiction	18743	258-3	SCH-fiction-3147_cases.xml
pulasti	Pulasti	pulasti	pulasti	fiction	18745	258-3	SCH-fiction-3147_cases.xml
pulAka	pula1ka	pulāka	pulāka	fiction	18746	258-3	SCH-fiction-3147_cases.xml
pulAyita	pula1yita	pulāyita	pulāyita	fiction	18747	258-3	SCH-fiction-3147_cases.xml
pulomatanayA	Pulomatanaya1	pulomatanayā	pulomatanayā	fiction	18752	259-1	SCH-fiction-3147_cases.xml
pulla	pulla	pulla	pulla	fiction	18755	259-1	SCH-fiction-3147_cases.xml
puzkara	pus2kara	puṣkara	puṣkara	fiction	18757	259-1	SCH-fiction-3147_cases.xml
puzpaPala	pus2paphala	puṣpaphala	puṣpaphala	fiction	18778	259-2	SCH-fiction-3147_cases.xml
puzparasa	pus2parasa	puṣparasa	puṣparasa	fiction	18784	259-2	SCH-fiction-3147_cases.xml
puzpalih	pus2palih	puṣpalih	puṣpalih	fiction	18786	259-2	SCH-fiction-3147_cases.xml
puzpaSara	pus2pas4ara	puṣpaśara	puṣpaśara	fiction	18791	259-2	SCH-fiction-3147_cases.xml
puzpAstra	pus2pa1stra	puṣpāstra	puṣpāstra	fiction	18802	259-3	SCH-fiction-3147_cases.xml
pUgatiTi	pu1gatithi	pūgatithi	pūgatithi	fiction	18811	259-3	SCH-fiction-3147_cases.xml
pUgaPala	pu1gaphala	pūgaphala	pūgaphala	fiction	18812	259-3	SCH-fiction-3147_cases.xml
pUtanA	pu1tana1	pūtanā	pūtanā	fiction	18818	260-1	SCH-fiction-3147_cases.xml
pUpikA	pu1pika1	pūpikā	pūpikā	fiction	18830	260-1	SCH-fiction-3147_cases.xml
pUraRadvitIyA	pu1ran2adviti1ya1	pūraṇadvitīyā	pūranadvitīyā	fiction	18832	260-1	SCH-fiction-3147_cases.xml
pUrowi	pu1rot2i	pūroṭi	pūroṭi	fiction	18837	260-1	SCH-fiction-3147_cases.xml
pUrvaMgama	pu1rvam2gama	pūrvaṃgama	pūrvangama	fiction	18855	260-2	SCH-fiction-3147_cases.xml
pUrvasara	pu1rvasara	pūrvasara	pūrvasara	fiction	18869	260-3	SCH-fiction-3147_cases.xml
pUrvAnta	pu1rva1nta	pūrvānta	pūrvānta	fiction	18871	260-3	SCH-fiction-3147_cases.xml
pfTivIkftsna	pr2thivi1kr2tsna	pṛthivīkṛtsna	pṛthivīkṛtsna	fiction	18891	261-1	SCH-fiction-3147_cases.xml
pfzatA	pr2s2ata1	pṛṣatā	pṛṣatā	fiction	18906	261-1	SCH-fiction-3147_cases.xml
pfzwimAMsAdana	pr2s2t2ima1msa1dana	pṛṣṭimāṃsādana	pṛṣṭimānsādana	fiction	18913	261-1	SCH-fiction-3147_cases.xml
pfzWatoBAvam	pr2s2t2hatobha1vam	pṛṣṭhatobhāvam	pṛṣṭhatobhāvam	fiction	18918	261-2	SCH-fiction-3147_cases.xml
pfzWavAhya	pr2s2t2hava1hya	pṛṣṭhavāhya	pṛṣṭhavāhya	fiction	18921	261-2	SCH-fiction-3147_cases.xml
pfzWI	pr2s2t2hi1	pṛṣṭhī	pṛṣṭhī	fiction	18923	261-2	SCH-fiction-3147_cases.xml
pecakin	pecakin	pecakin	pecakin	fiction	18926	261-2	SCH-fiction-3147_cases.xml
pewa	pet2a	peṭa	peṭa	fiction	18927	261-2	SCH-fiction-3147_cases.xml
peyAlam	peya1lam	peyālam	peyālam	fiction	18935	261-2	SCH-fiction-3147_cases.xml
peluvAsa	peluva1sa	peluvāsa	peluvāsa	fiction	18938	261-2	SCH-fiction-3147_cases.xml
peSI	pes4i1	peśī	peśī	fiction	18942	261-3	SCH-fiction-3147_cases.xml
pElottika	pailottika	pailottika	pailottika	fiction	18946	261-3	SCH-fiction-3147_cases.xml
pEzwI	pais2t2i1	paiṣṭī	paiṣṭī	fiction	18950	261-3	SCH-fiction-3147_cases.xml
pogaRqa	pogan2d2a	pogaṇḍa	poganḍa	fiction	18952	261-3	SCH-fiction-3147_cases.xml
powagala	pot2agala	poṭagala	poṭagala	fiction	18955	261-3	SCH-fiction-3147_cases.xml
pota	pota	pota	pota	fiction	18958	261-3	SCH-fiction-3147_cases.xml
popPala	popphala	popphala	popphala	fiction	18964	262-1	SCH-fiction-3147_cases.xml
poza	pos2a	poṣa	poṣa	fiction	18965	262-1	SCH-fiction-3147_cases.xml
pOtava	pautava	pautava	pautava	fiction	18974	262-1	SCH-fiction-3147_cases.xml
pOrvapadika	paurvapadika	paurvapadika	paurvapadika	fiction	18988	262-2	SCH-fiction-3147_cases.xml
prakIrRaka	praki1rn2aka	prakīrṇaka	prakīrnaka	fiction	19014	262-3	SCH-fiction-3147_cases.xml
prakraya	prakraya	prakraya	prakraya	fiction	19022	262-3	SCH-fiction-3147_cases.xml
prakzara	praks2ara	prakṣara	prakṣara	fiction	19025	262-3	SCH-fiction-3147_cases.xml
prakzepaRI	praks2epan2i1	prakṣepaṇī	prakṣepanī	fiction	19030	262-3	SCH-fiction-3147_cases.xml
prakzveqana	praks2ved2ana	prakṣveḍana	prakṣveḍana	fiction	19031	262-3	SCH-fiction-3147_cases.xml
pracCadapawa	pracchadapat2a	pracchadapaṭa	pracchadapaṭa	fiction	19068	263-2	SCH-fiction-3147_cases.xml
pracCanA	pracchana1	pracchanā	pracchanā	fiction	19069	263-2	SCH-fiction-3147_cases.xml
prajava	prajava	prajava	prajava	fiction	19076	263-2	SCH-fiction-3147_cases.xml
prajApati	praja1pati	prajāpati	prajāpati	fiction	19080	263-2	SCH-fiction-3147_cases.xml
prajYAcandra	Prajn5a1candra	prajñācandra	prajnācandra	fiction	19089	263-3	SCH-fiction-3147_cases.xml
prajYu	prajn5u	prajñu	prajnu	fiction	19093	263-3	SCH-fiction-3147_cases.xml
praRAla	pran2a1la	praṇāla	pranāla	fiction	19102	263-3	SCH-fiction-3147_cases.xml
praRItavijYApana	pran2i1tavijn5a1pana	praṇītavijñāpana	pranītavijnāpana	fiction	19106	263-3	SCH-fiction-3147_cases.xml
pratarkaRa	pratarkan2a	pratarkaṇa	pratarkana	fiction	19116	264-1	SCH-fiction-3147_cases.xml
pratAninI	prata1nini1	pratāninī	pratāninī	fiction	19120	264-1	SCH-fiction-3147_cases.xml
pratikruzwa	pratikrus2t2a	pratikruṣṭa	pratikruṣṭa	fiction	19137	264-2	SCH-fiction-3147_cases.xml
pratigraha	pratigraha	pratigraha	pratigraha	fiction	19146	264-2	SCH-fiction-3147_cases.xml
pratiGa	pratigha	pratigha	pratigha	fiction	19149	264-2	SCH-fiction-3147_cases.xml
praticArin	pratica1rin	praticārin	praticārin	fiction	19152	264-2	SCH-fiction-3147_cases.xml
praticCandakalyARa	praticchandakalya1n2a	praticchandakalyāṇa	praticchandakalyāna	fiction	19154	264-2	SCH-fiction-3147_cases.xml
pratitAqitavya	pratita1d2itavya	pratitāḍitavya	pratitāḍitavya	fiction	19163	264-3	SCH-fiction-3147_cases.xml
pratidivan	pratidivan	pratidivan	pratidivan	fiction	19167	264-3	SCH-fiction-3147_cases.xml
pratideSanIya	pratides4ani1ya	pratideśanīya	pratideśanīya	fiction	19171	264-3	SCH-fiction-3147_cases.xml
pratiniHsfjya	pratini[h2]sr2jya	pratiniḥsṛjya	pratiniḥsṛjya	fiction	19187	265-1	SCH-fiction-3147_cases.xml
pratipad	pratipad	pratipad	pratipad	fiction	19195	265-1	SCH-fiction-3147_cases.xml
pratipraSrabDi	pratipras4rabdhi	pratipraśrabdhi	pratipraśrabdhi	fiction	19214	265-2	SCH-fiction-3147_cases.xml
pratimantrayitavya	pratimantrayitavya	pratimantrayitavya	pratimantrayitavya	fiction	19235	265-3	SCH-fiction-3147_cases.xml
pratimA	pratima1	pratimā	pratimā	fiction	19241	265-3	SCH-fiction-3147_cases.xml
pratirozitavya	pratiros2itavya	pratiroṣitavya	pratiroṣitavya	fiction	19259	266-1	SCH-fiction-3147_cases.xml
prativahana	prativahana	prativahana	prativahana	fiction	19276	266-1	SCH-fiction-3147_cases.xml
prativARi	prativa1n2i	prativāṇi	prativāni	fiction	19277	266-1	SCH-fiction-3147_cases.xml
pratisaMvinniScayAvatArA	pratisam2vinnis4caya1vata1ra1	pratisaṃvinniścayāvatārā	pratisanvinniścayāvatārā	fiction	19303	266-2	SCH-fiction-3147_cases.xml
pratisaMstara	pratisam2stara	pratisaṃstara	pratisanstara	fiction	19307	266-3	SCH-fiction-3147_cases.xml
pratisaMharaRIya	pratisam2haran2i1ya	pratisaṃharaṇīya	pratisanharanīya	fiction	19308	266-3	SCH-fiction-3147_cases.xml
pratisIrA	pratisi1ra1	pratisīrā	pratisīrā	fiction	19320	266-3	SCH-fiction-3147_cases.xml
pratihAraka	pratiha1raka	pratihāraka	pratihāraka	fiction	19332	267-1	SCH-fiction-3147_cases.xml
pratIpadarSinI	prati1padars4ini1	pratīpadarśinī	pratīpadarśinī	fiction	19340	267-1	SCH-fiction-3147_cases.xml
pratyantajanapada	pratyantajanapada	pratyantajanapada	pratyantajanapada	fiction	19364	267-2	SCH-fiction-3147_cases.xml
pratyavekzaRA	pratyaveks2an2a1	pratyavekṣaṇā	pratyavekṣanā	fiction	19375	267-2	SCH-fiction-3147_cases.xml
pratyAkAra	pratya1ka1ra	pratyākāra	pratyākāra	fiction	19377	267-3	SCH-fiction-3147_cases.xml
pratyAkrozwavya	pratya1kros2t2avya	pratyākroṣṭavya	pratyākroṣṭavya	fiction	19379	267-3	SCH-fiction-3147_cases.xml
pratyudDAra	pratyuddha1ra	pratyuddhāra	pratyuddhāra	fiction	19401	267-3	SCH-fiction-3147_cases.xml
pratyudyAna	pratyudya1na	pratyudyāna	pratyudyāna	fiction	19402	268-1	SCH-fiction-3147_cases.xml
pratyeka	pratyeka	pratyeka	pratyeka	fiction	19407	268-1	SCH-fiction-3147_cases.xml
pradyotana	pradyotana	pradyotana	pradyotana	fiction	19436	268-2	SCH-fiction-3147_cases.xml
praDAna	pradha1na	pradhāna	pradhāna	fiction	19438	268-2	SCH-fiction-3147_cases.xml
praDi	pradhi	pradhi	pradhi	fiction	19448	268-3	SCH-fiction-3147_cases.xml
prapaYca	prapan5ca	prapañca	prapanca	fiction	19454	268-3	SCH-fiction-3147_cases.xml
prapAwikA	prapa1t2ika1	prapāṭikā	prapāṭikā	fiction	19458	268-3	SCH-fiction-3147_cases.xml
prapAtin	prapa1tin	prapātin	prapātin	fiction	19460	268-3	SCH-fiction-3147_cases.xml
praBid	prabhid	prabhid	prabhid	fiction	19486	269-1	SCH-fiction-3147_cases.xml
praBUzRu	prabhu1s2n2u	prabhūṣṇu	prabhūṣnu	fiction	19489	269-1	SCH-fiction-3147_cases.xml
pramAdavant	prama1davant	pramādavant	pramādavant	fiction	19499	269-1	SCH-fiction-3147_cases.xml
pramokzaka	pramoks2aka	pramokṣaka	pramokṣaka	fiction	19509	269-2	SCH-fiction-3147_cases.xml
pralamPana	pralamphana	pralamphana	pralamphana	fiction	19527	269-3	SCH-fiction-3147_cases.xml
pralamba	pralamba	pralamba	pralamba	fiction	19528	269-3	SCH-fiction-3147_cases.xml
pravaRa	pravan2a	pravaṇa	pravana	fiction	19535	269-3	SCH-fiction-3147_cases.xml
pravAritArTAtisevA	prava1rita1rtha1tiseva1	pravāritārthātisevā	pravāritārthātisevā	fiction	19550	270-1	SCH-fiction-3147_cases.xml
pravAsanIya	prava1sani1ya	pravāsanīya	pravāsanīya	fiction	19555	270-1	SCH-fiction-3147_cases.xml
pravijahya	pravijahya	pravijahya	pravijahya	fiction	19565	270-1	SCH-fiction-3147_cases.xml
pravIqa	pravi1d2a	pravīḍa	pravīḍa	fiction	19578	270-2	SCH-fiction-3147_cases.xml
pravezwa	praves2t2a	praveṣṭa	praveṣṭa	fiction	19587	270-2	SCH-fiction-3147_cases.xml
praSaWa	pras4at2ha	praśaṭha	praśaṭha	fiction	19594	270-3	SCH-fiction-3147_cases.xml
praSAntaviniScayaprAtihAryanirdeSa	Pras4a1ntavinis4cayapra1tiha1ryanirdes4a	praśāntaviniścayaprātihāryanirdeśa	praśāntaviniścayaprātihāryanirdeśa	fiction	19598	270-3	SCH-fiction-3147_cases.xml
prazWOhI	pras2t2hauhi1	praṣṭhauhī	praṣṭhauhī	fiction	19607	270-3	SCH-fiction-3147_cases.xml
prasavaka	prasavaka	prasavaka	prasavaka	fiction	19624	271-1	SCH-fiction-3147_cases.xml
prasavitrI	prasavitri1	prasavitrī	prasavitrī	fiction	19630	271-1	SCH-fiction-3147_cases.xml
prasftA	prasr2ta1	prasṛtā	prasṛtā	fiction	19655	271-2	SCH-fiction-3147_cases.xml
prasTAna	prastha1na	prasthāna	prasthāna	fiction	19668	271-2	SCH-fiction-3147_cases.xml
prasPowana	prasphot2ana	prasphoṭana	prasphoṭana	fiction	19675	271-3	SCH-fiction-3147_cases.xml
prasrAvakaraRa	prasra1vakaran2a	prasrāvakaraṇa	prasrāvakarana	fiction	19677	271-3	SCH-fiction-3147_cases.xml
prahata	prahata	prahata	prahata	fiction	19680	271-3	SCH-fiction-3147_cases.xml
prAkArAgra	pra1ka1ra1gra	prākārāgra	prākārāgra	fiction	19696	271-3	SCH-fiction-3147_cases.xml
prAtilamBika	pra1tilambhika	prātilambhika	prātilambhika	fiction	19749	272-3	SCH-fiction-3147_cases.xml
prAdeSana	pra1des4ana	prādeśana	prādeśana	fiction	19766	272-3	SCH-fiction-3147_cases.xml
prAyaScittika	pra1yas4cittika	prāyaścittika	prāyaścittika	fiction	19788	273-1	SCH-fiction-3147_cases.xml
prAlamba	pra1lamba	prālamba	prālamba	fiction	19793	273-1	SCH-fiction-3147_cases.xml
prAlambaka	pra1lambaka	prālambaka	prālambaka	fiction	19794	273-1	SCH-fiction-3147_cases.xml
prAvaraRIya	pra1varan2i1ya	prāvaraṇīya	prāvaranīya	fiction	19799	273-2	SCH-fiction-3147_cases.xml
prAsAdivArika	pra1sa1diva1rika	prāsādivārika	prāsādivārika	fiction	19817	273-2	SCH-fiction-3147_cases.xml
prAhavanIya	pra1havani1ya	prāhavanīya	prāhavanīya	fiction	19822	273-2	SCH-fiction-3147_cases.xml
priyamaDu	priyamadhu	priyamadhu	priyamadhu	fiction	19827	273-3	SCH-fiction-3147_cases.xml
prI	pri1	prī	prī	fiction	19841	273-3	SCH-fiction-3147_cases.xml
preza	pres2a	preṣa	preṣa	fiction	19864	274-1	SCH-fiction-3147_cases.xml
prEyaka	praiyaka	praiyaka	praiyaka	fiction	19865	274-1	SCH-fiction-3147_cases.xml
prOQiman	praud2himan	prauḍhiman	prauḍhiman	fiction	19890	274-2	SCH-fiction-3147_cases.xml
plakza	plaks2a	plakṣa	plakṣa	fiction	19891	274-3	SCH-fiction-3147_cases.xml
pluta	pluta	pluta	pluta	fiction	19899	274-3	SCH-fiction-3147_cases.xml
psAna	psa1na	psāna	psāna	fiction	19906	274-3	SCH-fiction-3147_cases.xml
PaNgA	phan3ga1	phaṅgā	phangā	fiction	19907	274a-1	SCH-fiction-3147_cases.xml
PaRikesara	phan2ikesara	phaṇikesara	phanikesara	fiction	19911	274a-1	SCH-fiction-3147_cases.xml
Paraka	pharaka	pharaka	pharaka	fiction	19916	274a-2	SCH-fiction-3147_cases.xml
PalAmla	phala1mla	phalāmla	phalāmla	fiction	19928	274a-3	SCH-fiction-3147_cases.xml
PalASana	phala1s4ana	phalāśana	phalāśana	fiction	19930	275-1	SCH-fiction-3147_cases.xml
Palguna	phalguna	phalguna	phalguna	fiction	19935	275-1	SCH-fiction-3147_cases.xml
Pull	[phull]	phull	phull	fiction	19949	275-2	SCH-fiction-3147_cases.xml
PelA	phela1	phelā	phelā	fiction	19960	275-3	SCH-fiction-3147_cases.xml
baMhiman	bam2himan	baṃhiman	banhiman	fiction	19962	275-3	SCH-fiction-3147_cases.xml
baka	baka	baka	baka	fiction	19965	275-3	SCH-fiction-3147_cases.xml
bakUla	baku1la	bakūla	bakūla	fiction	19973	275-3	SCH-fiction-3147_cases.xml
baqiSa	bad2is4a	baḍiśa	baḍiśa	fiction	19981	275-3	SCH-fiction-3147_cases.xml
baDva	Badhva	badhva	badhva	fiction	19996	275-3	SCH-fiction-3147_cases.xml
banDakI	bandhaki1	bandhakī	bandhakī	fiction	20005	276-1	SCH-fiction-3147_cases.xml
banDanAgAra	bandhana1ga1ra	bandhanāgāra	bandhanāgāra	fiction	20009	276-1	SCH-fiction-3147_cases.xml
banDanI	bandhani1	bandhanī	bandhanī	fiction	20010	276-1	SCH-fiction-3147_cases.xml
banDi	Bandhi	bandhi	bandhi	fiction	20014	276-1	SCH-fiction-3147_cases.xml
banDura	bandhura	bandhura	bandhura	fiction	20019	276-2	SCH-fiction-3147_cases.xml
bappIha	bappi1ha	bappīha	bappīha	fiction	20027	276-2	SCH-fiction-3147_cases.xml
bamBara	bambhara	bambhara	bambhara	fiction	20037	276-2	SCH-fiction-3147_cases.xml
bariSI	baris4i1	bariśī	bariśī	fiction	20039	276-2	SCH-fiction-3147_cases.xml
barIvarda	bari1varda	barīvarda	barīvarda	fiction	20040	276-2	SCH-fiction-3147_cases.xml
barkara	barkara	barkara	barkara	fiction	20041	276-2	SCH-fiction-3147_cases.xml
bal	bal	bal	bal	fiction	20049	276-3	SCH-fiction-3147_cases.xml
balaBadra	balabhadra	balabhadra	balabhadra	fiction	20054	276-3	SCH-fiction-3147_cases.xml
balala	balala	balala	balala	fiction	20056	276-3	SCH-fiction-3147_cases.xml
balavipulahetumati	Balavipulahetumati	balavipulahetumati	balavipulahetumati	fiction	20060	276-3	SCH-fiction-3147_cases.xml
balavyUha	balavyu1ha	balavyūha	balavyūha	fiction	20062	276-3	SCH-fiction-3147_cases.xml
balAkikA	bala1kika1	balākikā	balākikā	fiction	20064	276-3	SCH-fiction-3147_cases.xml
baliSa	balis4a	baliśa	baliśa	fiction	20083	277-1	SCH-fiction-3147_cases.xml
baliSi	balis4i	baliśi	baliśi	fiction	20084	277-1	SCH-fiction-3147_cases.xml
balisadman	Balisadman	balisadman	balisadman	fiction	20085	277-1	SCH-fiction-3147_cases.xml
bazkayARI	bas2kaya1n2i1	baṣkayāṇī	baṣkayānī	fiction	20090	277-1	SCH-fiction-3147_cases.xml
