id,headword,de,en,human_label,notes
42,avadhā,"<div n=""p"">— {#ava#} <div n=""1""> 1) {%einlegen, einstecken, einschieben%}; gewöhnlich und in den älteren Texten {%eintauchen, unter das Wasser%} (oder eine andere Flüssigkeit) {%bringen%}: {#na mA^ garanna\dyo^ mA\tfta^mA dA\sA yadI\M susa^mubDama\vADu^H#} <ls>ṚV. 1,158,5.</ls> {#davi^Dvato ra\Smaya\H sUrya^sya\ carme\vAvA^Du\stamo^ a\psva1^\ntaH#} <ls n=""ṚV."">4,13,4.</ls> {#u\ta de^vA\ ava^hita\M devA\ unna^yaTA\ puna^H#} {%den in's Wasser gefallenen%} <ls n=""ṚV."">10,137,1.</ls> {#A si^Ycoda\kamava^ Dehyenam#} ({#ajam#}) <ls>AV. 9,5,5.</ls> <ls n=""AV."">12,5,30.</ls> {#yAM te^ kf\tyAM kUpe^ 'vada\DuH#} <ls n=""AV."">5,31,8.</ls> <ls>ṚV. 1,105,17.</ls> <ls>ŚAT. BR. 2,5,2,17.</ls> <ls n=""ŚAT. BR."">3,2,4,8.</ls> <ls n=""ŚAT. BR. 3,"">8,2,26.</ls> {#lavaRametadudake 'vaDAya, avaDAH#} <ls>CHĀND. UP. 6,13,1.</ls> — {#SvaBre mftpiRqam#} <ls>KĀTY. ŚR. 16,2,2.</ls> <ls n=""KĀTY. ŚR."">6,7,13.</ls> {#hiraRmayyorha kuSyorantaravahita Asa#} <ls>ŚAT. BR. 3,6,2,9.</ls> {#yaTA kzuraH kzuraDAne 'vahitaH#} <ls n=""ŚAT. BR."">14,4,2,16.</ls> {#garte#} <ls>ĀŚV. GṚHY. 4,5.</ls> <ls>ŚĀṄKH. ŚR. 17,10,9.</ls> {#tatastAMstezu kuRqezu garBAnavadaDe tadA#} <ls>MBH. 1,4503.</ls> {#yaTA hyavahito vahnirdAruzvekaH svayonizu . nAneva BAti viSvAtmA BUtezu ca taTA pumAn ..#} {%steckend in, eingeschlossen in%} <ls>BHĀG. P. 1,2,32.</ls> {#hfdaye 'vaDAya#} {%in's Herz schliessend%} <ls n=""BHĀG. P."">3,5,41.</ls> {#vAsudevaH svamAyayAtmanyavaDIyamAnaH#} <ls n=""BHĀG. P."">5,11,13.</ls>","<div n=""p"">— {#ava#}
<div n=""1""> 1) to insert, to put in, to push in; commonly and in the older texts to immerse, to bring under water (or another liquid): {#na mA^ garanna\dyo^ mA\tfta^mA dA\sA yadI\M susa^mubDama\vADu^H#}
<ls>ṚV. 1,158,5.</ls> {#davi^Dvato ra\Smaya\H sUrya^sya\ carme\vAvA^Du\stamo^ a\psva1^\ntaH#}
<ls n=""ṚV."">4,13,4.</ls> {#u\ta de^vA\ ava^hita\M devA\ unna^yaTA\ puna^H#} the one fallen into the water
<ls n=""ṚV."">10,137,1.</ls> {#A si^Ycoda\kamava^ Dehyenam#} ({#ajam#})
<ls>AV. 9,5,5.</ls> <ls n=""AV."">12,5,30.</ls> {#yAM te^ kf\tyAM kUpe^ 'vada\DuH#}
<ls n=""AV."">5,31,8.</ls> <ls>ṚV. 1,105,17.</ls> <ls>ŚAT. BR. 2,5,2,17.</ls> <ls n=""ŚAT. BR."">3,2,4,8.</ls> <ls n=""ŚAT. BR. 3,"">8,2,26.</ls> {#lavaRametadudake 'vaDAya, avaDAH#}
<ls>CHĀND. UP. 6,13,1.</ls> — {#SvaBre mftpiRqam#}
<ls>KĀTY. ŚR. 16,2,2.</ls> <ls n=""KĀTY. ŚR."">6,7,13.</ls> {#hiraRmayyorha kuSyorantaravahita Asa#}
<ls>ŚAT. BR. 3,6,2,9.</ls> {#yaTA kzuraH kzuraDAne 'vahitaH#}
<ls n=""ŚAT. BR."">14,4,2,16.</ls> {#garte#}
<ls>ĀŚV. GṚHY. 4,5.</ls>
<ls>ŚĀṄKH. ŚR. 17,10,9.</ls> {#tatastAMstezu kuRqezu garBAnavadaDe tadA#}
<ls>MBH. 1,4503.</ls> {#yaTA hyavahito vahnirdAruzvekaH svayonizu . nAneva BAti viSvAtmA BUtezu ca taTA pumAn ..#} stuck in, enclosed in
<ls>BHĀG. P. 1,2,32.</ls> {#hfdaye 'vaDAya#} enclosing in the heart
<ls n=""BHĀG. P."">3,5,41.</ls> {#vAsudevaH svamAyayAtmanyavaDIyamAnaH#}
<ls n=""BHĀG. P."">5,11,13.</ls>",,
43,vraj,"<div n=""p"">— {#A#}
<div n=""1""> 1) {%herbeikommen, hinschreiten zu%}: {#kumAramAdAyAvavrAja#}
<ls>ŚAT. BR. 11,5,1,13.</ls> <ls n=""ŚAT. BR."">14,6,10,1.</ls>
<ls>LĀṬY. 2,1,9.</ls> {#dunduBim#}
<ls n=""LĀṬY."">3,10,17.</ls> {#parizadam#}
<ls>KAUŚ. 38. fg.</ls> {#Avrajita#}
<ls n=""KAUŚ."">32. 34.</ls> {#surAkarmasvAvrAjamAsIta#} ({#AvrajyAvrajya#} <ab>Comm.</ab>)
<ls>LĀṬY. 5,4,11. 8,10.</ls> {#pratyudramya tvAvrajataH#} {%herankommend%}
<ls>M. 2,196.</ls> {#yadyanyo 'tiTirAvrajet#}
<ls n=""M."">3,108.</ls> <ls>YĀJÑ. 1,65.</ls> <ls>MBH. 3,10081.</ls> <ls n=""MBH."">4,1209.</ls> {#gfham#} {%kommen in%}
<ls>M. 3,111.</ls> {#kASyam#} {%kommen —, sich begeben zu%}
<ls>KAUṢ. UP. 4,1.</ls>
<ls>MBH. 3,2277.</ls> <ls n=""MBH."">4,215.</ls>
<ls>BHĀG. P. 3,19,24.</ls> {#upadrazwAram#}
<ls>NṚS. TĀP. UP.</ls> in <ls>Ind. St. 9,166.</ls> {#pOruzIM gatim#} {%gelangen zu%}
<ls>BHĀG. P. 8,22,25.</ls>","<div n=""p"">— {#A#}
<div n=""1""> 1) to come near, to stride towards: {#kumAramAdAyAvavrAja#}
<ls>ŚAT. BR. 11,5,1,13.</ls> <ls n=""ŚAT. BR."">14,6,10,1.</ls>
<ls>LĀṬY. 2,1,9.</ls> {#dunduBim#}
<ls n=""LĀṬY."">3,10,17.</ls> {#parizadam#}
<ls>KAUŚ. 38. fg.</ls> {#Avrajita#}
<ls n=""KAUŚ."">32. 34.</ls> {#surAkarmasvAvrAjamAsIta#} ({#AvrajyAvrajya#} <ab>Comm.</ab>)
<ls>LĀṬY. 5,4,11. 8,10.</ls> {#pratyudramya tvAvrajataH#} approaching
<ls>M. 2,196.</ls> {#yadyanyo 'tiTirAvrajet#}
<ls n=""M."">3,108.</ls> <ls>YĀJÑ. 1,65.</ls> <ls>MBH. 3,10081.</ls> <ls n=""MBH."">4,1209.</ls> {#gfham#} to come into
<ls>M. 3,111.</ls> {#kASyam#} to come — , to betake oneself to
<ls>KAUṢ. UP. 4,1.</ls>
<ls>MBH. 3,2277.</ls> <ls n=""MBH."">4,215.</ls>
<ls>BHĀG. P. 3,19,24.</ls> {#upadrazwAram#}
<ls>NṚS. TĀP. UP.</ls> in <ls>Ind. St. 9,166.</ls> {#pOruzIM gatim#} to arrive at
<ls>BHĀG. P. 8,22,25.</ls>",,
44,vraj (pratyud-ā),"<div n=""p"">— {#pratyudA#} {%nach der entgegengesetzten Richtung schreiten%}
<ls>KAUŚ. 68. 140.</ls>","<div n=""p"">— {#pratyudA#} to stride in the opposite direction
<ls>KAUŚ. 68. 140.</ls>",,
45,samapidhā,"<div n=""p"">— {#samapi#} {%ganz zudecken%}: {#imAM lokAnsarvataH samapiDAya#} <ls>ŚAT. BR. 8,6,1,23.</ls>","<div n=""p"">— {#samapi#} to cover completely: {#imAM lokAnsarvataH samapiDAya#}
<ls>ŚAT. BR. 8,6,1,23.</ls>",,
46,anusamdhā,"<div n=""1""> 2) <ls>Spr. 2894.</ls> — <ab>desid.</ab> {%Etwas zu erreichen suchen, einer Sache nachgehen%}: {#ekamanusaMDitsato 'paraM pracyavate#} <ls>SARVADARŚANAS. 27,11. fg. 118,16.</ls>","<div n=""p"">— {#anusam#}
<div n=""1""> 2)
<ls>Spr. 2894.</ls> — <ab>desid.</ab> to seek to attain something, to pursue a matter: {#ekamanusaMDitsato 'paraM pracyavate#}
<ls>SARVADARŚANAS. 27,11. fg. 118,16.</ls>",,
47,dhā,"<div n=""1"">— 9〉 {%zurechtmachen, herbeischaffen%} <ls n=""Chr."">73,25</ls>.","<div n=""1"">— 9〉 to prepare, to procure <ls n=""Chr."">73,25</ls>.",,
48,udgā,"<div n=""p"">— {#ud#} {%Gesang anstimmen, singen%}; besonders von dem liturgischen Singen gebraucht, nach welchem einer der Priester <is>Udgātar</is> heisst. {#u\ta prAstO\ducca^ vi\dvA~ a^gAyat#}
<ls>ṚV. 10,67,3.</ls>
<ls>AV. 9,6,45.</ls>
<ls>ŚAT. BR. 13,2,3,2.</ls> <ls n=""ŚAT. BR."">14,4,1,3.</ls> <ls n=""ŚAT. BR. 14,"">9,3,9.</ls> <ls n=""ŚAT. BR."">4,3,4,26.</ls>
<ls>AIT. BR. 5,34.</ls> {#navaBiraDvaryurudgAyati#}
<ls>TS. 7,5,8,2.</ls>
<ls>LĀṬY. 2,6,2. 10,3. 6,10,8.</ls>
<ls>CHĀND. UP. 1,1,1. 10,10. 11,7.</ls> — {#udgAsyatAM kiMnarARAm#}
<ls>KUMĀRAS. 1,8.</ls> {#kvacidDasati — udgAyati kvacit#}
<ls>BHĀG. P. 7,4,39.</ls>
<ls>RĀJA-TAR. 5,370.</ls> {#geyamudgAtukAmA#}
<ls>MEGH. 84.</ls> {#gATAScirodgItAH (kaRqunA)#}
<ls>R. 5,91,7.</ls> {#tadetatte mayodgItaM yaTAtaTam#} {%verkündet%}
<ls>MBH. 6,2966.</ls> {#udgItametatparamaM tu brahma#} {%von den Weisen als das höchste%} Br. {%verkündet%}
<ls>ŚVETĀŚV. UP. 1,7.</ls> {%besingen%}: {#yaSaH svamuccErudgIyamAnaM vanadevatABiH#}
<ls>RAGH. 2,12.</ls>
<ls>PRAB. 3,14.</ls> {%vor Jmd%} (<ab>acc.</ab>) {%singen%}: {#(munim) udgIyamAnaM ganDarvEH#}
<ls>MĀRK. P. 18,23.</ls> {%mit Gesang erfüllen%}: {#haMsakAraRqavodgItAH (nadyaH)#}
<ls>MBH. 3,1535.</ls> {#udgIta#} <lex>n.</lex> {%Gesang%}: {#kiMnarodgItaBAziRI#}
<ls>MBH. 1,6569.</ls> im <is>Prākrit</is>: {#sa kAlo madavibBamuggIdARaM#}
<ls>ŚĀK. CH. 117,5.</ls>","<div n=""p"">— {#ud#} to intone a song, to sing; used especially of liturgical singing, on account of which one of the priests is called <is>Udgātar</is>. {#u\ta prAstO\ducca^ vi\dvA~ a^gAyat#}
<ls>ṚV. 10,67,3.</ls>
<ls>AV. 9,6,45.</ls>
<ls>ŚAT. BR. 13,2,3,2.</ls> <ls n=""ŚAT. BR."">14,4,1,3.</ls> <ls n=""ŚAT. BR. 14,"">9,3,9.</ls> <ls n=""ŚAT. BR."">4,3,4,26.</ls>
<ls>AIT. BR. 5,34.</ls> {#navaBiraDvaryurudgAyati#}
<ls>TS. 7,5,8,2.</ls>
<ls>LĀṬY. 2,6,2. 10,3. 6,10,8.</ls>
<ls>CHĀND. UP. 1,1,1. 10,10. 11,7.</ls> — {#udgAsyatAM kiMnarARAm#}
<ls>KUMĀRAS. 1,8.</ls> {#kvacidDasati — udgAyati kvacit#}
<ls>BHĀG. P. 7,4,39.</ls>
<ls>RĀJA-TAR. 5,370.</ls> {#geyamudgAtukAmA#}
<ls>MEGH. 84.</ls> {#gATAScirodgItAH (kaRqunA)#}
<ls>R. 5,91,7.</ls> {#tadetatte mayodgItaM yaTAtaTam#} proclaimed
<ls>MBH. 6,2966.</ls> {#udgItametatparamaM tu brahma#} proclaimed by the sages as the highest Br.
<ls>ŚVETĀŚV. UP. 1,7.</ls> to celebrate in song: {#yaSaH svamuccErudgIyamAnaM vanadevatABiH#}
<ls>RAGH. 2,12.</ls>
<ls>PRAB. 3,14.</ls> to sing before someone (<ab>acc.</ab>): {#(munim) udgIyamAnaM ganDarvEH#}
<ls>MĀRK. P. 18,23.</ls> to fill with song: {#haMsakAraRqavodgItAH (nadyaH)#}
<ls>MBH. 3,1535.</ls> {#udgIta#} <lex>n.</lex> song: {#kiMnarodgItaBAziRI#}
<ls>MBH. 1,6569.</ls> in <is>Prākrit</is>: {#sa kAlo madavibBamuggIdARaM#}
<ls>ŚĀK. CH. 117,5.</ls>",,
49,pā,"<div n=""2"">— c〉 <ls>MBH. 12,1722</ls> fehlerhaft für {#prIta#}; <ls>BHĀG. P. 7,9,32</ls> ist {#˚AtmanipItanidraH#} zu verbinden.","<div n=""2"">— c〉 <ls>MBH. 12,1722</ls> erroneously for {#prIta#}; <ls>BHĀG. P. 7,9,32</ls> is to be read with {#˚AtmanipItanidraH#}.",,
50,bhuj,"{#Buj#}¦
<div n=""1""> 1) füge bei {%das Haben, die Habe.%}
<ab>Z.</ab> 5 lies 5, 48, 4.","4. {#Buj#}¦
<div n=""1""> 1) add: possession, property.
<ab>Z.</ab> 5 read 5, 48, 4.",,
51,pratyabhidhā,"<div n=""p"">— {#pratyaBi#} <div n=""1""> 1) {%wieder an sich ziehen, — in sich zurückziehen%}: {#viSvam — pratyaBiDAsyati#} <ls>BHĀG. P. 3,7,4.</ls> <ab>Vgl.</ab> <ab>u.</ab> {#aBi#} 6.","<div n=""p"">— {#pratyaBi#}
<div n=""1""> 1) to draw back to oneself, to withdraw into oneself again: {#viSvam — pratyaBiDAsyati#}
<ls>BHĀG. P. 3,7,4.</ls> <ab>Vgl.</ab> <ab>u.</ab> {#aBi#}
6.",,
52,dhā,"<div n=""m"">— <ab>Intens.</ab> {#ni/deDyat#} (!) etwa {%sich festsetzen%}. <ls>VS. 6,20</ls> und <ls>MAITR. S. 1,2,17</ls> {#ni/dIDyvat#} (<ab>s. u.</ab> {#dIDi#}).","<div n=""m"">— <ab>Intens.</ab> {#ni/deDyat#} (!) perhaps to establish oneself, to settle. <ls>VS. 6,20</ls> and <ls>MAITR. S. 1,2,17</ls> {#ni/dIDyvat#} (<ab>s. u.</ab> {#dIDi#}).",,
53,avamad,"<div n=""p"">— {#ava#}, {#avamadan#}
<ls>KĀṬH. 25,7</ls> in <ls>Ind. St. 3,467,8</ls> wohl fehlerhaft für {#anumadan#} .","<div n=""p"">— {#ava#}, {#avamadan#}
<ls>KĀṬH. 25,7</ls> in <ls>Ind. St. 3,467,8</ls> probably erroneous for {#anumadan#}.",,
54,rakṣ,"<div n=""1"">— 2〉 {%in Acht nehmen,%} so <ab>v. a.</ab> {%nicht antasten%}.","<div n=""1"">— 2〉 to take heed of, thus <ab>v. a.</ab> not to touch.",,
55,yat,"{#ya#} [Buddh , unsp] [ yat khalu , or yaṃ khalu ] with a 2d (or polite 3d) person form of jñā (regularly opt.): please be informed; allow me to inform you. [ a courteous introduction to a statement made usually to a king or the like. Mvu ii.454.1 . ] BHSD : 442 (s.v. yat khalu )","25. [NWS: BHSD : 442 (s.v. yat khalu)] {#ya#} [Buddh, unsp] [yat khalu, or yaṃ khalu] with a 2nd (or polite 3rd) person form of jñā (regularly opt.): please be informed; allow me to inform you. [a courteous introduction to a statement made usually to a king or the like. Mvu ii.454.1.] BHSD: 442 (s.v. yat khalu).",,
56,saṃpra+vad,"<ls>Ind. St. 8,418.</ls>
<ls>P. 1,3,48</ls>, <ab>Sch.</ab>
<ls>VOP. 23,41.</ls> <ab>med.</ab> {%sich unterhalten%}: {#saMpravadante brAhmaRAH#} <ab>ebend.</ab> {#saMpravadamAnAjjanAt#}
<ls>BHAṬṬ. 8,28.</ls>","<ls>Ind. St. 8,418.</ls>
<ls>P. 1,3,48</ls>, <ab>Sch.</ab>
<ls>VOP. 23,41.</ls> <ab>med.</ab> to converse: {#saMpravadante brAhmaRAH#} <ab>ebend.</ab> {#saMpravadamAnAjjanAt#}
<ls>BHAṬṬ. 8,28.</ls>",,
57,parimad,"<div n=""p"">— {#pari#} <ab>s.</ab> {#parimAd#} <ab>fg.</ab>","<div n=""p"">— {#pari#} <ab>s.</ab> {#parimAd#} <ab>fg.</ab>",,
58,gā,"— 8〉 {%gehen, wandeln%} <ls>ṚV. 8,2,39</ls>. mit <ab>Acc.</ab> oder <ab>Instr.</ab> (<ls>ṚV. 8,5,39</ls>) des Weges.","— 8〉 to go, walk <ls>ṚV. 8,2,39</ls>. with <ab>Acc.</ab> or <ab>Instr.</ab> (<ls>ṚV. 8,5,39</ls>) of the way.",,
59,pra+yat,"<div n=""v"">— <ab>Vgl.</ab> {#prayatitavya#} <ab>fgg.</ab>","<div n=""v"">— <ab>Vgl.</ab> {#prayatitavya#} <ab>fgg.</ab>",,
